Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,5.4,5.54,5.1,5.28,108400,31.68,ICA.MX
2000-01-04,5.0,5.0,4.6,4.9,217300,29.41,ICA.MX
2000-01-05,4.6,5.0,4.6,5.0,75100,30.02,ICA.MX
2000-01-06,5.0,5.0,4.8,4.9,75100,29.41,ICA.MX
2000-01-07,4.9,5.3,4.9,5.26,256800,31.57,ICA.MX
2000-01-10,5.26,5.5,5.14,5.14,104800,30.85,ICA.MX
2000-01-11,5.14,5.14,4.85,5.0,119800,30.02,ICA.MX
2000-01-12,4.86,5.06,4.86,4.99,39500,29.95,ICA.MX
2000-01-13,5.06,5.06,4.9,4.96,107900,29.77,ICA.MX
2000-01-14,5.0,5.14,4.82,5.14,275800,30.85,ICA.MX
2000-01-17,5.1,5.1,5.0,5.1,3300,30.6,ICA.MX
2000-01-18,5.0,5.1,4.9,4.9,44100,29.41,ICA.MX
2000-01-19,4.9,5.14,4.9,5.02,181000,30.13,ICA.MX
2000-01-20,5.1,5.1,4.9,4.9,122600,29.41,ICA.MX
2000-01-21,4.9,4.9,4.82,4.9,31500,29.41,ICA.MX
2000-01-24,5.0,5.0,4.74,4.8,144100,28.8,ICA.MX
2000-01-25,4.8,4.8,4.72,4.74,20600,28.44,ICA.MX
2000-01-26,4.84,4.84,4.7,4.7,29100,28.22,ICA.MX
2000-01-27,4.66,4.8,4.3,4.3,160300,25.81,ICA.MX
2000-01-28,4.24,4.4,4.2,4.4,113800,26.42,ICA.MX
2000-01-31,4.3,4.37,4.2,4.37,23100,26.24,ICA.MX
2000-02-01,4.3,4.46,4.25,4.46,54800,26.78,ICA.MX
2000-02-02,4.5,4.64,4.46,4.46,115300,26.78,ICA.MX
2000-02-03,4.6,4.61,4.31,4.5,82100,27.0,ICA.MX
2000-02-04,4.38,4.38,4.22,4.22,36800,25.34,ICA.MX
2000-02-07,4.26,4.27,4.0,4.0,69900,24.01,ICA.MX
2000-02-08,4.01,4.01,3.88,3.88,146800,23.29,ICA.MX
2000-02-09,3.8,3.9,3.7,3.7,112100,22.21,ICA.MX
2000-02-10,3.6,4.0,3.6,4.0,194500,24.01,ICA.MX
2000-02-11,4.1,4.14,3.8,4.0,69100,24.01,ICA.MX
2000-02-14,4.0,4.0,3.9,4.0,33100,24.01,ICA.MX
2000-02-15,4.0,4.2,3.9,4.2,555900,25.2,ICA.MX
2000-02-16,4.17,4.25,4.1,4.25,78400,25.52,ICA.MX
2000-02-17,4.17,4.18,4.1,4.15,41900,24.91,ICA.MX
2000-02-18,4.0,4.0,3.8,3.85,67600,23.11,ICA.MX
2000-02-21,3.9,3.9,3.9,3.9,14900,23.4,ICA.MX
2000-02-22,3.85,3.9,3.6,3.7,147400,22.21,ICA.MX
2000-02-23,3.6,3.81,3.6,3.8,109100,22.82,ICA.MX
2000-02-24,3.8,3.86,3.78,3.84,138400,23.04,ICA.MX
2000-02-25,3.82,3.86,3.82,3.86,57800,23.18,ICA.MX
2000-02-28,3.85,3.9,3.83,3.87,42100,23.22,ICA.MX
2000-02-29,3.87,3.92,3.83,3.92,38600,23.54,ICA.MX
2000-03-01,4.0,4.0,3.87,3.89,158400,23.36,ICA.MX
2000-03-02,3.85,3.85,3.6,3.61,353000,21.67,ICA.MX
2000-03-03,3.7,3.76,3.6,3.6,439400,21.6,ICA.MX
2000-03-06,3.66,3.66,3.6,3.6,47300,21.6,ICA.MX
2000-03-07,3.6,3.79,3.6,3.6,73100,21.6,ICA.MX
2000-03-08,3.7,3.75,3.5,3.52,118100,21.13,ICA.MX
2000-03-09,3.58,3.8,3.58,3.76,611300,22.57,ICA.MX
2000-03-10,3.85,3.9,3.74,3.8,137100,22.82,ICA.MX
2000-03-13,3.8,3.8,3.8,3.8,0,22.82,ICA.MX
2000-03-14,3.65,3.7,3.6,3.69,36000,22.14,ICA.MX
2000-03-15,3.64,3.68,3.57,3.68,57600,22.1,ICA.MX
2000-03-16,3.7,3.78,3.7,3.75,69100,22.5,ICA.MX
2000-03-17,3.73,3.73,3.68,3.7,130600,22.21,ICA.MX
2000-03-20,3.7,3.74,3.7,3.7,67600,22.21,ICA.MX
2000-03-21,3.7,3.7,3.7,3.7,0,22.21,ICA.MX
2000-03-22,3.7,3.7,3.65,3.7,304100,22.21,ICA.MX
2000-03-23,3.7,3.76,3.68,3.68,92900,22.1,ICA.MX
2000-03-24,3.7,3.84,3.65,3.7,236300,22.21,ICA.MX
2000-03-27,3.77,3.8,3.71,3.74,134400,22.46,ICA.MX
2000-03-28,3.77,3.77,3.7,3.7,90800,22.21,ICA.MX
2000-03-29,3.78,3.78,3.7,3.75,180600,22.5,ICA.MX
2000-03-30,3.75,3.75,3.65,3.75,79800,22.5,ICA.MX
2000-03-31,3.7,3.75,3.7,3.7,35500,22.21,ICA.MX
2000-04-03,3.75,3.94,3.6,3.92,138800,23.54,ICA.MX
2000-04-04,3.94,4.0,3.75,3.8,199800,22.82,ICA.MX
2000-04-05,3.8,3.88,3.73,3.8,216000,22.82,ICA.MX
2000-04-06,3.85,3.94,3.77,3.8,103400,22.82,ICA.MX
2000-04-07,3.8,3.88,3.7,3.88,280000,23.29,ICA.MX
2000-04-10,3.94,4.03,3.84,3.94,223500,23.65,ICA.MX
2000-04-11,3.81,3.93,3.8,3.8,152900,22.82,ICA.MX
2000-04-12,3.82,3.9,3.76,3.76,123300,22.57,ICA.MX
2000-04-13,3.73,3.76,3.7,3.72,64600,22.32,ICA.MX
2000-04-14,3.7,3.7,3.6,3.6,43100,21.6,ICA.MX
2000-04-17,3.62,3.84,3.56,3.8,214600,22.82,ICA.MX
2000-04-18,3.8,3.82,3.66,3.66,108300,21.96,ICA.MX
2000-04-19,3.66,3.66,3.65,3.65,4100,21.92,ICA.MX
2000-04-20,3.65,3.65,3.65,3.65,0,21.92,ICA.MX
2000-04-21,3.65,3.65,3.65,3.65,0,21.92,ICA.MX
2000-04-24,3.52,3.69,3.52,3.69,11900,22.14,ICA.MX
2000-04-25,3.69,3.75,3.55,3.6,54800,21.6,ICA.MX
2000-04-26,3.63,3.69,3.5,3.69,12600,22.14,ICA.MX
2000-04-27,3.5,3.6,3.5,3.6,25100,21.6,ICA.MX
2000-04-28,3.59,3.6,3.59,3.59,38600,21.56,ICA.MX
2000-05-01,3.59,3.59,3.59,3.59,0,21.56,ICA.MX
2000-05-02,3.7,3.7,3.59,3.61,55600,21.67,ICA.MX
2000-05-03,3.61,3.65,3.55,3.6,23800,21.6,ICA.MX
2000-05-04,3.6,3.6,3.4,3.52,33000,21.13,ICA.MX
2000-05-05,3.52,3.52,3.52,3.52,0,21.13,ICA.MX
2000-05-08,3.5,3.5,3.4,3.4,58300,20.41,ICA.MX
2000-05-09,3.39,3.39,3.0,3.1,143600,18.61,ICA.MX
2000-05-10,3.0,3.2,3.0,3.05,278500,18.32,ICA.MX
2000-05-11,3.1,3.14,3.07,3.07,73800,18.43,ICA.MX
2000-05-12,3.07,3.07,2.9,3.0,11900,18.0,ICA.MX
2000-05-15,2.97,2.99,2.82,2.99,8800,17.96,ICA.MX
2000-05-16,2.99,2.99,2.99,2.99,3800,17.96,ICA.MX
2000-05-17,2.9,2.9,2.8,2.8,44800,16.81,ICA.MX
2000-05-18,2.84,2.9,2.72,2.72,20500,16.34,ICA.MX
2000-05-19,2.7,2.7,2.58,2.6,90400,15.62,ICA.MX
2000-05-22,2.5,2.5,2.44,2.45,33000,14.72,ICA.MX
