Date,Open,High,Low,Close,Volume,Adj Close
2006-10-02,37.29,37.3,36.82,37.16,244900,37.16
2006-10-03,37.15,37.8,36.97,37.45,423000,37.45
2006-10-04,37.89,37.99,37.6,37.72,434400,37.72
2006-10-05,37.9,38.44,37.38,37.73,335500,37.73
2006-10-06,37.95,38.2,37.3,38.07,257700,38.07
2006-10-09,38.19,43.78,38.19,38.89,945400,38.89
2006-10-10,39.25,39.68,39.0,39.15,426800,39.15
2006-10-11,39.0,39.0,38.1,38.45,400600,38.45
2006-10-12,38.96,39.0,38.8,38.9,222900,38.9
2006-10-13,39.0,39.54,38.6,39.44,797200,39.44
2006-10-16,38.68,39.99,38.68,39.25,113900,39.25
2006-10-17,38.75,39.4,38.2,39.38,1526900,39.38
2006-10-18,39.89,40.25,39.59,40.04,364100,40.04
2006-10-19,40.99,40.99,40.01,40.2,1437800,40.2
2006-10-20,40.17,40.2,39.98,40.02,208900,40.02
2006-10-23,40.11,40.99,40.1,40.7,706300,40.7
2006-10-24,40.85,42.0,40.85,41.64,680000,41.64
2006-10-25,41.79,42.4,40.4,41.98,653100,41.98
2006-10-26,42.19,42.2,41.68,42.12,545800,42.12
2006-10-27,42.1,42.5,41.4,41.5,508000,41.5
2006-10-30,41.5,41.55,40.05,41.34,332900,41.34
2006-10-31,41.3,42.18,41.3,41.77,205600,41.77
2006-11-01,41.99,42.39,41.92,42.01,439200,42.01
2006-11-02,42.01,42.01,42.01,42.01,0,42.01
2006-11-03,42.0,42.01,41.2,41.99,232000,41.99
2006-11-06,42.19,43.0,42.08,42.91,467300,42.91
2006-11-07,42.99,43.52,42.5,42.86,430000,42.86
2006-11-08,42.8,42.8,41.88,41.99,426200,41.99
2006-11-09,42.48,42.5,41.88,42.04,894900,42.04
2006-11-10,42.3,42.3,41.3,41.49,258700,41.49
2006-11-13,41.98,42.15,41.6,41.78,279000,41.78
2006-11-14,41.99,42.06,41.6,42.0,2201700,42.0
2006-11-15,41.99,42.9,41.9,42.76,360900,42.76
2006-11-16,42.84,42.87,42.5,42.6,1081400,42.6
2006-11-17,42.16,42.89,41.99,42.8,386300,42.8
2006-11-20,42.8,42.8,42.8,42.8,0,42.8
2006-11-21,44.0,44.25,43.79,44.18,1676500,44.18
2006-11-22,44.3,45.55,44.3,45.52,1026400,45.52
2006-11-23,45.99,46.0,45.49,45.68,97600,45.68
2006-11-24,45.94,47.0,45.94,46.85,268200,46.85
2006-11-27,46.97,47.1,46.79,46.89,537600,46.89
2006-11-28,46.01,47.5,45.8,47.33,1639200,47.33
2006-11-29,47.5,49.0,47.5,48.76,1867500,48.76
2006-11-30,48.7,49.9,48.7,49.8,1648900,49.8
2006-12-01,49.8,49.8,49.8,49.8,0,49.8
2006-12-04,50.0,51.5,50.0,51.1,3038000,51.1
2006-12-05,51.1,51.51,50.8,51.14,1592400,51.14
2006-12-06,50.99,52.0,50.98,51.48,1193200,51.48
2006-12-07,51.5,51.6,50.0,50.56,1102200,50.56
2006-12-08,50.56,50.56,48.9,48.99,861300,48.99
2006-12-11,49.0,49.0,47.79,48.28,547800,48.28
2006-12-12,48.28,48.28,48.28,48.28,0,48.28
2006-12-13,48.29,49.99,47.3,47.98,1373400,47.98
2006-12-14,47.98,47.98,45.8,45.86,919700,45.86
2006-12-15,45.6,47.84,38.98,46.95,2242500,46.95
2006-12-18,47.5,47.5,47.0,47.02,467600,47.02
2006-12-19,46.95,47.99,46.01,47.8,2057400,47.8
2006-12-20,48.0,48.7,47.5,47.88,567400,47.88
2006-12-21,47.84,47.85,46.5,46.83,457600,46.83
2006-12-22,47.0,47.0,46.2,46.58,84100,46.58
2006-12-25,46.58,46.58,46.58,46.58,0,46.58
2006-12-26,46.58,46.6,45.9,46.06,357400,46.06
2006-12-27,46.79,46.79,45.5,45.71,823300,45.71
2006-12-28,45.75,45.8,45.6,45.77,250600,45.77
2006-12-29,46.33,46.34,45.77,46.04,148300,46.04
2007-01-01,46.04,46.04,46.04,46.04,0,46.04
