Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2007-12-31,13.82,14.3,13.75,14.18,164700,14.18,IDEALB-1.MX
2008-01-02,14.0,14.0,13.7,13.7,497300,13.7,IDEALB-1.MX
2008-01-03,13.83,14.1,13.2,13.29,536500,13.29,IDEALB-1.MX
2008-01-04,13.15,13.4,12.9,12.96,503700,12.96,IDEALB-1.MX
2008-01-07,12.75,13.1,12.6,12.92,582300,12.92,IDEALB-1.MX
2008-01-08,13.1,13.1,12.5,12.74,892600,12.74,IDEALB-1.MX
2008-01-09,12.69,12.7,12.4,12.61,1759600,12.61,IDEALB-1.MX
2008-01-10,12.8,13.2,12.6,12.88,1049000,12.88,IDEALB-1.MX
2008-01-11,12.62,12.86,12.6,12.63,551000,12.63,IDEALB-1.MX
2008-01-14,12.5,12.8,12.5,12.78,563700,12.78,IDEALB-1.MX
2008-01-15,12.8,12.8,12.11,12.47,880700,12.47,IDEALB-1.MX
2008-01-16,12.67,12.67,12.19,12.24,1352400,12.24,IDEALB-1.MX
2008-01-17,12.4,12.7,12.05,12.57,911700,12.57,IDEALB-1.MX
2008-01-18,12.99,13.1,12.5,13.1,1086100,13.1,IDEALB-1.MX
2008-01-21,12.6,13.06,12.5,12.63,1206400,12.63,IDEALB-1.MX
2008-01-22,12.64,13.49,12.64,12.79,371500,12.79,IDEALB-1.MX
2008-01-23,12.63,14.04,12.5,12.5,1113100,12.5,IDEALB-1.MX
2008-01-24,14.0,14.05,13.1,13.3,1283600,13.3,IDEALB-1.MX
2008-01-25,13.55,13.55,12.65,12.68,356900,12.68,IDEALB-1.MX
2008-01-28,12.7,13.15,12.7,12.85,291900,12.85,IDEALB-1.MX
2008-01-29,12.95,13.13,12.75,12.85,583000,12.85,IDEALB-1.MX
2008-01-30,12.85,13.2,12.85,13.06,1032800,13.06,IDEALB-1.MX
2008-01-31,13.04,13.2,12.95,13.15,1203900,13.15,IDEALB-1.MX
2008-02-01,13.2,13.84,13.2,13.65,3983400,13.65,IDEALB-1.MX
2008-02-05,13.28,14.11,13.27,14.0,1605800,14.0,IDEALB-1.MX
2008-02-06,13.79,14.2,13.66,13.79,848900,13.79,IDEALB-1.MX
2008-02-07,13.79,15.2,13.78,14.83,1122700,14.83,IDEALB-1.MX
2008-02-08,14.83,14.83,14.31,14.38,928700,14.38,IDEALB-1.MX
2008-02-11,14.41,14.9,14.38,14.77,361100,14.77,IDEALB-1.MX
2008-02-12,14.9,15.0,14.5,14.58,2005300,14.58,IDEALB-1.MX
2008-02-13,14.6,14.69,14.12,14.3,1299900,14.3,IDEALB-1.MX
2008-02-14,14.25,14.25,14.0,14.07,1118800,14.07,IDEALB-1.MX
2008-02-15,14.07,14.15,13.49,13.66,874400,13.66,IDEALB-1.MX
2008-02-18,13.85,14.1,13.85,14.1,843200,14.1,IDEALB-1.MX
2008-02-19,14.1,14.19,13.7,14.02,2033300,14.02,IDEALB-1.MX
2008-02-20,14.25,14.35,13.81,14.24,395900,14.24,IDEALB-1.MX
2008-02-21,14.26,14.5,13.99,14.1,1274200,14.1,IDEALB-1.MX
2008-02-22,14.0,14.6,13.8,14.48,1227700,14.48,IDEALB-1.MX
2008-02-25,14.02,14.2,13.9,13.99,1308300,13.99,IDEALB-1.MX
2008-02-26,14.1,14.1,13.85,13.89,1002100,13.89,IDEALB-1.MX
2008-02-27,13.85,13.91,13.55,13.69,1671700,13.69,IDEALB-1.MX
2008-02-28,13.62,14.2,13.6,13.9,1699900,13.9,IDEALB-1.MX
2008-02-29,14.05,14.2,13.76,13.96,511000,13.96,IDEALB-1.MX
2008-03-03,13.95,14.0,13.8,13.9,1149300,13.9,IDEALB-1.MX
2008-03-04,14.17,14.18,13.77,14.07,1138400,14.07,IDEALB-1.MX
2008-03-05,14.2,14.25,14.0,14.23,1686500,14.23,IDEALB-1.MX
2008-03-06,14.23,14.5,13.63,14.16,766600,14.16,IDEALB-1.MX
2008-03-07,14.16,14.7,14.16,14.59,2461200,14.59,IDEALB-1.MX
2008-03-10,14.7,14.75,14.09,14.21,1582600,14.21,IDEALB-1.MX
2008-03-11,14.26,15.14,14.26,15.03,1744200,15.03,IDEALB-1.MX
2008-03-12,15.03,15.8,15.0,15.69,1541400,15.69,IDEALB-1.MX
2008-03-13,15.5,16.31,15.5,16.05,888100,16.05,IDEALB-1.MX
2008-03-14,16.04,16.29,15.75,16.15,349400,16.15,IDEALB-1.MX
2008-03-18,16.15,16.4,16.0,16.17,563600,16.17,IDEALB-1.MX
2008-03-19,16.15,17.58,16.15,17.03,1003800,17.03,IDEALB-1.MX
2008-03-24,17.0,17.0,16.08,16.68,1085600,16.68,IDEALB-1.MX
2008-03-25,16.67,16.8,16.11,16.5,654700,16.5,IDEALB-1.MX
2008-03-26,16.5,17.0,16.44,16.6,2393200,16.6,IDEALB-1.MX
2008-03-27,16.6,16.81,16.4,16.42,15275800,16.42,IDEALB-1.MX
2008-03-28,16.6,16.95,16.6,16.68,470800,16.68,IDEALB-1.MX
2008-03-31,16.94,17.5,16.71,17.29,5017700,17.29,IDEALB-1.MX
2008-04-01,17.39,18.05,17.15,17.65,6119000,17.65,IDEALB-1.MX
2008-04-02,17.64,18.0,17.2,17.7,2071300,17.7,IDEALB-1.MX
2008-04-03,17.7,18.0,17.34,17.81,1795200,17.81,IDEALB-1.MX
2008-04-04,17.8,18.0,17.28,17.43,912000,17.43,IDEALB-1.MX
2008-04-07,17.43,17.55,17.29,17.42,1010300,17.42,IDEALB-1.MX
2008-04-08,17.42,18.0,17.42,17.99,1467800,17.99,IDEALB-1.MX
2008-04-09,18.0,18.6,18.0,18.44,1810700,18.44,IDEALB-1.MX
2008-04-10,18.41,18.41,17.75,17.82,962100,17.82,IDEALB-1.MX
2008-04-11,17.85,18.12,17.5,17.5,800500,17.5,IDEALB-1.MX
2008-04-14,17.65,17.8,17.49,17.57,862100,17.57,IDEALB-1.MX
2008-04-15,17.45,17.6,17.0,17.37,882000,17.37,IDEALB-1.MX
2008-04-16,17.35,17.6,17.25,17.44,2022800,17.44,IDEALB-1.MX
2008-04-17,17.25,17.72,17.25,17.3,986000,17.3,IDEALB-1.MX
2008-04-18,17.11,17.9,17.11,17.72,1208000,17.72,IDEALB-1.MX
2008-04-21,17.72,17.97,17.64,17.76,868900,17.76,IDEALB-1.MX
2008-04-22,17.7,17.7,17.3,17.47,1083800,17.47,IDEALB-1.MX
2008-04-23,17.44,17.85,17.44,17.58,701800,17.58,IDEALB-1.MX
2008-04-24,17.55,17.6,17.4,17.4,889300,17.4,IDEALB-1.MX
2008-04-25,17.99,17.99,17.0,17.36,2925800,17.36,IDEALB-1.MX
2008-04-28,17.35,17.4,17.0,17.22,1026300,17.22,IDEALB-1.MX
2008-04-29,17.22,17.22,16.2,16.73,1676600,16.73,IDEALB-1.MX
2008-04-30,16.76,17.03,16.58,16.77,1107500,16.77,IDEALB-1.MX
2008-05-02,16.9,17.04,16.85,16.9,1011400,16.9,IDEALB-1.MX
2008-05-05,16.84,16.85,16.3,16.36,1233900,16.36,IDEALB-1.MX
2008-05-06,16.64,16.64,16.1,16.11,646700,16.11,IDEALB-1.MX
2008-05-07,16.11,16.2,15.68,15.75,288500,15.75,IDEALB-1.MX
2008-05-08,15.7,15.74,15.4,15.48,740500,15.48,IDEALB-1.MX
2008-05-09,15.48,15.89,15.3,15.65,844300,15.65,IDEALB-1.MX
2008-05-12,15.74,15.74,15.1,15.4,859200,15.4,IDEALB-1.MX
2008-05-13,15.4,15.4,15.06,15.21,1205900,15.21,IDEALB-1.MX
2008-05-14,15.3,15.45,15.05,15.27,2818600,15.27,IDEALB-1.MX
2008-05-15,15.31,15.96,15.31,15.6,721600,15.6,IDEALB-1.MX
2008-05-16,15.95,16.5,15.6,15.9,1523300,15.9,IDEALB-1.MX
2008-05-19,16.09,16.25,15.92,16.0,1510800,16.0,IDEALB-1.MX
2008-05-20,15.99,16.07,15.81,15.99,983900,15.99,IDEALB-1.MX
2008-05-21,15.86,15.95,15.5,15.53,759300,15.53,IDEALB-1.MX
2008-05-22,15.67,15.67,15.2,15.49,1013900,15.49,IDEALB-1.MX
2008-05-23,15.5,15.5,15.1,15.12,1317400,15.12,IDEALB-1.MX
2008-05-26,15.4,15.4,15.2,15.26,474100,15.26,IDEALB-1.MX
2008-05-27,15.23,15.6,15.23,15.35,993000,15.35,IDEALB-1.MX
2008-05-28,15.5,15.9,15.5,15.59,1422900,15.59,IDEALB-1.MX
2008-05-29,15.7,15.98,15.59,15.69,1666100,15.69,IDEALB-1.MX
2008-05-30,15.85,15.85,15.3,15.37,1176400,15.37,IDEALB-1.MX
2008-06-02,15.4,15.4,15.16,15.36,889500,15.36,IDEALB-1.MX
2008-06-03,15.5,15.7,15.3,15.54,1377300,15.54,IDEALB-1.MX
2008-06-04,15.59,15.7,15.5,15.6,1192200,15.6,IDEALB-1.MX
2008-06-05,15.6,15.9,15.6,15.85,886500,15.85,IDEALB-1.MX
2008-06-06,15.85,15.85,15.5,15.76,772400,15.76,IDEALB-1.MX
2008-06-09,15.6,15.82,15.6,15.79,546600,15.79,IDEALB-1.MX
2008-06-10,15.7,15.8,15.5,15.75,514000,15.75,IDEALB-1.MX
2008-06-11,15.51,15.78,15.5,15.67,1628100,15.67,IDEALB-1.MX
2008-06-12,15.67,15.83,15.67,15.76,1308600,15.76,IDEALB-1.MX
2008-06-13,15.97,15.97,15.7,15.96,313400,15.96,IDEALB-1.MX
2008-06-16,15.67,15.9,15.67,15.78,770700,15.78,IDEALB-1.MX
2008-06-17,15.54,16.15,15.54,16.06,817500,16.06,IDEALB-1.MX
2008-06-18,15.99,16.2,15.85,16.12,1106200,16.12,IDEALB-1.MX
2008-06-19,16.08,16.8,15.66,16.57,1380000,16.57,IDEALB-1.MX
2008-06-20,16.42,17.51,16.42,17.0,1650600,17.0,IDEALB-1.MX
2008-06-23,16.36,17.25,16.36,16.99,658500,16.99,IDEALB-1.MX
2008-06-24,16.99,17.0,16.66,16.98,962700,16.98,IDEALB-1.MX
2008-06-25,16.93,17.22,16.7,16.72,788200,16.72,IDEALB-1.MX
2008-06-26,16.4,16.97,16.4,16.84,541500,16.84,IDEALB-1.MX
2008-06-27,16.65,16.87,16.0,16.28,286200,16.28,IDEALB-1.MX
2008-06-30,16.28,16.49,16.0,16.28,102100,16.28,IDEALB-1.MX
2008-07-01,16.19,17.0,15.8,16.03,745300,16.03,IDEALB-1.MX
2008-07-02,15.89,16.4,15.41,16.38,1718800,16.38,IDEALB-1.MX
2008-07-03,16.3,16.65,16.3,16.55,603600,16.55,IDEALB-1.MX
2008-07-04,16.74,16.74,16.55,16.59,278500,16.59,IDEALB-1.MX
2008-07-07,16.7,16.9,16.59,16.85,511200,16.85,IDEALB-1.MX
