Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2011-01-04,14.04,14.04,14.04,14.04,0,14.04,INCARSOB-1.MX
2011-01-05,14.04,14.04,14.04,14.04,0,14.04,INCARSOB-1.MX
2011-01-06,14.04,14.04,11.18,11.29,9478900,11.29,INCARSOB-1.MX
2011-01-07,11.42,11.42,10.97,11.05,9152900,11.05,INCARSOB-1.MX
2011-01-10,11.07,11.22,10.81,10.9,4226300,10.9,INCARSOB-1.MX
2011-01-11,10.8,11.05,10.51,10.71,6728200,10.71,INCARSOB-1.MX
2011-01-12,10.93,10.93,10.52,10.7,3232400,10.7,INCARSOB-1.MX
2011-01-13,10.7,11.4,10.41,10.78,4973200,10.78,INCARSOB-1.MX
2011-01-14,10.8,11.7,10.79,11.44,9318900,11.44,INCARSOB-1.MX
2011-01-17,11.44,13.8,11.44,13.6,10621200,13.6,INCARSOB-1.MX
2011-01-18,13.6,15.03,13.2,14.25,18587000,14.25,INCARSOB-1.MX
2011-01-19,14.6,14.99,13.4,13.45,5989600,13.45,INCARSOB-1.MX
2011-01-20,13.2,13.29,12.45,13.2,5187900,13.2,INCARSOB-1.MX
2011-01-21,13.32,13.9,13.01,13.2,3413400,13.2,INCARSOB-1.MX
2011-01-24,13.19,13.29,13.12,13.2,2325200,13.2,INCARSOB-1.MX
2011-01-25,13.14,13.15,12.52,12.6,4585800,12.6,INCARSOB-1.MX
2011-01-26,12.76,13.0,12.5,12.9,1674300,12.9,INCARSOB-1.MX
2011-01-27,12.91,12.99,12.75,12.95,736700,12.95,INCARSOB-1.MX
2011-01-28,13.1,13.1,12.55,12.75,1869000,12.75,INCARSOB-1.MX
2011-01-31,12.62,12.99,12.62,12.9,592500,12.9,INCARSOB-1.MX
2011-02-01,12.75,13.18,12.75,13.1,861500,13.1,INCARSOB-1.MX
2011-02-02,13.2,13.3,13.0,13.08,570900,13.08,INCARSOB-1.MX
2011-02-03,13.0,13.17,12.61,13.17,790000,13.17,INCARSOB-1.MX
2011-02-04,13.15,13.18,12.65,13.1,267200,13.1,INCARSOB-1.MX
2011-02-08,13.05,13.24,12.91,13.0,640800,13.0,INCARSOB-1.MX
2011-02-09,13.06,13.18,12.8,12.91,1146800,12.91,INCARSOB-1.MX
2011-02-10,12.9,13.0,12.7,12.9,1058500,12.9,INCARSOB-1.MX
2011-02-11,12.9,13.28,12.81,13.1,610600,13.1,INCARSOB-1.MX
2011-02-14,13.17,13.17,12.91,13.1,330100,13.1,INCARSOB-1.MX
2011-02-15,12.9,13.5,12.9,13.39,429500,13.39,INCARSOB-1.MX
2011-02-16,13.35,13.4,13.2,13.2,261100,13.2,INCARSOB-1.MX
2011-02-17,13.2,13.43,13.1,13.2,303900,13.2,INCARSOB-1.MX
2011-02-18,13.15,13.17,13.1,13.1,492000,13.1,INCARSOB-1.MX
