Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-10-02,20.0,20.0,20.0,20.0,3000,19.41,INVEXA.MX
2006-10-03,20.0,20.0,20.0,20.0,0,19.41,INVEXA.MX
2006-10-04,20.0,20.0,20.0,20.0,0,19.41,INVEXA.MX
2006-10-05,20.0,20.0,20.0,20.0,0,19.41,INVEXA.MX
2006-10-06,20.0,20.0,20.0,20.0,0,19.41,INVEXA.MX
2006-10-09,20.0,20.0,20.0,20.0,0,19.41,INVEXA.MX
2006-10-10,20.0,20.0,20.0,20.0,3000,19.41,INVEXA.MX
2006-10-12,15.0,15.0,15.0,15.0,0,14.56,INVEXA.MX
2006-10-13,15.0,15.0,15.0,15.0,0,14.56,INVEXA.MX
2006-10-16,15.0,15.0,15.0,15.0,0,14.56,INVEXA.MX
2006-10-17,15.0,15.0,15.0,15.0,0,14.56,INVEXA.MX
2006-10-18,15.0,15.0,15.0,15.0,0,14.56,INVEXA.MX
2006-10-19,15.0,15.0,15.0,15.0,0,14.56,INVEXA.MX
2006-10-20,20.25,20.25,20.25,20.25,2000,19.65,INVEXA.MX
2006-10-23,20.25,20.25,20.25,20.25,0,19.65,INVEXA.MX
2006-10-24,20.25,20.25,20.25,20.25,0,19.65,INVEXA.MX
2006-10-25,20.25,20.25,20.25,20.25,0,19.65,INVEXA.MX
2006-10-26,20.25,20.25,20.25,20.25,0,19.65,INVEXA.MX
2006-10-27,22.55,22.55,22.55,22.55,0,21.89,INVEXA.MX
2006-10-30,22.55,22.55,22.55,22.55,0,21.89,INVEXA.MX
2006-10-31,20.25,20.25,20.25,20.25,10000,19.65,INVEXA.MX
2006-11-01,20.25,20.25,20.25,20.25,25000,19.65,INVEXA.MX
2006-11-02,20.25,20.25,20.25,20.25,0,19.65,INVEXA.MX
2006-11-03,20.25,20.25,20.25,20.25,0,19.65,INVEXA.MX
2006-11-06,20.25,20.25,20.25,20.25,0,19.65,INVEXA.MX
2006-11-07,20.25,20.25,20.25,20.25,0,19.65,INVEXA.MX
2006-11-08,20.25,20.25,20.25,20.25,0,19.65,INVEXA.MX
2006-11-09,20.25,20.25,20.25,20.25,0,19.65,INVEXA.MX
2006-11-10,20.25,20.25,20.25,20.25,0,19.65,INVEXA.MX
2006-11-13,20.25,20.25,20.25,20.25,0,19.65,INVEXA.MX
2006-11-14,20.25,20.25,20.25,20.25,0,19.65,INVEXA.MX
2006-11-15,20.25,20.25,20.25,20.25,0,19.65,INVEXA.MX
2006-11-16,20.25,20.25,20.25,20.25,0,19.65,INVEXA.MX
2006-11-17,20.25,20.25,20.25,20.25,3000,19.65,INVEXA.MX
2006-11-20,20.25,20.25,20.25,20.25,0,19.65,INVEXA.MX
