Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,37.5,37.5,36.45,36.9,3609000,5.85,KIMBERA.MX
2000-01-04,35.9,35.9,34.2,34.3,4494000,5.44,KIMBERA.MX
2000-01-05,34.3,34.4,32.4,33.45,7584000,5.31,KIMBERA.MX
2000-01-06,33.35,33.5,32.55,32.6,3369000,5.17,KIMBERA.MX
2000-01-07,33.0,34.6,33.0,34.5,5913000,5.47,KIMBERA.MX
2000-01-10,34.7,35.1,33.8,34.9,3393000,5.54,KIMBERA.MX
2000-01-11,34.45,34.75,32.7,34.0,5541000,5.39,KIMBERA.MX
2000-01-12,33.6,33.8,32.9,33.0,2631000,5.23,KIMBERA.MX
2000-01-13,34.5,34.5,32.5,32.5,7146000,5.15,KIMBERA.MX
2000-01-14,33.4,33.5,32.85,33.4,6492000,5.3,KIMBERA.MX
2000-01-17,33.55,34.2,33.5,34.2,753000,5.42,KIMBERA.MX
2000-01-18,33.5,33.5,32.9,33.5,1968000,5.31,KIMBERA.MX
2000-01-19,33.2,33.2,32.1,32.4,4191000,5.14,KIMBERA.MX
2000-01-20,32.6,32.6,30.35,30.7,6609000,4.87,KIMBERA.MX
2000-01-21,30.9,31.4,30.3,31.4,4209000,4.98,KIMBERA.MX
2000-01-24,31.4,32.5,31.0,31.6,5253000,5.01,KIMBERA.MX
2000-01-25,31.5,32.15,31.2,31.95,2286000,5.07,KIMBERA.MX
2000-01-26,32.4,32.5,31.3,31.85,1644000,5.05,KIMBERA.MX
2000-01-27,32.2,32.3,29.8,30.0,4545000,4.76,KIMBERA.MX
2000-01-28,29.65,29.7,28.55,29.6,9474000,4.69,KIMBERA.MX
2000-01-31,29.4,29.5,28.5,29.5,4086000,4.68,KIMBERA.MX
2000-02-01,29.4,29.4,28.6,28.95,8610000,4.59,KIMBERA.MX
2000-02-02,29.0,29.5,28.2,28.3,6753000,4.49,KIMBERA.MX
2000-02-03,29.0,29.5,28.35,29.4,8445000,4.66,KIMBERA.MX
2000-02-04,29.5,29.85,28.2,28.9,7761000,4.58,KIMBERA.MX
2000-02-07,28.8,29.7,28.5,29.5,8541000,4.68,KIMBERA.MX
2000-02-08,29.9,31.0,29.5,31.0,16164000,4.92,KIMBERA.MX
2000-02-09,31.05,31.4,30.4,30.45,14196000,4.83,KIMBERA.MX
2000-02-10,30.5,30.8,28.6,29.0,14916000,4.6,KIMBERA.MX
2000-02-11,28.65,29.3,27.7,28.05,8913000,4.45,KIMBERA.MX
2000-02-14,28.0,28.95,27.45,28.9,6393000,4.58,KIMBERA.MX
2000-02-15,28.9,30.4,28.9,30.25,21924000,4.8,KIMBERA.MX
2000-02-16,30.05,30.5,30.0,30.2,14130000,4.79,KIMBERA.MX
2000-02-17,30.5,30.5,29.6,29.95,7257000,4.75,KIMBERA.MX
2000-02-18,29.95,29.95,28.2,28.75,3117000,4.56,KIMBERA.MX
2000-02-21,28.5,29.0,28.4,28.85,996000,4.58,KIMBERA.MX
2000-02-22,28.9,28.9,27.75,28.4,4110000,4.5,KIMBERA.MX
2000-02-23,28.2,29.7,28.1,29.4,5367000,4.66,KIMBERA.MX
2000-02-24,29.6,29.6,28.5,29.5,3717000,4.68,KIMBERA.MX
2000-02-25,29.5,29.8,28.7,29.05,4143000,4.61,KIMBERA.MX
2000-02-28,29.15,29.5,28.8,29.15,12087000,4.62,KIMBERA.MX
2000-02-29,29.3,29.3,28.75,29.15,1149000,4.62,KIMBERA.MX
2000-03-01,29.3,29.3,28.1,28.3,2673000,4.49,KIMBERA.MX
2000-03-02,28.5,31.5,28.5,31.0,37152000,4.92,KIMBERA.MX
2000-03-03,31.3,32.0,30.5,30.85,11595000,4.89,KIMBERA.MX
2000-03-06,30.9,31.05,30.35,31.0,4335000,4.92,KIMBERA.MX
2000-03-07,31.0,32.6,29.7,30.9,10428000,4.9,KIMBERA.MX
2000-03-08,31.0,32.2,31.0,32.0,9021000,5.08,KIMBERA.MX
2000-03-09,32.35,32.5,30.8,31.5,8328000,5.0,KIMBERA.MX
2000-03-10,31.5,32.0,30.6,31.0,4809000,4.92,KIMBERA.MX
2000-03-13,31.0,31.0,31.0,31.0,0,4.92,KIMBERA.MX
2000-03-14,31.9,32.5,31.5,32.0,7338000,5.08,KIMBERA.MX
2000-03-15,32.0,32.0,30.8,31.0,5844000,4.92,KIMBERA.MX
2000-03-16,32.0,32.0,31.2,31.65,5838000,5.02,KIMBERA.MX
2000-03-17,31.55,32.0,31.0,31.35,2748000,4.97,KIMBERA.MX
2000-03-20,31.85,31.9,31.3,31.7,1143000,5.03,KIMBERA.MX
2000-03-21,31.7,31.7,31.7,31.7,0,5.03,KIMBERA.MX
2000-03-22,31.9,32.0,31.1,31.6,2973000,5.01,KIMBERA.MX
2000-03-23,31.5,32.6,31.5,32.0,5934000,5.08,KIMBERA.MX
2000-03-24,32.0,32.0,31.65,31.8,2664000,5.04,KIMBERA.MX
2000-03-27,31.95,32.0,31.4,31.5,2325000,5.0,KIMBERA.MX
2000-03-28,31.0,31.85,31.0,31.7,2316000,5.03,KIMBERA.MX
2000-03-29,31.65,32.0,31.5,32.0,2103000,5.08,KIMBERA.MX
2000-03-30,31.8,32.0,31.2,31.7,5400000,5.03,KIMBERA.MX
2000-03-31,31.7,31.95,31.35,31.95,4086000,5.07,KIMBERA.MX
2000-04-03,31.9,31.9,31.05,31.05,3150000,4.92,KIMBERA.MX
2000-04-04,31.4,31.7,29.75,30.9,4911000,4.9,KIMBERA.MX
2000-04-05,30.85,31.6,30.8,31.5,4563000,5.0,KIMBERA.MX
2000-04-06,31.5,32.5,31.5,32.5,5817000,5.15,KIMBERA.MX
2000-04-07,32.5,33.0,32.0,32.3,5808000,5.12,KIMBERA.MX
2000-04-10,32.25,32.25,30.8,31.3,1362000,4.96,KIMBERA.MX
2000-04-11,31.2,31.7,30.6,31.65,3105000,5.02,KIMBERA.MX
2000-04-12,30.9,31.5,30.0,30.6,2454000,4.85,KIMBERA.MX
