Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-11-02,37.3,37.3,37.3,37.3,0,33.56,KOFL.MX
2006-11-20,39.95,39.95,39.95,39.95,0,35.94,KOFL.MX
2006-11-23,42.0,42.0,35.02,35.02,0,31.51,KOFL.MX
2006-12-01,39.15,39.15,39.15,39.15,0,35.22,KOFL.MX
2006-12-12,40.53,40.53,40.53,40.53,0,36.47,KOFL.MX
2006-12-22,41.08,41.08,40.34,40.34,0,36.3,KOFL.MX
2006-12-25,40.34,40.34,40.34,40.34,0,36.3,KOFL.MX
2007-01-01,41.03,41.03,41.03,41.03,0,36.92,KOFL.MX
2007-01-02,41.45,41.45,34.88,34.88,0,31.38,KOFL.MX
2007-02-05,45.22,45.22,45.22,45.22,0,40.69,KOFL.MX
2007-03-19,37.78,37.78,37.78,37.78,0,33.99,KOFL.MX
2007-04-05,41.85,41.85,41.85,41.85,0,37.65,KOFL.MX
2007-04-06,41.85,41.85,41.85,41.85,0,37.65,KOFL.MX
2007-05-01,42.53,42.53,42.53,42.53,0,38.27,KOFL.MX
2007-05-28,43.6,43.6,42.3,42.3,0,38.06,KOFL.MX
2007-06-26,48.43,48.43,48.19,48.19,0,43.36,KOFL.MX
2007-10-26,48.58,48.58,47.2,48.58,103800,43.71,KOFL.MX
2007-11-02,49.32,49.32,49.32,49.32,0,44.37,KOFL.MX
2007-11-19,44.88,44.88,44.88,44.88,0,40.38,KOFL.MX
2007-12-12,49.75,49.75,49.75,49.75,0,44.76,KOFL.MX
2007-12-25,52.6,52.6,52.6,52.6,0,47.33,KOFL.MX
2007-12-31,53.45,53.65,53.45,53.65,34000,48.27,KOFL.MX
2008-01-01,53.65,53.65,53.65,53.65,0,48.27,KOFL.MX
2008-01-02,53.6,53.6,52.19,52.3,60400,47.06,KOFL.MX
2008-01-03,52.1,52.19,51.94,51.94,41000,46.73,KOFL.MX
2008-01-04,51.34,51.34,49.93,49.95,9900,44.94,KOFL.MX
2008-01-07,50.05,52.36,50.05,52.31,55900,47.07,KOFL.MX
2008-01-08,52.84,52.84,51.44,51.45,49900,46.29,KOFL.MX
2008-01-09,51.11,52.21,51.11,52.07,24700,46.85,KOFL.MX
2008-01-10,52.5,52.7,51.74,51.79,71900,46.6,KOFL.MX
2008-01-11,51.7,52.21,51.7,51.9,36800,46.7,KOFL.MX
2008-01-14,51.69,51.69,51.17,51.42,27400,46.26,KOFL.MX
2008-01-15,51.02,51.02,50.8,50.84,92100,45.74,KOFL.MX
2008-01-16,52.0,54.0,50.73,52.63,135400,47.35,KOFL.MX
2008-01-17,53.03,53.06,51.06,51.31,122600,46.17,KOFL.MX
2008-01-18,52.01,52.1,50.76,51.03,119500,45.91,KOFL.MX
2008-01-21,50.0,50.0,49.97,50.0,9000,44.99,KOFL.MX
2008-01-22,50.26,53.36,50.26,50.57,90300,45.5,KOFL.MX
2008-01-23,50.14,50.35,48.2,49.38,219200,44.43,KOFL.MX
2008-01-24,51.5,51.75,51.15,51.26,60800,46.12,KOFL.MX
2008-01-25,51.05,51.15,50.4,50.46,98500,45.4,KOFL.MX
2008-01-28,49.41,51.5,49.41,51.2,31100,46.07,KOFL.MX
2008-01-29,51.2,54.0,51.02,51.38,24300,46.23,KOFL.MX
2008-01-30,51.1,51.31,50.79,51.1,98800,45.98,KOFL.MX
2008-01-31,49.69,51.18,49.69,51.12,307600,45.99,KOFL.MX
2008-02-01,51.8,52.24,51.69,52.24,55900,47.0,KOFL.MX
2008-02-04,52.24,52.24,52.24,52.24,0,47.0,KOFL.MX
2008-02-05,55.13,55.13,54.17,55.07,173100,49.55,KOFL.MX
2008-02-06,56.45,57.92,56.45,56.9,132100,51.19,KOFL.MX
2008-02-07,56.96,56.96,55.47,55.95,78600,50.34,KOFL.MX
2008-02-08,57.85,57.92,56.01,56.13,147500,50.5,KOFL.MX
2008-02-11,56.71,57.95,56.0,57.84,215000,52.04,KOFL.MX
2008-02-12,58.1,60.2,58.1,59.96,127400,53.95,KOFL.MX
2008-02-13,60.51,60.64,57.8,58.87,153900,52.97,KOFL.MX
2008-02-14,58.67,60.18,58.67,58.99,48100,53.08,KOFL.MX
2008-02-15,57.99,58.61,57.96,58.45,19300,52.59,KOFL.MX
2008-02-18,58.6,58.6,58.6,58.6,200,52.72,KOFL.MX
2008-02-19,58.6,62.4,57.48,57.91,150600,52.1,KOFL.MX
2008-02-20,55.87,56.69,55.87,56.17,126100,50.54,KOFL.MX
2008-02-21,56.97,58.0,56.24,56.45,56400,50.79,KOFL.MX
2008-02-22,56.0,56.9,56.0,56.67,23600,50.99,KOFL.MX
2008-02-25,56.6,58.0,56.23,57.96,177200,52.15,KOFL.MX
2008-02-26,57.52,60.03,57.52,59.73,38700,53.74,KOFL.MX
2008-02-27,59.71,61.03,59.05,59.14,271600,53.21,KOFL.MX
2008-02-28,59.27,60.0,58.3,59.34,124700,53.39,KOFL.MX
2008-02-29,56.17,60.0,55.84,56.17,0,50.54,KOFL.MX
2008-03-03,55.79,58.55,55.79,58.55,193300,52.68,KOFL.MX
2008-03-04,58.3,58.58,57.28,58.44,180100,52.58,KOFL.MX
2008-03-05,58.49,58.68,57.6,57.85,270300,52.05,KOFL.MX
2008-03-06,57.55,58.8,57.55,57.62,122700,51.84,KOFL.MX
2008-03-07,58.52,59.18,57.27,57.34,89300,51.59,KOFL.MX
2008-03-10,58.35,59.56,57.48,58.23,97900,52.39,KOFL.MX
2008-03-11,58.63,60.98,58.63,60.62,84200,54.54,KOFL.MX
2008-03-12,61.4,61.92,60.8,60.91,140800,54.8,KOFL.MX
2008-03-13,60.15,63.77,59.3,62.61,212800,56.33,KOFL.MX
2008-03-14,62.92,63.5,59.7,63.3,160700,56.95,KOFL.MX
2008-03-18,61.0,61.49,58.96,60.6,203300,54.52,KOFL.MX
2008-03-19,60.6,61.5,58.77,60.17,580400,54.14,KOFL.MX
2008-03-20,60.17,60.17,60.17,60.17,0,54.14,KOFL.MX
2008-03-21,60.17,60.17,60.17,60.17,0,54.14,KOFL.MX
2008-03-24,61.0,62.73,61.0,61.37,42400,55.22,KOFL.MX
2008-03-25,62.6,62.6,61.39,61.53,57600,55.36,KOFL.MX
2008-03-26,61.49,63.0,60.7,62.98,121100,56.67,KOFL.MX
2008-03-27,61.45,62.35,61.12,62.3,20000,56.05,KOFL.MX
2008-03-28,62.4,63.13,61.04,61.04,29000,54.92,KOFL.MX
2008-03-31,60.95,60.95,59.64,60.41,161500,54.35,KOFL.MX
2008-04-01,61.97,63.2,61.68,61.99,268500,55.77,KOFL.MX
2008-04-02,60.73,60.75,59.6,59.65,307800,53.67,KOFL.MX
2008-04-03,59.7,59.7,57.0,57.49,178100,51.73,KOFL.MX
2008-04-04,57.49,58.5,56.0,56.41,117100,50.75,KOFL.MX
2008-04-07,58.5,58.5,57.22,57.35,134100,51.6,KOFL.MX
2008-04-08,57.65,57.65,56.35,56.78,182200,51.09,KOFL.MX
2008-04-09,56.05,56.36,55.06,55.74,114200,50.15,KOFL.MX
2008-04-10,55.77,56.0,55.18,55.72,105900,50.13,KOFL.MX
2008-04-11,55.67,56.29,55.25,55.61,332600,50.03,KOFL.MX
2008-04-14,56.41,57.81,56.41,57.52,126100,51.75,KOFL.MX
2008-04-15,57.88,58.45,55.8,55.98,338900,50.37,KOFL.MX
2008-04-16,56.36,56.72,55.35,55.62,229500,50.04,KOFL.MX
2008-04-17,55.55,56.59,55.51,56.41,48200,50.75,KOFL.MX
2008-04-18,56.68,57.2,56.41,56.7,34100,51.02,KOFL.MX
2008-04-21,56.9,56.9,55.84,55.97,156300,50.36,KOFL.MX
2008-04-22,56.0,56.0,55.49,55.49,97900,49.93,KOFL.MX
2008-04-23,55.18,55.33,54.56,54.68,147400,49.2,KOFL.MX
2008-04-24,54.69,55.55,54.29,54.77,187000,49.28,KOFL.MX
2008-04-25,54.79,55.3,54.5,55.0,51900,49.49,KOFL.MX
2008-04-28,54.55,54.62,53.49,54.59,208200,49.12,KOFL.MX
2008-04-29,53.94,54.46,53.94,54.29,77400,48.85,KOFL.MX
2008-04-30,54.52,55.21,54.1,54.7,554300,49.68,KOFL.MX
2008-05-01,54.7,54.7,54.7,54.7,0,49.68,KOFL.MX
2008-05-02,55.2,57.26,55.2,57.08,208900,51.85,KOFL.MX
2008-05-05,57.08,57.35,56.83,57.11,66400,51.87,KOFL.MX
2008-05-06,57.11,58.95,57.0,58.88,512500,53.48,KOFL.MX
2008-05-07,58.9,58.9,57.3,57.51,219600,52.24,KOFL.MX
2008-05-08,59.0,59.58,58.62,59.35,264100,53.91,KOFL.MX
2008-05-09,59.12,60.0,58.7,59.91,150700,54.42,KOFL.MX
2008-05-12,60.0,60.2,59.66,59.75,205000,54.27,KOFL.MX
2008-05-13,59.9,61.82,59.9,61.82,107500,56.15,KOFL.MX
2008-05-14,61.82,61.82,60.64,60.86,168300,55.28,KOFL.MX
2008-05-15,61.0,62.23,61.0,61.76,112400,56.1,KOFL.MX
2008-05-16,61.71,62.25,61.6,62.03,64900,56.34,KOFL.MX
2008-05-19,62.37,64.05,61.98,63.74,43700,57.9,KOFL.MX
2008-05-20,61.7,61.7,61.16,61.49,12200,55.85,KOFL.MX
2008-05-21,62.11,62.11,61.22,61.83,44800,56.16,KOFL.MX
2008-05-22,61.83,62.38,61.83,62.38,46500,56.66,KOFL.MX
2008-05-23,62.38,63.19,61.4,61.47,49200,55.83,KOFL.MX
2008-05-26,61.47,61.47,61.47,61.47,100,55.83,KOFL.MX
2008-05-27,61.03,64.01,61.03,63.86,118400,58.0,KOFL.MX
2008-05-28,63.74,63.74,60.66,61.27,44400,55.65,KOFL.MX
2008-05-29,61.31,63.59,60.96,63.27,20400,57.47,KOFL.MX
2008-05-30,63.0,65.9,63.0,64.22,340100,58.33,KOFL.MX
2008-06-02,64.35,64.35,63.8,64.04,120000,58.17,KOFL.MX
2008-06-03,64.04,64.66,63.62,64.37,26200,58.47,KOFL.MX
2008-06-04,63.5,64.45,63.3,63.95,105200,58.09,KOFL.MX
2008-06-05,63.94,64.5,63.73,64.49,42400,58.58,KOFL.MX
2008-06-06,64.31,64.62,63.3,63.63,65200,57.8,KOFL.MX
2008-06-09,63.07,63.07,61.68,61.73,2800,56.07,KOFL.MX
2008-06-10,62.62,62.62,61.2,61.41,36900,55.78,KOFL.MX
2008-06-11,60.86,61.56,60.86,61.56,98600,55.92,KOFL.MX
2008-06-12,62.16,62.4,61.5,61.5,43300,55.86,KOFL.MX
2008-06-13,61.5,61.63,60.7,60.92,8500,55.33,KOFL.MX
2008-06-16,60.0,60.45,59.58,60.25,47300,54.73,KOFL.MX
2008-06-17,60.25,60.44,57.79,58.65,18300,53.27,KOFL.MX
2008-06-18,58.4,58.4,55.77,56.23,85100,51.07,KOFL.MX
2008-06-19,56.19,57.2,56.15,57.12,42700,51.88,KOFL.MX
2008-06-20,56.54,56.85,55.6,56.26,133000,51.1,KOFL.MX
2008-06-23,56.26,56.35,56.0,56.0,28500,50.86,KOFL.MX
2008-06-24,56.35,56.39,56.01,56.13,52000,50.98,KOFL.MX
2008-06-25,56.25,56.7,56.25,56.69,4300,51.49,KOFL.MX
2008-06-26,56.03,56.86,55.7,56.86,18800,51.65,KOFL.MX
2008-06-27,56.67,57.28,56.31,56.76,128100,51.56,KOFL.MX
2008-06-30,56.91,58.36,56.91,58.36,175400,53.01,KOFL.MX
2008-07-01,57.83,57.99,56.6,56.74,223600,51.54,KOFL.MX
2008-07-02,57.74,57.74,55.36,55.51,53900,50.42,KOFL.MX
2008-07-03,55.51,57.0,47.31,53.01,84000,48.15,KOFL.MX
2008-07-04,52.95,55.94,52.95,53.35,14700,48.46,KOFL.MX
