Date,Open,High,Low,Close,Volume,Adj Close
2006-10-02,9.34,9.34,9.34,9.34,200,8.91
2006-10-03,9.35,9.42,9.35,9.4,477800,8.97
2006-10-04,9.4,9.69,9.4,9.65,1382900,9.21
2006-10-05,9.64,9.99,9.5,9.95,3208900,9.49
2006-10-06,9.85,9.94,9.85,9.9,1038200,9.44
2006-10-09,9.82,10.7,9.82,10.52,2818500,10.04
2006-10-10,10.68,11.25,10.65,11.05,1975400,10.54
2006-10-11,11.07,11.07,10.85,10.9,916600,10.4
2006-10-12,11.15,11.15,10.9,11.05,1462000,10.54
2006-10-13,11.14,11.44,11.14,11.3,591400,10.78
2006-10-16,11.25,11.25,10.95,11.2,1269100,10.68
2006-10-17,11.1,11.3,10.9,11.3,800600,10.78
2006-10-18,11.3,11.75,11.3,11.74,1155700,11.2
2006-10-19,11.8,12.15,11.55,12.0,611600,11.45
2006-10-20,12.0,12.19,11.89,12.19,1992800,11.63
2006-10-23,12.19,12.75,12.0,12.5,1521400,11.92
2006-10-24,12.6,12.9,12.6,12.83,5597900,12.24
2006-10-25,13.0,13.71,13.0,13.52,3549900,12.9
2006-10-26,13.52,13.65,13.0,13.15,1243600,12.54
2006-10-27,13.0,13.01,12.7,12.74,318000,12.15
2006-10-30,12.75,12.88,12.5,12.6,412900,12.02
2006-10-31,12.7,13.39,12.7,13.01,777400,12.41
2006-11-01,13.25,13.25,12.94,13.08,314800,12.48
2006-11-03,13.1,13.19,13.0,13.19,288000,12.58
2006-11-06,13.2,13.25,13.0,13.2,359800,12.59
2006-11-07,13.0,13.2,13.0,13.1,311000,12.5
2006-11-08,13.1,13.2,13.1,13.16,152600,12.55
2006-11-09,13.2,13.2,13.06,13.06,60100,12.46
2006-11-10,13.1,13.2,13.0,13.18,891500,12.57
2006-11-13,13.18,13.3,13.1,13.1,1663600,12.5
2006-11-14,13.1,13.25,12.99,13.08,1039400,12.48
2006-11-15,13.0,13.08,13.0,13.03,711700,12.43
2006-11-16,13.08,13.15,13.0,13.1,392900,12.5
2006-11-17,13.0,13.2,13.0,13.2,24600,12.59
2006-11-21,13.1,13.1,13.0,13.08,32800,12.48
2006-11-22,13.39,13.5,13.0,13.15,623900,12.54
2006-11-23,13.15,13.15,13.1,13.1,58800,12.5
2006-11-24,13.4,13.4,13.0,13.0,51200,12.4
2006-11-27,13.01,13.15,12.95,13.0,726800,12.4
2006-11-28,12.96,13.1,12.96,13.1,452100,12.5
2006-11-29,13.1,13.2,13.09,13.2,194900,12.59
