Date,Open,High,Low,Close,Volume,Adj Close
2006-10-12,33.53,33.53,32.83,32.83,0,10.53
2006-11-02,34.29,34.29,34.29,34.29,0,11.0
2006-11-07,33.94,33.94,32.52,32.52,0,10.44
2006-11-16,33.73,33.73,32.52,32.52,0,10.44
2006-11-20,33.94,33.94,33.94,33.94,0,10.89
2006-11-21,33.83,33.83,32.52,32.52,0,10.44
2006-11-27,33.53,33.53,33.33,33.33,0,10.7
2006-12-01,33.53,33.53,33.53,33.53,0,10.76
2006-12-12,35.25,35.25,35.25,35.25,0,11.31
2006-12-25,36.46,36.46,36.46,36.46,0,11.7
2007-01-01,38.89,38.89,38.89,38.89,0,12.48
2007-01-05,37.87,37.87,37.37,37.37,0,11.99
2007-02-05,38.38,38.38,38.38,38.38,0,12.32
2007-03-14,41.39,41.39,40.72,40.72,0,13.07
2007-03-16,44.44,44.44,42.42,42.42,0,13.61
2007-03-19,42.42,42.42,42.42,42.42,0,13.61
2007-03-26,43.18,43.18,43.13,43.13,309600,13.84
2007-04-05,42.92,42.92,42.92,42.92,0,13.77
2007-04-06,42.92,42.92,42.92,42.92,0,13.77
2007-05-01,16.65,16.65,16.65,16.65,0,16.03
2007-09-14,21.61,21.61,20.91,20.91,0,20.13
2007-11-02,22.93,22.93,22.93,22.93,0,22.07
2007-11-19,23.34,23.34,23.34,23.34,0,22.47
2007-12-12,25.06,25.06,25.06,25.06,0,24.12
2007-12-25,25.02,25.02,25.02,25.02,0,24.08
2007-12-31,25.25,25.5,25.25,25.5,9000,24.55
2008-01-01,25.5,25.5,25.5,25.5,0,24.55
2008-01-02,25.5,25.75,25.5,25.5,12200,24.55
2008-01-03,25.25,25.5,25.25,25.5,400,24.55
2008-01-04,25.23,25.23,25.2,25.2,6000,24.26
2008-01-07,25.1,25.15,25.1,25.15,5600,24.21
2008-01-08,25.5,25.75,25.5,25.75,10100,24.79
2008-01-09,25.24,25.25,24.74,25.05,55500,24.11
2008-01-10,25.05,25.15,24.24,24.73,53400,23.81
2008-01-11,23.84,24.23,23.53,23.73,163200,22.85
2008-01-14,24.14,24.14,23.35,23.35,17800,22.48
2008-01-15,23.35,23.68,23.23,23.68,24100,22.8
2008-01-16,22.72,22.72,22.02,22.47,26600,21.63
2008-01-17,21.71,22.23,21.71,22.22,26700,21.39
2008-01-18,21.73,21.92,21.21,21.8,22100,20.98
2008-01-21,21.21,21.71,20.2,21.11,23800,20.32
2008-01-22,21.71,22.22,21.71,22.22,117700,21.39
2008-01-23,21.71,22.22,21.71,22.13,13100,21.3
2008-01-24,22.13,22.52,21.71,22.52,141400,21.68
2008-01-25,21.71,22.02,21.71,21.92,22300,21.1
