Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-06,18.4,18.4,18.4,18.4,5000,17.66,LIVEPOLC-1.MX
2000-01-07,18.4,18.4,18.4,18.4,0,17.66,LIVEPOLC-1.MX
2000-01-10,18.4,18.4,18.4,18.4,0,17.66,LIVEPOLC-1.MX
2000-01-11,18.4,18.4,18.4,18.4,0,17.66,LIVEPOLC-1.MX
2000-01-12,18.38,18.38,18.38,18.38,8000,17.64,LIVEPOLC-1.MX
2000-01-13,18.3,18.3,18.3,18.3,7000,17.56,LIVEPOLC-1.MX
2000-01-14,18.1,18.1,18.1,18.1,5000,17.37,LIVEPOLC-1.MX
2000-01-17,18.4,18.4,18.4,18.4,1000,17.66,LIVEPOLC-1.MX
2000-01-18,18.1,18.1,18.1,18.1,5000,17.37,LIVEPOLC-1.MX
2000-01-19,18.0,18.0,17.02,17.02,0,16.33,LIVEPOLC-1.MX
2000-01-20,18.0,18.0,18.0,18.0,5000,17.27,LIVEPOLC-1.MX
2000-01-21,18.1,18.1,18.1,18.1,5000,17.37,LIVEPOLC-1.MX
2000-01-24,18.1,18.1,18.1,18.1,0,17.37,LIVEPOLC-1.MX
2000-01-25,18.0,18.2,18.0,18.2,7000,17.47,LIVEPOLC-1.MX
2000-01-26,18.2,18.2,18.2,18.2,0,17.47,LIVEPOLC-1.MX
2000-01-27,18.2,18.2,18.2,18.2,0,17.47,LIVEPOLC-1.MX
2000-01-28,18.2,18.2,18.2,18.2,0,17.47,LIVEPOLC-1.MX
2000-01-31,18.2,18.2,18.2,18.2,4000,17.47,LIVEPOLC-1.MX
2000-02-01,18.2,18.2,18.2,18.2,0,17.47,LIVEPOLC-1.MX
2000-02-02,18.2,18.2,18.2,18.2,3000,17.47,LIVEPOLC-1.MX
2000-02-03,18.2,18.2,18.2,18.2,6000,17.47,LIVEPOLC-1.MX
2000-02-04,18.2,18.2,18.2,18.2,3000,17.47,LIVEPOLC-1.MX
2000-02-07,18.2,18.2,18.2,18.2,0,17.47,LIVEPOLC-1.MX
2000-02-08,18.2,18.2,18.2,18.2,0,17.47,LIVEPOLC-1.MX
