Date,Open,High,Low,Close,Volume,Adj Close
2006-10-09,8.5,8.5,8.25,8.25,0,6.01
2006-10-11,8.5,8.5,8.25,8.25,0,6.01
2006-10-25,8.0,8.0,7.8,7.8,0,5.68
2006-10-26,8.0,8.0,7.8,7.8,0,5.68
2006-10-27,8.2,8.2,7.8,7.8,0,5.68
2006-10-30,8.3,8.3,8.3,8.3,0,6.05
2006-11-01,9.0,9.0,8.0,8.0,0,5.83
2006-11-02,8.0,8.0,8.0,8.0,0,5.83
2006-11-03,9.0,9.0,8.0,8.0,0,5.83
2006-11-10,8.9,8.9,8.5,8.5,0,6.19
2006-11-13,8.9,8.9,8.9,8.9,0,6.48
2006-11-14,8.9,8.9,8.9,8.9,0,6.48
2006-11-15,8.5,8.5,8.5,8.5,0,6.19
2006-11-16,8.5,8.5,8.5,8.5,0,6.19
2006-11-17,8.5,8.5,8.5,8.5,0,6.19
2006-11-20,8.5,8.5,8.5,8.5,0,6.19
2006-11-22,9.0,9.0,9.0,9.0,0,6.55
2006-11-23,9.0,9.0,9.0,9.0,0,6.55
2006-11-28,9.0,9.0,8.75,8.75,0,6.37
2006-11-29,9.0,9.0,9.0,9.0,0,6.55
2006-11-30,8.96,8.96,8.96,8.96,0,6.53
2006-12-01,8.96,8.96,8.96,8.96,0,6.53
2006-12-04,9.0,9.0,9.0,9.0,0,6.55
2006-12-06,8.75,8.75,8.75,8.75,0,6.37
2006-12-12,9.0,9.0,9.0,9.0,0,6.55
2006-12-15,9.35,9.35,9.35,9.35,0,6.81
2006-12-25,10.0,10.0,10.0,10.0,0,7.28
2007-01-01,10.25,10.25,10.25,10.25,0,7.47
2007-01-02,10.5,10.5,10.5,10.5,0,7.65
2007-01-03,10.25,10.25,10.23,10.23,0,7.45
2007-01-04,10.25,10.25,10.25,10.25,0,7.47
2007-01-08,10.2,10.2,10.2,10.2,0,7.43
2007-01-11,10.24,10.24,8.72,8.72,0,6.35
2007-01-15,8.24,8.24,8.24,8.24,0,6.0
2007-01-18,10.0,10.0,9.0,9.0,0,6.55
2007-01-19,10.09,10.09,9.0,9.0,0,6.55
2007-01-22,10.09,10.09,9.0,9.0,0,6.55
2007-01-23,9.99,9.99,9.0,9.0,0,6.55
2007-01-25,10.3,10.3,9.0,9.0,0,6.55
2007-01-26,10.25,10.25,9.0,9.0,0,6.55
2007-01-29,10.19,10.19,9.0,9.0,0,6.55
2007-01-30,9.99,9.99,9.0,9.0,0,6.55
2007-01-31,9.99,9.99,9.05,9.05,0,6.59
2007-02-01,9.99,9.99,9.0,9.0,0,6.55
2007-02-02,9.99,9.99,9.0,9.0,0,6.55
2007-02-05,9.0,9.0,9.0,9.0,0,6.55
2007-02-06,10.29,10.29,9.0,9.0,0,6.55
2007-02-07,10.15,10.15,9.0,9.0,0,6.55
2007-02-08,10.04,10.04,9.0,9.0,0,6.55
2007-02-09,9.94,9.94,9.0,9.0,0,6.55
2007-02-12,9.79,9.79,9.0,9.0,0,6.55
2007-02-13,9.8,9.8,9.0,9.0,0,6.55
2007-02-15,10.1,10.1,10.1,10.1,0,7.36
2007-02-19,10.25,10.25,10.25,10.25,0,7.47
2007-02-22,10.25,10.25,10.25,10.25,0,7.47
2007-02-23,10.2,10.2,10.2,10.2,0,7.43
2007-02-26,10.15,10.15,10.15,10.15,0,7.39
2007-02-27,10.15,10.15,10.15,10.15,0,7.39
2007-02-28,10.15,10.15,10.15,10.15,0,7.39
2007-03-01,10.15,10.15,10.15,10.15,0,7.39
2007-03-02,10.15,10.15,10.15,10.15,0,7.39
2007-03-05,10.15,10.15,10.15,10.15,0,7.39
2007-03-06,10.15,10.15,10.15,10.15,0,7.39
2007-03-07,10.1,10.1,10.1,10.1,0,7.36
2007-03-09,10.15,10.15,10.15,10.15,0,7.39
2007-03-12,10.14,10.14,10.14,10.14,0,7.39
2007-03-13,10.1,10.1,10.1,10.1,0,7.36
2007-03-14,10.15,10.15,10.15,10.15,0,7.39
2007-03-15,10.05,10.05,10.05,10.05,0,7.32
2007-03-16,10.14,10.14,10.14,10.14,0,7.39
2007-03-19,10.14,10.14,10.14,10.14,0,7.39
2007-03-20,10.14,10.14,10.14,10.14,0,7.39
2007-03-21,10.14,10.14,10.14,10.14,0,7.39
2007-03-22,10.1,10.1,10.1,10.1,0,7.36
2007-03-23,10.1,10.1,10.1,10.1,0,7.36
2007-03-27,10.14,10.14,10.14,10.14,0,7.39
2007-04-02,10.45,10.45,10.45,10.45,0,7.61
2007-04-03,10.4,10.4,10.4,10.4,0,7.57
2007-04-04,10.45,10.45,10.45,10.45,0,7.61
2007-04-05,10.45,10.45,10.45,10.45,0,7.61
2007-04-06,10.45,10.45,10.45,10.45,0,7.61
2007-04-09,10.4,10.4,10.05,10.05,0,7.32
2007-04-10,10.43,10.43,10.43,10.43,0,7.6
2007-04-11,10.35,10.35,10.35,10.35,0,7.54
2007-04-12,10.35,10.35,10.35,10.35,0,7.54
2007-04-13,10.34,10.34,10.34,10.34,0,7.53
2007-04-16,10.34,10.34,10.34,10.34,0,7.53
2007-04-17,10.34,10.34,10.04,10.04,0,7.31
2007-04-18,10.34,10.34,10.04,10.04,0,7.31
2007-04-19,10.34,10.34,10.34,10.34,0,7.53
2007-04-20,10.34,10.34,10.34,10.34,0,7.53
2007-04-23,10.34,10.34,10.34,10.34,0,7.53
2007-04-24,10.34,10.34,10.34,10.34,0,7.53
2007-04-25,10.34,10.34,10.34,10.34,0,7.53
2007-04-26,10.34,10.34,10.34,10.34,0,7.53
2007-04-27,9.99,9.99,9.99,9.99,0,7.28
2007-04-30,9.99,9.99,9.99,9.99,0,7.28
2007-05-01,9.99,9.99,9.99,9.99,0,7.28
2007-05-02,10.05,10.05,10.05,10.05,0,7.32
2007-05-03,10.33,10.33,10.33,10.33,0,7.52
2007-05-04,10.31,10.31,10.31,10.31,0,7.51
2007-05-07,10.2,10.2,10.2,10.2,0,7.43
2007-05-08,10.2,10.2,10.2,10.2,0,7.43
2007-05-09,10.2,10.2,10.2,10.2,0,7.43
2007-05-10,10.18,10.18,10.18,10.18,0,7.41
2007-05-15,10.2,10.2,10.2,10.2,0,7.43
2007-05-17,10.45,10.45,10.45,10.45,0,7.61
2007-05-18,10.45,10.45,10.45,10.45,0,7.61
2007-05-21,10.4,10.4,10.4,10.4,0,7.57
2007-05-22,10.38,10.38,10.38,10.38,0,7.56
2007-05-24,10.34,10.34,10.34,10.34,0,7.53
2007-05-25,10.34,10.34,10.34,10.34,0,7.53
2007-05-28,10.39,10.39,10.39,10.39,0,7.57
2007-05-31,10.4,10.4,10.4,10.4,0,7.57
2007-06-01,10.35,10.35,10.35,10.35,0,7.54
2007-06-04,10.34,10.34,10.34,10.34,0,7.53
2007-06-05,10.34,10.34,10.34,10.34,0,7.53
2007-06-07,10.45,10.45,10.25,10.25,0,7.47
2007-06-08,10.45,10.45,10.45,10.45,0,7.61
2007-06-11,10.45,10.45,10.45,10.45,0,7.61
2007-06-13,10.42,10.42,10.42,10.42,0,7.59
2007-06-14,10.42,10.42,10.42,10.42,0,7.59
2007-06-15,10.41,10.41,10.41,10.41,0,7.58
