Date,Open,High,Low,Close,Volume,Adj Close
2006-10-02,14.8,14.8,13.5,13.5,0,11.67
2006-10-06,13.85,13.85,13.8,13.8,0,11.93
2006-10-13,13.9,13.9,13.6,13.6,0,11.76
2006-10-16,13.9,13.9,13.6,13.6,0,11.76
2006-10-17,13.9,13.9,13.9,13.9,0,12.02
2006-10-18,13.9,13.9,13.9,13.9,0,12.02
2006-10-19,13.9,13.9,13.9,13.9,0,12.02
2006-10-20,13.9,13.9,13.9,13.9,0,12.02
2006-10-24,13.85,13.85,13.7,13.7,0,11.85
2006-10-26,14.5,14.5,13.7,13.7,0,11.85
2006-10-27,15.1,15.1,13.71,13.71,0,11.86
2006-10-30,13.9,13.9,13.9,13.9,0,12.02
2006-10-31,14.05,14.05,13.9,13.9,0,12.02
2006-11-01,14.05,14.05,13.9,13.9,0,12.02
2006-11-02,13.9,13.9,13.9,13.9,0,12.02
2006-11-03,14.05,14.05,13.9,13.9,0,12.02
2006-11-06,14.0,14.0,13.9,13.9,0,12.02
2006-11-07,14.0,14.0,13.9,13.9,0,12.02
2006-11-08,14.0,14.0,13.9,13.9,0,12.02
2006-11-09,13.97,13.97,13.9,13.9,0,12.02
2006-11-10,14.0,14.0,13.9,13.9,0,12.02
2006-11-13,14.0,14.0,13.7,13.7,0,11.85
2006-11-14,13.7,13.7,13.7,13.7,0,11.85
2006-11-15,14.0,14.0,13.7,13.7,0,11.85
2006-11-16,14.0,14.0,13.7,13.7,0,11.85
2006-11-17,14.0,14.0,13.7,13.7,0,11.85
2006-11-20,13.7,13.7,13.7,13.7,0,11.85
2006-11-21,13.9,13.9,13.9,13.9,0,12.02
2006-11-24,13.9,13.9,13.5,13.5,0,11.67
2006-11-27,14.0,14.0,14.0,14.0,0,12.11
2006-11-28,13.9,13.9,13.9,13.9,0,12.02
2006-11-29,13.9,13.9,13.5,13.5,0,11.67
2006-11-30,13.9,13.9,13.5,13.5,0,11.67
2006-12-01,13.5,13.5,13.5,13.5,0,11.67
2006-12-05,15.2,15.2,14.0,14.0,0,12.11
2006-12-07,14.5,14.5,14.2,14.2,0,12.28
2006-12-12,14.5,14.5,14.5,14.5,0,12.54
2006-12-13,14.84,14.84,13.7,13.7,0,11.85
2006-12-15,16.1,16.1,14.7,14.7,0,12.71
2006-12-20,16.3,16.3,15.0,15.0,0,12.97
2006-12-25,15.1,15.1,15.1,15.1,0,13.06
2006-12-26,15.2,15.2,15.2,15.2,0,13.14
2006-12-27,15.2,15.2,15.2,15.2,0,13.14
2006-12-29,15.6,15.6,15.6,15.6,0,13.49
2007-01-01,15.6,15.6,15.6,15.6,0,13.49
2007-01-02,15.6,15.6,15.6,15.6,0,13.49
2007-01-03,15.6,15.6,15.6,15.6,0,13.49
2007-01-04,15.6,15.6,15.6,15.6,0,13.49
2007-01-10,15.5,15.5,15.5,15.5,0,13.4
2007-01-11,15.25,15.25,15.25,15.25,0,13.19
2007-01-12,15.51,15.51,15.51,15.51,0,13.41
2007-01-16,15.25,15.25,15.25,15.25,0,13.19
2007-01-17,15.25,15.25,15.25,15.25,0,13.19
2007-01-18,14.5,14.5,14.5,14.5,0,12.54
2007-01-19,14.5,14.5,14.5,14.5,0,12.54
2007-01-22,15.25,15.25,15.25,15.25,0,13.19
2007-01-24,14.51,14.51,14.51,14.51,0,12.55
2007-01-25,14.9,14.9,14.9,14.9,0,12.88
2007-02-01,15.25,15.25,15.25,15.25,0,13.19
2007-02-02,15.4,15.4,15.4,15.4,0,13.32
2007-02-05,15.4,15.4,15.4,15.4,0,13.32
2007-02-06,15.4,15.4,15.4,15.4,0,13.32
2007-02-07,15.4,15.4,15.4,15.4,0,13.32
2007-02-09,15.8,15.8,15.8,15.8,0,13.66
2007-02-12,14.9,14.9,14.9,14.9,0,12.88
2007-02-13,15.8,15.8,15.8,15.8,0,13.66
2007-02-15,14.9,14.9,14.9,14.9,0,12.88
2007-02-16,14.9,14.9,14.9,14.9,0,12.88
2007-02-19,15.0,15.0,15.0,15.0,0,12.97
2007-02-20,16.25,16.25,15.0,15.0,0,12.97
2007-02-22,15.0,15.0,15.0,15.0,0,12.97
2007-02-23,15.0,15.0,15.0,15.0,0,12.97
2007-02-26,15.15,15.15,15.15,15.15,0,13.1
2007-02-28,15.15,15.15,15.15,15.15,0,13.1
2007-03-01,15.15,15.15,15.15,15.15,0,13.1
2007-03-02,15.15,15.15,15.15,15.15,0,13.1
2007-03-05,15.15,15.15,15.15,15.15,0,13.1
2007-03-07,16.0,16.0,16.0,16.0,0,13.84
2007-03-08,16.2,16.2,16.2,16.2,0,14.01
2007-03-09,16.2,16.2,16.2,16.2,0,14.01
2007-03-12,16.0,16.0,16.0,16.0,0,13.84
2007-03-13,16.0,16.0,16.0,16.0,0,13.84
2007-03-15,15.5,15.5,15.5,15.5,0,13.4
2007-03-16,15.5,15.5,15.5,15.5,0,13.4
2007-03-19,15.5,15.5,15.5,15.5,0,13.4
2007-03-20,15.5,15.5,15.5,15.5,0,13.4
2007-03-21,15.51,15.51,15.51,15.51,0,13.41
2007-03-27,18.0,18.0,18.0,18.0,0,15.57
2007-03-29,16.51,16.51,16.51,16.51,0,14.28
2007-03-30,18.0,18.0,18.0,18.0,0,15.57
2007-04-03,16.8,16.8,16.8,16.8,0,14.53
2007-04-04,18.0,18.0,18.0,18.0,0,15.57
2007-04-05,18.0,18.0,18.0,18.0,0,15.57
2007-04-06,18.0,18.0,18.0,18.0,0,15.57
2007-04-09,18.0,18.0,18.0,18.0,0,15.57
2007-04-10,16.8,16.8,16.8,16.8,0,14.53
2007-04-11,16.8,16.8,16.8,16.8,0,14.53
2007-04-12,18.0,18.0,18.0,18.0,0,15.57
2007-04-13,17.79,17.79,17.79,17.79,0,15.38
2007-04-16,18.0,18.0,18.0,18.0,0,15.57
2007-04-17,18.2,18.2,18.2,18.2,0,15.74
2007-04-18,18.2,18.2,18.2,18.2,0,15.74
2007-04-19,18.2,18.2,18.2,18.2,0,15.74
2007-04-20,18.2,18.2,18.2,18.2,0,15.74
2007-04-23,18.0,18.0,18.0,18.0,0,15.57
2007-04-24,18.0,18.0,18.0,18.0,0,15.57
2007-04-25,18.0,18.0,18.0,18.0,0,15.57
2007-04-26,18.01,18.01,18.01,18.01,0,15.57
2007-04-27,18.0,18.0,18.0,18.0,0,15.57
2007-05-01,18.0,18.0,18.0,18.0,0,15.57
2007-05-02,18.31,18.31,18.31,18.31,0,15.83
2007-05-04,18.36,18.36,18.36,18.36,0,15.88
2007-05-07,18.51,18.51,18.51,18.51,0,16.01
2007-05-08,18.3,18.3,18.3,18.3,0,15.82
2007-05-09,18.56,18.56,18.56,18.56,0,16.05
2007-05-11,18.71,18.71,18.71,18.71,0,16.18
2007-05-14,18.6,18.6,18.6,18.6,0,16.08
2007-05-15,18.6,18.6,18.6,18.6,0,16.08
2007-05-16,21.0,21.0,18.9,18.9,0,16.34
2007-05-17,18.55,18.55,18.0,18.0,0,15.57
2007-05-21,18.7,18.7,18.7,18.7,0,16.17
2007-05-22,18.7,18.7,18.7,18.7,0,16.17
2007-05-23,18.75,18.75,18.75,18.75,0,16.21
2007-05-24,18.7,18.7,18.7,18.7,0,16.17
2007-05-25,19.0,19.0,19.0,19.0,0,16.43
2007-05-29,19.0,19.0,19.0,19.0,0,16.43
2007-05-30,19.0,19.0,19.0,19.0,0,16.43
2007-05-31,19.0,19.0,19.0,19.0,0,16.43
2007-06-04,19.15,19.15,19.15,19.15,0,16.56
2007-06-05,21.0,21.0,19.0,19.0,0,16.43
2007-06-06,19.0,19.0,19.0,19.0,0,16.43
2007-06-07,19.0,19.0,19.0,19.0,0,16.43
2007-06-08,19.0,19.0,19.0,19.0,0,16.43
2007-06-13,20.1,20.1,20.1,20.1,0,17.38
2007-06-14,20.2,20.2,20.2,20.2,0,17.47
2007-06-19,25.0,25.0,22.0,22.0,0,19.02
2007-06-20,25.0,25.0,22.0,22.0,0,19.02
2007-06-22,22.1,22.1,22.1,22.1,0,19.11
2007-06-26,22.0,22.0,22.0,22.0,0,19.02
2007-06-27,22.0,22.0,22.0,22.0,0,19.02
2007-06-28,22.0,22.0,22.0,22.0,0,19.02
2007-07-02,22.5,22.5,22.5,22.5,0,19.46
2007-07-05,23.0,23.0,23.0,23.0,0,19.89
2007-07-06,23.0,23.0,23.0,23.0,0,19.89
2007-07-10,23.0,23.0,21.6,21.6,0,18.68
2007-07-11,23.0,23.0,21.6,21.6,0,18.68
2007-07-12,23.0,23.0,21.6,21.6,0,18.68
2007-07-18,25.0,25.0,23.1,23.1,0,19.98
2007-07-20,25.0,25.0,23.1,23.1,0,19.98
2007-07-23,24.85,24.85,24.85,24.85,0,21.49
2007-07-25,24.68,24.68,24.68,24.68,0,21.34
2007-07-26,24.5,24.5,24.5,24.5,0,21.19
2007-07-30,24.41,24.41,24.41,24.41,0,21.11
2007-07-31,24.4,24.4,24.4,24.4,0,21.1
2007-08-01,24.4,24.4,24.4,24.4,0,21.1
2007-08-02,24.4,24.4,24.4,24.4,0,21.1
2007-08-03,24.29,24.29,24.29,24.29,0,21.0
2007-08-06,23.99,23.99,23.99,23.99,0,20.74
2007-08-07,23.96,23.96,23.96,23.96,0,20.72
2007-08-08,23.78,23.78,23.78,23.78,0,20.56
2007-08-09,23.88,23.88,23.88,23.88,0,20.65
2007-08-10,23.5,23.5,23.5,23.5,0,20.32
2007-08-13,23.86,23.86,23.86,23.86,0,20.63
2007-08-14,23.7,23.7,23.7,23.7,0,20.49
2007-08-15,23.6,23.6,23.6,23.6,0,20.41
2007-08-17,21.0,21.0,21.0,21.0,0,18.16
2007-08-20,22.0,22.0,22.0,22.0,0,19.02
2007-08-21,22.0,22.0,22.0,22.0,0,19.02
2007-08-22,22.0,22.0,22.0,22.0,0,19.02
2007-08-23,22.0,22.0,22.0,22.0,0,19.02
2007-08-24,22.0,22.0,22.0,22.0,0,19.02
2007-08-27,22.0,22.0,22.0,22.0,0,19.02
2007-08-28,22.0,22.0,22.0,22.0,0,19.02
2007-08-29,21.99,21.99,21.99,21.99,0,19.02
2007-08-30,21.99,21.99,21.99,21.99,0,19.02
2007-08-31,21.99,21.99,21.99,21.99,0,19.02
2007-09-03,21.99,21.99,21.99,21.99,0,19.02
2007-09-05,22.0,22.0,22.0,22.0,0,19.02
2007-09-06,22.0,22.0,22.0,22.0,0,19.02
2007-09-07,22.0,22.0,22.0,22.0,0,19.02
2007-09-10,23.0,23.0,23.0,23.0,0,19.89
2007-09-11,22.48,22.48,22.48,22.48,0,19.44
2007-09-13,22.49,22.49,22.49,22.49,0,19.45
2007-09-14,22.49,22.49,22.49,22.49,0,19.45
2007-09-18,22.48,22.48,22.48,22.48,0,19.44
2007-09-19,22.48,22.48,22.48,22.48,0,19.44
2007-09-24,22.1,22.1,22.1,22.1,0,19.11
2007-09-25,22.35,22.35,22.35,22.35,0,19.33
2007-09-26,22.05,22.05,22.05,22.05,0,19.07
2007-09-27,22.05,22.05,22.05,22.05,0,19.07
2007-09-28,22.05,22.05,22.05,22.05,0,19.07
2007-10-01,22.4,22.4,22.4,22.4,0,19.37
2007-10-03,22.4,22.4,22.4,22.4,0,19.37
2007-10-04,22.4,22.4,22.4,22.4,0,19.37
2007-10-05,22.4,22.4,22.05,22.05,0,19.07
2007-10-09,22.5,22.5,22.5,22.5,0,19.46
2007-10-10,23.25,23.25,23.25,23.25,0,20.1
2007-10-11,23.0,23.0,23.0,23.0,0,19.89
2007-10-12,23.0,23.0,23.0,23.0,0,19.89
2007-10-16,22.99,22.99,22.99,22.99,0,19.88
2007-10-18,22.98,22.98,22.98,22.98,0,19.87
2007-10-22,22.38,22.38,22.38,22.38,0,19.35
2007-10-23,22.37,22.37,22.37,22.37,0,19.34
2007-10-24,22.37,22.37,22.37,22.37,0,19.34
2007-10-25,22.0,22.0,22.0,22.0,0,19.02
2007-10-26,22.0,22.0,22.0,22.0,0,19.02
2007-10-29,22.0,22.0,22.0,22.0,0,19.02
2007-10-30,21.99,21.99,21.99,21.99,0,19.02
2007-10-31,21.9,21.9,21.9,21.9,0,18.94
2007-11-01,21.99,21.99,21.99,21.99,0,19.02
2007-11-02,21.99,21.99,21.99,21.99,0,19.02
2007-11-05,22.5,22.5,22.5,22.5,0,19.46
2007-11-06,22.4,22.4,22.4,22.4,0,19.37
2007-11-07,22.0,22.0,22.0,22.0,0,19.02
2007-11-08,21.9,21.9,21.9,21.9,0,18.94
2007-11-09,21.9,21.9,21.9,21.9,0,18.94
2007-11-12,21.8,21.8,21.8,21.8,0,18.85
2007-11-13,21.8,21.8,21.8,21.8,0,18.85
2007-11-15,21.8,21.8,21.8,21.8,0,18.85
2007-11-16,21.8,21.8,21.8,21.8,0,18.85
2007-11-19,21.8,21.8,21.8,21.8,0,18.85
2007-11-20,21.8,21.8,21.8,21.8,0,18.85
2007-11-21,21.8,21.8,21.8,21.8,0,18.85
2007-11-22,21.5,21.5,21.5,21.5,0,18.59
2007-11-23,21.5,21.5,21.5,21.5,0,18.59
2007-11-26,21.5,21.5,21.5,21.5,0,18.59
2007-11-27,21.1,21.1,21.1,21.1,0,18.25
2007-11-28,21.49,21.49,21.49,21.49,0,18.58
2007-11-29,21.25,21.25,21.25,21.25,0,18.38
2007-11-30,21.49,21.49,21.49,21.49,0,18.58
2007-12-03,21.39,21.39,21.39,21.39,0,18.5
2007-12-04,21.49,21.49,21.49,21.49,0,18.58
2007-12-05,21.49,21.49,21.49,21.49,0,18.58
2007-12-06,21.49,21.49,21.49,21.49,0,18.58
2007-12-07,21.49,21.49,21.49,21.49,0,18.58
2007-12-10,21.4,21.4,21.4,21.4,0,18.51
2007-12-11,21.8,21.8,21.8,21.8,0,18.85
2007-12-12,21.8,21.8,21.8,21.8,0,18.85
2007-12-13,21.8,21.8,21.8,21.8,0,18.85
2007-12-14,21.8,21.8,21.8,21.8,0,18.85
2007-12-17,22.0,22.0,22.0,22.0,0,19.02
2007-12-18,22.0,22.0,22.0,22.0,0,19.02
2007-12-19,21.75,21.75,21.75,21.75,0,18.81
2007-12-21,21.5,21.5,20.0,20.0,0,17.29
2007-12-25,20.0,20.0,20.0,20.0,0,17.29
2007-12-26,21.75,21.75,20.0,20.0,0,17.29
2007-12-31,20.0,20.0,20.0,20.0,5000,17.29
2008-01-01,20.0,20.0,20.0,20.0,0,17.29
2008-01-02,23.0,23.0,23.0,23.0,0,19.89
2008-01-03,23.0,23.0,23.0,23.0,0,19.89
2008-01-04,23.0,23.0,18.0,18.0,0,15.57
2008-01-07,23.0,23.0,23.0,23.0,0,19.89
2008-01-08,22.0,22.0,22.0,22.0,0,19.02
2008-01-09,21.46,21.46,21.46,21.46,0,18.56
2008-01-10,21.46,21.46,21.46,21.46,0,18.56
2008-01-11,21.46,21.46,21.46,21.46,0,18.56
2008-01-14,21.9,21.9,21.9,21.9,33800,18.94
2008-01-15,21.4,21.4,21.4,21.4,0,18.51
2008-01-16,21.5,21.5,21.5,21.5,0,18.59
2008-01-17,21.5,21.5,19.0,19.0,0,16.43
2008-01-18,20.0,20.0,19.0,19.0,0,16.43
2008-01-21,21.5,21.5,19.0,19.0,0,16.43
2008-01-22,21.0,21.0,19.0,19.0,0,16.43
2008-01-23,21.0,21.0,19.0,19.0,0,16.43
2008-01-24,21.0,21.0,19.0,19.0,0,16.43
2008-01-25,21.0,21.0,19.0,19.0,0,16.43
2008-01-28,21.0,21.0,21.0,21.0,0,18.16
2008-01-29,21.0,21.0,21.0,21.0,0,18.16
2008-01-30,21.0,21.0,21.0,21.0,0,18.16
2008-01-31,21.0,21.0,21.0,21.0,0,18.16
2008-02-01,21.0,21.0,21.0,21.0,0,18.16
2008-02-04,21.0,21.0,21.0,21.0,0,18.16
2008-02-05,21.9,21.9,21.9,21.9,0,18.94
2008-02-06,21.5,21.5,21.5,21.5,0,18.59
2008-02-07,21.5,21.5,21.5,21.5,0,18.59
2008-02-08,21.5,21.5,21.5,21.5,0,18.59
2008-02-11,21.5,21.5,21.5,21.5,0,18.59
2008-02-12,21.4,21.4,21.4,21.4,0,18.51
2008-02-13,21.4,21.4,21.4,21.4,0,18.51
2008-02-14,21.4,21.4,21.4,21.4,0,18.51
2008-02-15,21.4,21.4,21.4,21.4,0,18.51
2008-02-18,21.4,21.4,21.4,21.4,0,18.51
2008-02-19,21.0,21.0,21.0,21.0,0,18.16
2008-02-20,21.0,21.0,20.7,20.7,0,17.9
2008-02-21,21.0,21.0,21.0,21.0,0,18.16
2008-02-22,21.0,21.0,21.0,21.0,0,18.16
2008-02-25,21.0,21.0,21.0,21.0,0,18.16
2008-02-26,21.0,21.0,21.0,21.0,0,18.16
2008-02-27,20.5,20.5,20.01,20.01,0,17.3
2008-02-28,20.5,20.5,19.5,19.5,27100,16.86
2008-02-29,21.0,21.0,19.5,21.0,0,18.16
2008-03-03,21.0,21.0,21.0,21.0,0,18.16
2008-03-04,21.0,21.0,21.0,21.0,0,18.16
2008-03-05,21.0,21.0,21.0,21.0,0,18.16
2008-03-06,21.0,21.0,21.0,21.0,0,18.16
2008-03-07,21.0,21.0,21.0,21.0,0,18.16
2008-03-10,21.0,21.0,21.0,21.0,0,18.16
2008-03-11,21.0,21.0,21.0,21.0,0,18.16
2008-03-12,21.0,21.0,21.0,21.0,0,18.16
2008-03-13,21.0,21.0,21.0,21.0,0,18.16
2008-03-14,21.0,21.0,21.0,21.0,0,18.16
2008-03-18,21.0,21.0,21.0,21.0,0,18.16
2008-03-19,21.0,21.0,21.0,21.0,0,18.16
2008-03-20,21.0,21.0,21.0,21.0,0,18.16
2008-03-21,21.0,21.0,21.0,21.0,0,18.16
2008-03-24,21.0,21.0,21.0,21.0,0,18.16
2008-03-25,21.0,21.0,21.0,21.0,0,18.16
2008-03-26,21.0,21.0,21.0,21.0,0,18.16
2008-03-27,21.0,21.0,21.0,21.0,0,18.16
2008-03-28,21.0,21.0,21.0,21.0,0,18.16
2008-03-31,21.0,21.0,21.0,21.0,1000,18.16
2008-04-01,20.8,20.8,20.8,20.8,0,17.99
2008-04-02,20.8,20.8,20.8,20.8,0,17.99
2008-04-03,20.8,20.8,20.8,20.8,0,17.99
2008-04-04,20.8,20.8,20.8,20.8,0,17.99
2008-04-07,20.8,20.8,20.8,20.8,0,17.99
2008-04-08,22.0,22.0,22.0,22.0,0,19.02
2008-04-09,22.0,22.0,22.0,22.0,0,19.02
2008-04-10,22.0,22.0,22.0,22.0,0,19.02
2008-04-11,22.0,22.0,22.0,22.0,0,19.02
2008-04-14,21.0,21.0,21.0,21.0,0,18.16
2008-04-15,21.0,21.0,21.0,21.0,0,18.16
2008-04-16,21.0,21.0,21.0,21.0,0,18.16
2008-04-17,21.0,21.0,21.0,21.0,0,18.16
2008-04-18,20.8,20.8,20.5,20.5,0,17.73
2008-04-21,20.5,20.5,20.5,20.5,0,17.73
2008-04-22,20.8,20.8,20.8,20.8,0,17.99
2008-04-23,20.8,20.8,18.5,18.5,0,16.0
