Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2007-11-08,36.25,37.52,36.25,37.0,18031700,37.0,MEGACPO.MX
2007-11-09,36.9,37.95,36.9,37.57,5043000,37.57,MEGACPO.MX
2007-11-12,37.57,38.1,37.19,37.52,8279200,37.52,MEGACPO.MX
2007-11-13,37.6,39.49,37.59,39.01,4356100,39.01,MEGACPO.MX
2007-11-14,39.15,39.15,38.0,38.12,5983000,38.12,MEGACPO.MX
2007-11-15,38.12,38.12,37.8,37.8,777600,37.8,MEGACPO.MX
2007-11-16,37.5,37.5,36.0,37.04,5024800,37.04,MEGACPO.MX
2007-11-20,37.0,37.59,37.0,37.38,1691800,37.38,MEGACPO.MX
2007-11-21,37.3,37.3,36.1,36.75,2949500,36.75,MEGACPO.MX
2007-11-22,36.65,37.5,36.65,37.45,745400,37.45,MEGACPO.MX
2007-11-23,38.0,38.0,37.84,37.84,1117600,37.84,MEGACPO.MX
2007-11-26,37.8,37.8,36.7,36.74,195400,36.74,MEGACPO.MX
2007-11-27,36.76,36.76,36.02,36.04,1739600,36.04,MEGACPO.MX
2007-11-28,36.11,37.5,36.11,36.83,1533800,36.83,MEGACPO.MX
2007-11-29,36.83,36.83,36.0,36.0,505200,36.0,MEGACPO.MX
2007-11-30,36.0,36.01,35.8,36.0,2127400,36.0,MEGACPO.MX
2007-12-03,36.0,36.3,35.81,36.3,140500,36.3,MEGACPO.MX
2007-12-04,36.31,36.8,36.15,36.8,33600,36.8,MEGACPO.MX
2007-12-05,37.0,37.5,37.0,37.5,1113800,37.5,MEGACPO.MX
2007-12-06,37.51,38.4,37.51,38.05,2616500,38.05,MEGACPO.MX
2007-12-07,38.0,38.1,38.0,38.0,2447000,38.0,MEGACPO.MX
2007-12-10,38.01,38.35,38.01,38.15,775100,38.15,MEGACPO.MX
2007-12-11,38.15,38.25,38.0,38.0,413600,38.0,MEGACPO.MX
2007-12-13,38.0,38.0,37.87,37.95,398900,37.95,MEGACPO.MX
2007-12-14,38.0,38.1,37.99,38.1,830100,38.1,MEGACPO.MX
2007-12-17,37.75,37.75,37.7,37.75,289900,37.75,MEGACPO.MX
2007-12-18,38.0,38.0,37.24,37.5,1120600,37.5,MEGACPO.MX
2007-12-19,37.24,37.25,37.0,37.1,51700,37.1,MEGACPO.MX
2007-12-20,36.99,37.0,36.96,36.99,222500,36.99,MEGACPO.MX
2007-12-21,36.99,37.5,36.99,37.1,73700,37.1,MEGACPO.MX
2007-12-24,35.0,37.1,35.0,35.0,0,35.0,MEGACPO.MX
2007-12-26,36.9,37.0,36.9,37.0,900,37.0,MEGACPO.MX
2007-12-27,37.0,37.0,36.75,36.75,20300,36.75,MEGACPO.MX
2007-12-28,37.0,37.0,36.9,37.0,45800,37.0,MEGACPO.MX
2007-12-31,37.0,37.06,37.0,37.06,1900,37.06,MEGACPO.MX
2008-01-02,37.06,37.06,36.99,37.0,200100,37.0,MEGACPO.MX
2008-01-03,36.95,37.0,36.5,36.5,138000,36.5,MEGACPO.MX
2008-01-04,36.25,36.31,36.25,36.31,86500,36.31,MEGACPO.MX
2008-01-07,36.25,36.25,36.0,36.0,1683600,36.0,MEGACPO.MX
2008-01-08,37.1,37.9,36.0,36.25,250200,36.25,MEGACPO.MX
2008-01-09,37.0,37.0,36.0,36.19,292100,36.19,MEGACPO.MX
2008-01-10,35.99,36.01,35.99,36.0,1263700,36.0,MEGACPO.MX
2008-01-11,35.75,35.75,35.75,35.75,1610600,35.75,MEGACPO.MX
2008-01-14,35.75,35.75,35.5,35.5,116400,35.5,MEGACPO.MX
2008-01-15,35.05,35.05,34.75,34.75,101000,34.75,MEGACPO.MX
2008-01-16,33.0,33.5,33.0,33.16,406800,33.16,MEGACPO.MX
2008-01-17,32.99,33.01,28.2,28.2,989200,28.2,MEGACPO.MX
2008-01-18,32.43,33.2,32.42,33.0,1386000,33.0,MEGACPO.MX
2008-01-21,31.5,32.0,31.3,32.0,1053300,32.0,MEGACPO.MX
2008-01-22,32.0,32.0,31.48,31.48,3196400,31.48,MEGACPO.MX
2008-01-23,31.1,31.45,30.5,31.0,616500,31.0,MEGACPO.MX
2008-01-24,31.5,32.0,31.3,32.0,4831700,32.0,MEGACPO.MX
2008-01-25,32.0,32.0,31.0,31.0,3424100,31.0,MEGACPO.MX
2008-01-28,31.3,31.3,31.29,31.29,733000,31.29,MEGACPO.MX
2008-01-29,31.4,31.4,31.4,31.4,3000,31.4,MEGACPO.MX
2008-01-30,28.51,30.2,28.51,30.02,3796200,30.02,MEGACPO.MX
2008-01-31,29.94,31.5,29.94,31.5,6280200,31.5,MEGACPO.MX
2008-02-01,31.5,32.5,31.25,32.5,796200,32.5,MEGACPO.MX
2008-02-05,32.39,32.5,32.0,32.0,1435400,32.0,MEGACPO.MX
2008-02-06,32.01,32.01,31.99,32.0,1554200,32.0,MEGACPO.MX
2008-02-07,31.99,32.0,31.49,31.5,1770500,31.5,MEGACPO.MX
2008-02-08,31.99,32.0,31.99,32.0,134000,32.0,MEGACPO.MX
2008-02-11,32.0,32.0,31.49,31.49,26300,31.49,MEGACPO.MX
2008-02-12,31.5,31.5,31.17,31.38,58700,31.38,MEGACPO.MX
2008-02-13,31.3,31.3,29.79,30.27,77000,30.27,MEGACPO.MX
2008-02-14,30.27,30.45,29.99,30.45,9313600,30.45,MEGACPO.MX
2008-02-15,30.99,31.1,30.99,31.0,155300,31.0,MEGACPO.MX
2008-02-18,31.02,31.5,31.0,31.48,10300,31.48,MEGACPO.MX
2008-02-19,31.48,31.55,31.35,31.5,248400,31.5,MEGACPO.MX
2008-02-20,30.5,30.5,30.5,30.5,3600,30.5,MEGACPO.MX
2008-02-21,32.5,32.5,31.0,31.06,34000,31.06,MEGACPO.MX
2008-02-22,31.05,31.4,31.0,31.4,23800,31.4,MEGACPO.MX
2008-02-25,31.4,31.4,31.2,31.2,47000,31.2,MEGACPO.MX
2008-02-26,31.2,31.4,30.9,31.0,732200,31.0,MEGACPO.MX
2008-02-27,31.2,31.2,30.4,31.17,6469000,31.17,MEGACPO.MX
2008-02-28,31.5,31.5,31.5,31.5,10500,31.5,MEGACPO.MX
2008-02-29,31.0,31.4,30.15,30.15,3474700,30.15,MEGACPO.MX
2008-03-03,31.0,31.0,29.8,29.8,36900,29.8,MEGACPO.MX
2008-03-04,29.8,30.82,29.8,30.6,51800,30.6,MEGACPO.MX
2008-03-05,30.4,30.97,30.4,30.95,163600,30.95,MEGACPO.MX
2008-03-06,30.3,30.5,30.3,30.5,31900,30.5,MEGACPO.MX
2008-03-07,30.5,31.0,30.3,30.47,1541800,30.47,MEGACPO.MX
2008-03-10,30.46,30.46,29.06,29.06,0,29.06,MEGACPO.MX
2008-03-11,30.45,30.45,29.5,29.5,0,29.5,MEGACPO.MX
2008-03-12,30.5,30.5,30.5,30.5,20900,30.5,MEGACPO.MX
2008-03-13,29.71,31.99,29.7,29.71,0,29.71,MEGACPO.MX
2008-03-14,29.5,29.5,29.5,29.5,17000,29.5,MEGACPO.MX
2008-03-18,29.0,29.0,28.0,28.12,141600,28.12,MEGACPO.MX
2008-03-19,28.11,28.11,27.9,27.9,63300,27.9,MEGACPO.MX
2008-03-24,29.55,29.55,28.95,29.0,36200,29.0,MEGACPO.MX
2008-03-25,28.99,29.5,28.99,29.5,1551700,29.5,MEGACPO.MX
2008-03-26,29.5,29.5,28.5,29.39,44400,29.39,MEGACPO.MX
2008-03-27,29.5,29.55,28.3,28.43,249300,28.43,MEGACPO.MX
2008-03-28,28.43,28.43,28.43,28.43,14600,28.43,MEGACPO.MX
2008-03-31,28.43,29.0,28.43,28.51,22400,28.51,MEGACPO.MX
2008-04-01,28.51,29.0,28.3,29.0,115800,29.0,MEGACPO.MX
2008-04-02,27.29,28.99,27.2,27.29,0,27.29,MEGACPO.MX
2008-04-03,27.89,28.15,27.75,27.76,171800,27.76,MEGACPO.MX
2008-04-04,27.76,28.0,27.5,27.5,25500,27.5,MEGACPO.MX
2008-04-07,27.5,27.84,27.49,27.5,23700,27.5,MEGACPO.MX
2008-04-08,27.45,27.45,27.45,27.45,3700,27.45,MEGACPO.MX
2008-04-09,27.25,27.25,26.69,26.94,821400,26.94,MEGACPO.MX
2008-04-10,26.94,26.94,26.89,26.89,12200,26.89,MEGACPO.MX
2008-04-11,26.41,26.45,26.0,26.32,88800,26.32,MEGACPO.MX
2008-04-14,26.2,26.5,26.0,26.0,95700,26.0,MEGACPO.MX
2008-04-15,25.5,26.39,25.5,25.85,1389100,25.85,MEGACPO.MX
2008-04-16,26.3,26.3,26.0,26.3,38800,26.3,MEGACPO.MX
2008-04-17,26.05,26.05,25.5,25.7,88700,25.7,MEGACPO.MX
2008-04-18,25.71,26.15,25.7,26.13,318300,26.13,MEGACPO.MX
2008-04-21,25.75,25.75,25.5,25.62,13100,25.62,MEGACPO.MX
2008-04-22,25.62,26.0,25.62,26.0,1290700,26.0,MEGACPO.MX
2008-04-23,25.9,25.9,25.62,25.62,12000,25.62,MEGACPO.MX
