Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-10-02,14.0,14.0,13.99,14.0,615600,4.27,MEXCHEM.MX
2006-10-03,14.01,14.01,13.99,14.0,3082800,4.27,MEXCHEM.MX
2006-10-04,14.1,14.1,13.95,14.01,669900,4.27,MEXCHEM.MX
2006-10-05,13.9,14.1,13.9,14.01,1586100,4.27,MEXCHEM.MX
2006-10-06,14.0,14.35,14.0,14.35,838800,4.37,MEXCHEM.MX
2006-10-09,14.35,14.45,14.29,14.45,670200,4.4,MEXCHEM.MX
2006-10-10,14.46,14.46,14.22,14.39,1004100,4.39,MEXCHEM.MX
2006-10-11,14.4,14.45,14.34,14.41,5136000,4.39,MEXCHEM.MX
2006-10-12,14.49,14.69,14.49,14.65,14643000,4.46,MEXCHEM.MX
2006-10-13,14.6,14.7,14.6,14.7,1569900,4.48,MEXCHEM.MX
2006-10-16,14.8,15.05,14.79,14.99,1281600,4.57,MEXCHEM.MX
2006-10-17,14.94,14.94,14.85,14.93,24550800,4.55,MEXCHEM.MX
2006-10-18,14.9,15.15,14.9,15.14,3237600,4.61,MEXCHEM.MX
2006-10-19,15.1,15.3,14.93,15.3,841800,4.66,MEXCHEM.MX
2006-10-20,15.09,15.4,15.0,15.39,6312900,4.69,MEXCHEM.MX
2006-10-23,15.5,15.7,15.5,15.5,964800,4.72,MEXCHEM.MX
2006-10-24,15.25,15.6,15.25,15.59,880200,4.75,MEXCHEM.MX
2006-10-25,15.59,15.6,15.5,15.6,599700,4.75,MEXCHEM.MX
2006-10-26,16.0,16.0,15.4,15.64,359700,4.77,MEXCHEM.MX
2006-10-27,15.6,15.6,15.4,15.4,621900,4.69,MEXCHEM.MX
2006-10-30,15.4,15.4,15.24,15.25,810900,4.65,MEXCHEM.MX
2006-10-31,15.5,15.61,15.39,15.61,1085400,4.76,MEXCHEM.MX
2006-11-01,15.61,15.7,15.6,15.62,738900,4.76,MEXCHEM.MX
2006-11-02,15.62,15.62,15.62,15.62,0,4.76,MEXCHEM.MX
2006-11-03,15.45,15.45,15.4,15.45,716400,4.71,MEXCHEM.MX
2006-11-06,15.6,16.0,15.6,15.6,402600,4.75,MEXCHEM.MX
2006-11-07,15.6,15.7,15.6,15.7,379200,4.78,MEXCHEM.MX
2006-11-08,15.7,15.9,15.7,15.88,690300,4.84,MEXCHEM.MX
2006-11-09,15.9,15.99,15.85,15.85,3481200,4.83,MEXCHEM.MX
2006-11-10,15.8,15.99,15.8,15.99,231300,4.87,MEXCHEM.MX
2006-11-13,15.9,16.2,15.9,16.2,358500,4.94,MEXCHEM.MX
2006-11-14,16.2,16.2,16.1,16.2,317400,4.94,MEXCHEM.MX
2006-11-15,16.2,16.5,16.15,16.5,5640300,5.03,MEXCHEM.MX
2006-11-16,16.45,16.55,16.45,16.55,1918200,5.04,MEXCHEM.MX
2006-11-17,16.5,16.8,16.3,16.77,184500,5.11,MEXCHEM.MX
2006-11-20,16.77,16.77,16.77,16.77,0,5.11,MEXCHEM.MX
2006-11-21,16.91,17.0,16.75,17.0,1117500,5.18,MEXCHEM.MX
2006-11-22,17.0,17.2,16.9,17.19,1483500,5.24,MEXCHEM.MX
2006-11-23,17.19,17.32,17.19,17.2,1022400,5.24,MEXCHEM.MX
2006-11-24,17.3,17.3,17.1,17.2,618000,5.24,MEXCHEM.MX
2006-11-27,17.2,17.2,16.8,16.8,917700,5.12,MEXCHEM.MX
2006-11-28,16.8,16.8,16.7,16.8,505200,5.12,MEXCHEM.MX
2006-11-29,16.8,16.8,16.5,16.5,1830000,5.03,MEXCHEM.MX
2006-11-30,16.4,16.9,16.21,16.68,846900,5.08,MEXCHEM.MX
2006-12-01,16.68,16.68,16.68,16.68,0,5.08,MEXCHEM.MX
2006-12-04,16.68,16.68,16.4,16.5,3881100,5.03,MEXCHEM.MX
2006-12-05,16.5,17.0,16.5,16.7,3854400,5.09,MEXCHEM.MX
2006-12-06,16.7,17.99,16.6,17.87,10096500,5.45,MEXCHEM.MX
2006-12-07,17.87,18.0,17.6,17.87,1672800,5.45,MEXCHEM.MX
2006-12-08,18.0,18.3,18.0,18.0,1268700,5.49,MEXCHEM.MX
2006-12-11,17.9,18.6,17.85,18.31,1860300,5.58,MEXCHEM.MX
2006-12-12,18.31,18.31,18.31,18.31,0,5.58,MEXCHEM.MX
2006-12-13,18.3,18.5,18.1,18.5,969300,5.64,MEXCHEM.MX
2006-12-14,18.55,18.75,18.53,18.65,1987200,5.68,MEXCHEM.MX
2006-12-15,18.65,18.8,18.65,18.75,582600,5.71,MEXCHEM.MX
2006-12-18,19.0,19.0,18.5,18.51,1245600,5.64,MEXCHEM.MX
2006-12-19,18.6,19.0,18.51,18.51,495000,5.64,MEXCHEM.MX
2006-12-20,18.49,18.9,18.0,18.45,234900,5.62,MEXCHEM.MX
2006-12-21,18.9,18.9,18.7,18.7,397200,5.7,MEXCHEM.MX
2006-12-22,18.5,18.99,18.5,18.54,249300,5.65,MEXCHEM.MX
2006-12-25,18.54,18.54,18.54,18.54,0,5.65,MEXCHEM.MX
2006-12-26,18.5,18.6,18.5,18.6,398100,5.67,MEXCHEM.MX
2006-12-27,19.0,19.0,18.9,19.0,438900,5.79,MEXCHEM.MX
2006-12-28,18.98,19.1,18.98,19.1,538200,5.82,MEXCHEM.MX
2006-12-29,19.0,19.0,18.85,18.85,645000,5.74,MEXCHEM.MX
2007-01-01,18.85,18.85,18.85,18.85,0,5.74,MEXCHEM.MX
2007-01-02,18.99,19.0,18.95,19.0,402900,5.79,MEXCHEM.MX
2007-01-03,19.0,19.0,18.75,18.8,347400,5.73,MEXCHEM.MX
2007-01-04,18.9,19.0,18.88,19.0,556800,5.79,MEXCHEM.MX
2007-01-05,19.0,19.0,18.9,19.0,921000,5.79,MEXCHEM.MX
2007-01-08,19.0,19.1,18.9,18.9,638100,5.76,MEXCHEM.MX
2007-01-09,18.9,18.9,18.7,18.9,265800,5.76,MEXCHEM.MX
2007-01-10,18.9,19.5,18.9,19.01,831900,5.79,MEXCHEM.MX
2007-01-11,19.0,19.05,18.9,19.05,441000,5.81,MEXCHEM.MX
2007-01-12,18.8,19.15,18.6,19.11,610500,5.82,MEXCHEM.MX
2007-01-15,19.11,19.2,19.11,19.2,255900,5.85,MEXCHEM.MX
2007-01-16,19.2,19.3,19.18,19.3,830700,5.88,MEXCHEM.MX
2007-01-17,19.01,19.2,19.0,19.2,666000,5.85,MEXCHEM.MX
2007-01-18,19.15,19.3,19.0,19.3,7166400,5.88,MEXCHEM.MX
2007-01-19,19.3,19.4,19.25,19.4,7739400,5.91,MEXCHEM.MX
2007-01-22,19.4,19.5,19.2,19.45,1106700,5.93,MEXCHEM.MX
2007-01-23,19.4,19.99,19.4,19.72,6874200,6.01,MEXCHEM.MX
2007-01-24,19.72,20.25,19.7,20.2,21537000,6.16,MEXCHEM.MX
2007-01-25,19.61,20.0,19.61,20.0,5142600,6.1,MEXCHEM.MX
2007-01-26,19.75,20.0,19.75,20.0,680400,6.1,MEXCHEM.MX
2007-01-29,19.9,20.0,19.9,20.0,1844100,6.1,MEXCHEM.MX
2007-01-30,20.0,20.2,20.0,20.15,360900,6.14,MEXCHEM.MX
2007-01-31,20.0,20.3,20.0,20.22,1878900,6.16,MEXCHEM.MX
2007-02-01,20.2,20.25,20.0,20.09,1855500,6.12,MEXCHEM.MX
2007-02-02,20.1,20.2,20.1,20.2,686400,6.16,MEXCHEM.MX
2007-02-05,20.2,20.2,20.2,20.2,0,6.16,MEXCHEM.MX
2007-02-06,20.3,20.3,20.05,20.1,847800,6.13,MEXCHEM.MX
2007-02-07,20.15,20.15,20.05,20.1,2525400,6.13,MEXCHEM.MX
2007-02-08,20.1,20.12,19.85,19.9,2651100,6.06,MEXCHEM.MX
2007-02-09,19.8,19.8,19.7,19.8,1329900,6.03,MEXCHEM.MX
2007-02-12,19.9,19.9,19.85,19.85,251700,6.05,MEXCHEM.MX
2007-02-13,19.61,20.1,19.61,20.1,3356400,6.13,MEXCHEM.MX
2007-02-14,20.1,20.3,20.1,20.27,426300,6.18,MEXCHEM.MX
2007-02-15,20.2,20.4,20.0,20.4,1894800,6.22,MEXCHEM.MX
2007-02-16,20.4,20.5,20.0,20.5,1947900,6.25,MEXCHEM.MX
2007-02-19,20.5,20.6,20.5,20.6,409500,6.28,MEXCHEM.MX
2007-02-20,20.6,20.6,20.5,20.6,772200,6.28,MEXCHEM.MX
2007-02-21,20.6,21.49,20.6,21.1,3471300,6.43,MEXCHEM.MX
2007-02-22,21.1,22.7,20.9,22.6,7095600,6.89,MEXCHEM.MX
2007-02-23,22.6,25.0,22.6,25.0,3534000,7.62,MEXCHEM.MX
2007-02-26,24.9,25.9,24.89,25.04,14331300,7.63,MEXCHEM.MX
2007-02-27,24.8,25.0,23.5,23.76,4370400,7.24,MEXCHEM.MX
2007-02-28,24.03,24.06,23.4,23.75,2504400,7.24,MEXCHEM.MX
2007-03-01,23.75,24.0,23.4,23.87,1644600,7.27,MEXCHEM.MX
2007-03-02,23.87,23.89,23.24,23.8,864600,7.25,MEXCHEM.MX
2007-03-05,23.8,25.1,23.8,24.8,4436400,7.56,MEXCHEM.MX
2007-03-06,25.1,26.0,25.0,25.55,4608300,7.79,MEXCHEM.MX
2007-03-07,26.0,27.12,25.9,27.11,3025800,8.26,MEXCHEM.MX
2007-03-08,27.5,27.8,27.25,27.51,2316300,8.38,MEXCHEM.MX
2007-03-09,27.49,27.5,27.3,27.39,466200,8.35,MEXCHEM.MX
2007-03-12,27.51,28.02,27.5,28.0,1713000,8.53,MEXCHEM.MX
2007-03-13,28.0,28.0,27.3,27.66,1015200,8.43,MEXCHEM.MX
2007-03-14,27.66,28.0,27.65,27.95,618000,8.52,MEXCHEM.MX
2007-03-15,27.94,29.0,27.94,28.18,987300,8.59,MEXCHEM.MX
2007-03-16,28.0,28.2,28.0,28.2,310200,8.59,MEXCHEM.MX
2007-03-19,28.2,28.2,28.2,28.2,0,8.59,MEXCHEM.MX
2007-03-20,28.25,28.25,28.1,28.2,1195200,8.59,MEXCHEM.MX
2007-03-21,28.45,28.9,28.05,28.72,813300,8.75,MEXCHEM.MX
2007-03-22,28.72,29.8,28.72,29.24,527100,8.91,MEXCHEM.MX
2007-03-23,29.0,29.79,28.8,29.08,440100,8.86,MEXCHEM.MX
2007-03-26,29.08,29.1,28.99,29.0,852600,8.84,MEXCHEM.MX
2007-03-27,28.9,28.9,28.4,28.41,1114800,8.66,MEXCHEM.MX
2007-03-28,28.43,28.43,27.8,27.88,1096200,8.5,MEXCHEM.MX
2007-03-29,28.4,28.8,28.4,28.51,1229100,8.69,MEXCHEM.MX
2007-03-30,28.51,29.0,28.5,28.83,1540200,8.79,MEXCHEM.MX
2007-04-02,29.79,30.8,29.79,30.5,1903800,9.3,MEXCHEM.MX
2007-04-03,30.5,31.0,30.3,30.37,2567100,9.26,MEXCHEM.MX
2007-04-04,30.5,30.5,29.5,30.3,913500,9.23,MEXCHEM.MX
2007-04-05,30.3,30.3,30.3,30.3,0,9.23,MEXCHEM.MX
2007-04-06,30.3,30.3,30.3,30.3,0,9.23,MEXCHEM.MX
2007-04-09,30.3,30.35,30.3,30.3,549600,9.23,MEXCHEM.MX
2007-04-10,30.3,30.3,29.76,29.99,2499900,9.14,MEXCHEM.MX
2007-04-11,30.0,30.0,29.74,29.98,1142400,9.14,MEXCHEM.MX
2007-04-12,30.0,30.5,29.99,30.5,775500,9.3,MEXCHEM.MX
2007-04-13,30.49,30.5,30.45,30.5,303900,9.3,MEXCHEM.MX
2007-04-16,30.5,31.0,30.49,30.5,1317000,9.3,MEXCHEM.MX
2007-04-17,30.4,31.0,30.4,30.65,385800,9.34,MEXCHEM.MX
2007-04-18,30.66,32.2,30.66,32.01,1145400,9.76,MEXCHEM.MX
2007-04-19,32.01,32.7,31.86,32.7,4104300,9.97,MEXCHEM.MX
2007-04-20,32.7,34.15,32.7,33.7,820200,10.27,MEXCHEM.MX
2007-04-23,33.9,34.6,33.8,34.32,2068800,10.46,MEXCHEM.MX
2007-04-24,34.32,35.9,34.32,35.59,637800,10.85,MEXCHEM.MX
2007-04-25,35.63,36.5,35.63,35.94,1889100,10.95,MEXCHEM.MX
2007-04-26,35.94,35.94,34.95,35.3,1344300,10.76,MEXCHEM.MX
2007-04-27,35.75,35.75,33.98,34.61,2058900,10.55,MEXCHEM.MX
2007-04-30,34.0,34.0,33.4,33.4,2910900,10.18,MEXCHEM.MX
2007-05-01,33.4,33.4,33.4,33.4,0,10.18,MEXCHEM.MX
2007-05-02,33.5,33.5,32.4,32.68,1645800,9.96,MEXCHEM.MX
2007-05-03,32.7,34.2,32.7,33.36,3621900,10.17,MEXCHEM.MX
2007-05-04,33.36,35.0,33.36,34.61,6671700,10.55,MEXCHEM.MX
2007-05-07,35.0,36.3,35.0,35.73,6346200,10.89,MEXCHEM.MX
2007-05-08,35.73,36.1,34.98,35.0,4321200,10.67,MEXCHEM.MX
2007-05-09,35.0,35.0,33.91,34.0,1824900,10.36,MEXCHEM.MX
2007-05-10,34.0,34.0,33.7,33.87,705300,10.32,MEXCHEM.MX
2007-05-11,33.87,33.9,32.7,32.75,3159900,9.98,MEXCHEM.MX
2007-05-14,32.8,32.81,31.4,31.46,1874100,9.59,MEXCHEM.MX
2007-05-15,31.46,32.5,31.4,31.95,3981600,9.74,MEXCHEM.MX
2007-05-16,32.0,33.0,31.49,32.7,3669900,9.97,MEXCHEM.MX
2007-05-17,32.2,33.0,32.2,32.79,1986900,9.99,MEXCHEM.MX
2007-05-18,32.79,32.79,31.8,32.11,3047100,9.79,MEXCHEM.MX
2007-05-21,32.7,32.7,32.0,32.1,1573500,9.78,MEXCHEM.MX
2007-05-22,31.75,32.49,31.75,32.37,1621800,9.87,MEXCHEM.MX
2007-05-23,32.37,32.7,32.25,32.36,2004000,9.86,MEXCHEM.MX
2007-05-24,32.3,32.3,32.0,32.0,631200,9.75,MEXCHEM.MX
2007-05-25,32.2,32.5,32.2,32.3,904800,9.84,MEXCHEM.MX
2007-05-28,32.3,32.8,32.3,32.7,1161000,9.97,MEXCHEM.MX
2007-05-29,32.9,34.0,32.5,33.56,4620000,10.23,MEXCHEM.MX
2007-05-30,33.51,34.9,33.5,34.76,3524400,10.59,MEXCHEM.MX
2007-05-31,35.0,35.2,34.26,34.37,1833300,10.47,MEXCHEM.MX
2007-06-01,34.6,35.2,34.6,34.85,3231000,10.62,MEXCHEM.MX
2007-06-04,34.85,35.0,34.1,34.9,967200,10.64,MEXCHEM.MX
2007-06-05,35.0,35.0,34.5,34.89,1042800,10.63,MEXCHEM.MX
2007-06-06,34.89,34.89,34.3,34.31,774000,10.46,MEXCHEM.MX
2007-06-07,34.87,34.87,32.99,34.0,1589100,10.36,MEXCHEM.MX
2007-06-08,34.2,34.9,34.2,34.9,1614000,10.64,MEXCHEM.MX
2007-06-11,35.1,36.1,34.95,35.54,1880100,10.83,MEXCHEM.MX
2007-06-12,35.31,35.8,35.31,35.42,987300,10.79,MEXCHEM.MX
2007-06-13,35.4,35.4,35.0,35.25,1554000,10.74,MEXCHEM.MX
2007-06-14,35.3,35.35,35.0,35.18,1340100,10.72,MEXCHEM.MX
2007-06-15,35.7,35.7,34.8,35.07,1724400,10.69,MEXCHEM.MX
2007-06-18,35.07,35.1,34.7,35.07,768900,10.69,MEXCHEM.MX
2007-06-19,35.07,35.1,34.7,35.0,775500,10.67,MEXCHEM.MX
2007-06-20,34.95,35.5,34.5,35.0,1004700,10.67,MEXCHEM.MX
2007-06-21,35.0,35.2,34.85,35.01,658800,10.67,MEXCHEM.MX
2007-06-22,35.2,35.8,35.2,35.76,2166900,10.9,MEXCHEM.MX
2007-06-25,36.0,36.79,36.0,36.2,1925400,11.03,MEXCHEM.MX
2007-06-26,36.38,36.5,35.6,35.71,1008000,10.88,MEXCHEM.MX
2007-06-27,35.67,35.67,34.5,35.17,820500,10.72,MEXCHEM.MX
2007-06-28,35.8,35.8,35.3,35.35,854100,10.77,MEXCHEM.MX
2007-06-29,35.35,35.5,35.25,35.5,467700,10.82,MEXCHEM.MX
2007-07-02,35.8,35.86,35.3,35.4,1093800,10.79,MEXCHEM.MX
2007-07-03,35.55,36.1,35.5,36.04,2856900,10.98,MEXCHEM.MX
2007-07-04,36.26,36.5,36.01,36.2,1499400,11.03,MEXCHEM.MX
2007-07-05,36.2,38.4,36.2,38.21,5073900,11.65,MEXCHEM.MX
2007-07-06,38.23,40.0,38.23,39.22,4749900,11.95,MEXCHEM.MX
