Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2010-11-11,26.0,26.0,23.76,24.01,43135500,24.01,OHLMEX.MX
2010-11-12,24.0,24.3,23.87,24.19,12509400,24.19,OHLMEX.MX
2010-11-16,24.15,24.2,23.95,23.95,8018700,23.95,OHLMEX.MX
2010-11-17,24.0,24.2,23.85,24.2,4509400,24.2,OHLMEX.MX
2010-11-18,24.3,24.49,24.29,24.45,3716600,24.45,OHLMEX.MX
2010-11-19,24.35,24.8,24.35,24.79,2666600,24.79,OHLMEX.MX
2010-11-22,24.73,24.75,24.55,24.56,3131600,24.56,OHLMEX.MX
2010-11-23,24.5,24.54,24.32,24.5,4549600,24.5,OHLMEX.MX
2010-11-24,24.5,24.77,24.31,24.7,5577800,24.7,OHLMEX.MX
2010-11-25,24.7,24.9,24.7,24.9,1027700,24.9,OHLMEX.MX
2010-11-26,24.31,24.89,24.31,24.8,1581800,24.8,OHLMEX.MX
2010-11-29,24.7,24.9,24.5,24.5,9173200,24.5,OHLMEX.MX
2010-11-30,24.88,24.9,24.6,24.88,3845500,24.88,OHLMEX.MX
2010-12-01,24.95,25.0,24.8,24.95,6111000,24.95,OHLMEX.MX
2010-12-02,24.89,25.1,24.81,24.89,4716000,24.89,OHLMEX.MX
2010-12-03,24.71,24.97,24.6,24.71,3186800,24.71,OHLMEX.MX
2010-12-06,24.75,24.78,24.43,24.75,2133100,24.75,OHLMEX.MX
2010-12-07,24.59,24.78,24.51,24.59,5551600,24.59,OHLMEX.MX
2010-12-08,24.53,24.7,24.46,24.53,3845800,24.53,OHLMEX.MX
2010-12-09,24.52,24.6,24.3,24.52,8777300,24.52,OHLMEX.MX
2010-12-10,24.45,24.6,24.05,24.45,8749300,24.45,OHLMEX.MX
2010-12-13,24.3,24.5,24.21,24.3,297100,24.3,OHLMEX.MX
2010-12-14,23.92,24.3,23.86,23.92,1900300,23.92,OHLMEX.MX
2010-12-15,23.46,24.0,23.05,23.46,1758100,23.46,OHLMEX.MX
2010-12-16,23.19,23.5,23.06,23.19,644800,23.19,OHLMEX.MX
2010-12-17,23.17,23.5,23.06,23.17,688700,23.17,OHLMEX.MX
2010-12-20,22.77,23.34,22.5,22.77,870500,22.77,OHLMEX.MX
2010-12-21,23.24,23.3,22.65,23.24,6031700,23.24,OHLMEX.MX
2010-12-22,23.05,23.3,22.83,23.05,1265100,23.05,OHLMEX.MX
2010-12-23,22.88,23.09,22.7,22.88,392600,22.88,OHLMEX.MX
2010-12-24,22.88,22.99,22.7,22.88,42400,22.88,OHLMEX.MX
2010-12-27,22.89,23.14,22.5,22.89,102600,22.89,OHLMEX.MX
2010-12-28,22.65,22.96,22.6,22.65,419000,22.65,OHLMEX.MX
2010-12-29,23.0,23.1,22.52,23.0,657000,23.0,OHLMEX.MX
2010-12-30,23.49,23.66,23.0,23.49,534400,23.49,OHLMEX.MX
2010-12-31,23.78,24.0,23.48,23.78,1422400,23.78,OHLMEX.MX
2011-01-03,24.25,24.37,23.77,24.25,2707700,24.25,OHLMEX.MX
2011-01-04,24.66,24.73,24.25,24.66,3051300,24.66,OHLMEX.MX
2011-01-05,24.8,24.87,24.5,24.8,2999900,24.8,OHLMEX.MX
2011-01-06,24.44,24.8,24.26,24.44,652900,24.44,OHLMEX.MX
2011-01-07,23.88,24.64,23.6,23.88,1462300,23.88,OHLMEX.MX
2011-01-10,23.8,23.99,23.7,23.8,2681100,23.8,OHLMEX.MX
2011-01-11,23.72,24.0,23.5,23.72,2359700,23.72,OHLMEX.MX
2011-01-12,23.9,24.2,23.75,23.9,2372800,23.9,OHLMEX.MX
2011-01-13,23.75,23.89,23.54,23.75,676900,23.75,OHLMEX.MX
2011-01-14,23.72,23.9,23.62,23.72,184000,23.72,OHLMEX.MX
2011-01-17,23.72,23.79,23.53,23.72,252000,23.72,OHLMEX.MX
2011-01-18,23.79,23.9,23.67,23.79,927400,23.79,OHLMEX.MX
2011-01-19,24.0,24.4,23.75,24.0,1860600,24.0,OHLMEX.MX
2011-01-20,24.0,24.01,22.6,24.0,1252600,24.0,OHLMEX.MX
2011-01-21,23.8,24.25,23.5,23.8,1358800,23.8,OHLMEX.MX
2011-01-24,23.71,23.9,23.5,23.71,670800,23.71,OHLMEX.MX
2011-01-25,22.93,23.71,22.6,22.93,807400,22.93,OHLMEX.MX
2011-01-26,23.15,23.3,22.6,23.15,1050800,23.15,OHLMEX.MX
2011-01-27,23.37,23.4,23.16,23.37,953900,23.37,OHLMEX.MX
2011-01-28,23.05,23.27,22.85,23.05,772200,23.05,OHLMEX.MX
2011-01-31,23.65,23.84,23.1,23.65,2115900,23.65,OHLMEX.MX
2011-02-01,23.44,23.8,23.2,23.44,1169000,23.44,OHLMEX.MX
2011-02-02,23.51,23.7,23.2,23.51,503300,23.51,OHLMEX.MX
2011-02-03,23.4,23.49,23.01,23.4,932400,23.4,OHLMEX.MX
2011-02-04,23.17,23.5,23.09,23.17,482000,23.17,OHLMEX.MX
2011-02-08,23.61,23.7,22.8,23.61,1997600,23.61,OHLMEX.MX
2011-02-09,23.28,23.8,23.04,23.28,1017200,23.28,OHLMEX.MX
2011-02-10,23.01,23.27,22.67,23.01,2535800,23.01,OHLMEX.MX
2011-02-11,22.94,23.19,22.88,22.94,934300,22.94,OHLMEX.MX
2011-02-14,22.77,23.1,22.57,22.77,183000,22.77,OHLMEX.MX
2011-02-15,22.56,23.2,22.5,22.56,1716900,22.56,OHLMEX.MX
2011-02-16,22.7,22.97,22.6,22.7,1451300,22.7,OHLMEX.MX
2011-02-17,22.97,23.2,22.7,22.97,721400,22.97,OHLMEX.MX
2011-02-18,22.84,22.96,22.07,22.84,831200,22.84,OHLMEX.MX
