Date,Open,High,Low,Close,Volume,Adj Close
2006-11-30,29.1,29.65,28.69,29.44,8167100,25.39
2006-12-04,29.6,30.0,29.5,29.98,3651400,25.85
2006-12-05,29.98,29.99,29.47,29.73,3899200,25.64
2006-12-06,29.68,29.68,29.2,29.3,3222300,25.27
2006-12-07,29.3,29.75,29.3,29.7,3428200,25.61
2006-12-08,29.69,29.71,29.36,29.63,2086500,25.55
2006-12-11,29.7,29.72,29.55,29.68,1008200,25.59
2006-12-13,29.68,29.68,28.8,28.87,1247400,24.9
2006-12-14,28.9,29.3,28.7,29.14,1660800,25.13
2006-12-15,29.29,29.61,28.95,29.08,1493000,25.08
2006-12-18,29.0,29.15,28.73,28.75,905200,24.79
2006-12-19,28.64,28.9,28.4,28.45,603800,24.53
2006-12-20,28.6,28.81,28.46,28.66,903200,24.71
2006-12-21,28.66,28.85,28.45,28.45,436300,24.53
2006-12-22,28.5,28.5,28.3,28.45,251500,24.53
2006-12-26,28.5,29.21,28.31,29.17,335800,25.15
2006-12-27,29.25,30.13,29.25,29.9,2285100,25.78
2006-12-28,29.98,30.3,29.88,30.18,1076000,26.03
2006-12-29,30.25,30.5,29.81,29.83,576100,25.72
2007-01-02,29.75,29.81,29.5,29.51,59600,25.45
2007-01-03,29.79,31.0,29.79,30.95,3510200,26.69
2007-01-04,30.9,31.5,30.9,31.35,1910500,27.03
2007-01-05,31.36,32.0,31.35,31.73,1722500,27.36
2007-01-08,31.93,33.69,31.93,32.12,1858200,27.7
2007-01-09,31.92,32.0,30.99,31.2,1212300,26.91
2007-01-10,30.61,31.2,29.56,30.04,2555300,25.9
2007-01-11,30.11,31.0,30.1,30.96,3846300,26.7
2007-01-12,31.35,31.8,31.22,31.56,2850200,27.22
2007-01-15,31.29,31.29,30.9,31.12,356500,26.84
2007-01-16,31.35,32.4,31.35,32.2,2872400,27.77
2007-01-17,32.7,33.0,32.55,32.94,2096100,28.41
2007-01-18,32.85,32.95,32.6,32.8,745100,28.29
2007-01-19,32.7,32.91,32.41,32.9,225000,28.37
2007-01-22,32.69,32.99,32.61,32.99,111300,28.45
2007-01-23,32.99,33.08,32.54,32.69,566800,28.19
2007-01-24,32.0,32.75,32.0,32.57,889700,28.09
2007-01-25,32.57,32.85,32.3,32.75,612200,28.24
2007-01-26,32.6,33.18,32.6,33.05,1442100,28.5
2007-01-29,33.33,33.96,33.33,33.8,1146100,29.15
2007-01-30,33.9,33.9,33.32,33.48,553400,28.87
2007-01-31,33.35,33.99,33.03,33.87,2791000,29.21
2007-02-01,33.87,33.87,33.2,33.22,988600,28.65
2007-02-02,33.02,33.84,33.02,33.69,490700,29.05
2007-02-06,33.92,34.01,33.2,33.9,316600,29.23
2007-02-07,33.2,34.2,33.08,34.08,452800,29.39
2007-02-08,34.25,34.25,33.5,33.86,548600,29.2
