Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-10-02,12.5,12.5,12.5,12.5,0,12.5,PAPPEL.MX
2006-10-03,11.7,11.7,11.26,11.26,1000,11.26,PAPPEL.MX
2006-10-04,10.26,12.0,10.25,12.0,11000,12.0,PAPPEL.MX
2006-10-05,11.89,11.89,11.89,11.89,2000,11.89,PAPPEL.MX
2006-10-06,11.89,11.89,11.89,11.89,1500,11.89,PAPPEL.MX
2006-10-09,12.68,12.68,10.5,10.5,0,10.5,PAPPEL.MX
2006-10-10,10.5,12.0,10.5,12.0,15100,12.0,PAPPEL.MX
2006-10-11,10.0,10.1,9.91,10.1,109500,10.1,PAPPEL.MX
2006-10-12,10.1,10.1,9.89,9.89,15500,9.89,PAPPEL.MX
2006-10-13,9.89,9.89,9.89,9.89,5000,9.89,PAPPEL.MX
2006-10-16,9.79,9.79,8.5,8.5,0,8.5,PAPPEL.MX
2006-10-17,9.38,9.5,9.0,9.38,41000,9.38,PAPPEL.MX
2006-10-18,9.0,9.0,8.99,8.99,4800,8.99,PAPPEL.MX
2006-10-19,8.55,9.3,8.55,9.3,400,9.3,PAPPEL.MX
2006-10-20,9.3,9.49,9.3,9.49,500,9.49,PAPPEL.MX
2006-10-23,9.49,9.49,9.01,9.4,2800,9.4,PAPPEL.MX
2006-10-24,8.57,9.0,8.14,8.14,1600,8.14,PAPPEL.MX
2006-10-25,8.14,9.0,8.14,8.71,11500,8.71,PAPPEL.MX
2006-10-26,9.24,9.53,9.24,9.52,17100,9.52,PAPPEL.MX
2006-10-27,9.03,9.03,8.8,8.85,13400,8.85,PAPPEL.MX
2006-10-30,8.85,8.85,8.4,8.5,7100,8.5,PAPPEL.MX
2006-10-31,9.23,10.24,9.23,10.0,221900,10.0,PAPPEL.MX
2006-11-01,10.0,10.0,9.8,9.8,3100,9.8,PAPPEL.MX
2006-11-02,9.8,9.8,9.8,9.8,0,9.8,PAPPEL.MX
2006-11-03,10.2,10.2,9.0,9.0,0,9.0,PAPPEL.MX
2006-11-06,10.0,10.5,10.0,10.5,5000,10.5,PAPPEL.MX
2006-11-07,10.48,10.48,9.0,9.0,0,9.0,PAPPEL.MX
2006-11-08,10.48,10.48,8.0,8.0,0,8.0,PAPPEL.MX
2006-11-09,9.49,9.49,9.25,9.25,7700,9.25,PAPPEL.MX
2006-11-10,10.48,10.48,9.26,9.26,0,9.26,PAPPEL.MX
2006-11-13,10.48,10.48,9.3,9.3,0,9.3,PAPPEL.MX
