Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-10-02,13.2,13.3,13.2,13.3,1300,13.3,PASAB.MX
2006-10-03,13.3,13.9,13.3,13.9,26100,13.9,PASAB.MX
2006-10-04,13.9,13.9,13.9,13.9,20000,13.9,PASAB.MX
2006-10-05,13.9,14.0,13.65,13.75,110900,13.75,PASAB.MX
2006-10-06,14.0,15.0,14.0,15.0,40000,15.0,PASAB.MX
2006-10-09,15.0,15.0,14.25,14.25,39600,14.25,PASAB.MX
2006-10-10,14.25,14.25,14.0,14.0,66100,14.0,PASAB.MX
2006-10-11,14.0,14.0,14.0,14.0,37200,14.0,PASAB.MX
2006-10-12,14.0,14.1,14.0,14.03,32900,14.03,PASAB.MX
2006-10-13,14.0,14.25,14.0,14.15,653700,14.15,PASAB.MX
2006-10-16,14.25,14.5,14.0,14.39,31300,14.39,PASAB.MX
2006-10-17,14.3,14.3,14.01,14.01,0,14.01,PASAB.MX
2006-10-18,14.2,14.3,14.2,14.3,630100,14.3,PASAB.MX
2006-10-19,14.2,14.85,14.2,14.83,447000,14.83,PASAB.MX
2006-10-20,14.49,14.9,14.49,14.9,10900,14.9,PASAB.MX
2006-10-23,14.9,14.9,14.7,14.7,29300,14.7,PASAB.MX
2006-10-24,14.9,15.21,14.5,14.7,71700,14.7,PASAB.MX
2006-10-25,14.2,14.9,14.2,14.9,59300,14.9,PASAB.MX
2006-10-26,14.9,15.3,14.8,14.8,72600,14.8,PASAB.MX
2006-10-27,14.8,14.8,14.8,14.8,150000,14.8,PASAB.MX
2006-10-30,14.8,14.8,14.8,14.8,50000,14.8,PASAB.MX
2006-10-31,14.8,14.8,14.8,14.8,131400,14.8,PASAB.MX
2006-11-01,15.1,15.25,15.0,15.05,502400,15.05,PASAB.MX
2006-11-03,15.1,15.3,15.1,15.28,59800,15.28,PASAB.MX
2006-11-06,15.39,15.39,15.19,15.2,146200,15.2,PASAB.MX
2006-11-07,15.28,15.35,15.0,15.35,205200,15.35,PASAB.MX
2006-11-08,15.25,15.3,15.25,15.3,18200,15.3,PASAB.MX
2006-11-09,15.4,15.5,15.37,15.45,79500,15.45,PASAB.MX
2006-11-10,15.5,15.8,15.5,15.73,43800,15.73,PASAB.MX
2006-11-13,15.76,16.0,15.76,16.0,33100,16.0,PASAB.MX
2006-11-14,16.0,16.01,16.0,16.01,6300,16.01,PASAB.MX
2006-11-15,16.01,16.01,16.01,16.01,4000,16.01,PASAB.MX
2006-11-16,15.99,16.0,15.95,15.95,4100,15.95,PASAB.MX
2006-11-17,15.91,15.91,15.91,15.91,3000,15.91,PASAB.MX
2006-11-21,15.91,15.91,15.9,15.91,30000,15.91,PASAB.MX
2006-11-22,15.8,15.84,15.8,15.84,20000,15.84,PASAB.MX
2006-11-23,15.83,15.83,15.83,15.83,2000,15.83,PASAB.MX
2006-11-24,15.84,15.84,15.0,15.0,0,15.0,PASAB.MX
2006-11-27,15.5,15.5,15.0,15.0,483500,15.0,PASAB.MX
2006-11-28,15.0,15.5,15.0,15.5,36000,15.5,PASAB.MX
2006-11-29,15.5,15.5,15.0,15.5,1233600,15.5,PASAB.MX
2006-11-30,15.11,15.2,15.1,15.2,374500,15.2,PASAB.MX
2006-12-04,15.69,15.69,15.69,15.69,200,15.69,PASAB.MX
2006-12-05,15.55,15.98,15.55,15.9,50200,15.9,PASAB.MX
2006-12-06,15.7,15.75,15.7,15.75,77500,15.75,PASAB.MX
2006-12-07,15.7,15.9,15.5,15.89,534600,15.89,PASAB.MX
2006-12-08,16.0,16.0,15.7,15.9,72300,15.9,PASAB.MX
2006-12-11,15.98,16.0,15.9,15.9,30000,15.9,PASAB.MX
2006-12-13,16.0,16.2,16.0,16.2,56200,16.2,PASAB.MX
2006-12-14,16.39,17.0,16.21,17.0,31900,17.0,PASAB.MX
2006-12-15,17.1,17.8,17.01,17.8,69100,17.8,PASAB.MX
2006-12-18,17.8,18.0,17.8,18.0,30300,18.0,PASAB.MX
2006-12-19,17.8,18.0,17.8,18.0,26000,18.0,PASAB.MX
2006-12-20,18.0,18.1,18.0,18.1,100000,18.1,PASAB.MX
2006-12-21,18.1,18.11,18.1,18.1,806100,18.1,PASAB.MX
2006-12-22,18.0,18.0,18.0,18.0,1005700,18.0,PASAB.MX
2006-12-26,18.0,18.02,18.0,18.02,33000,18.02,PASAB.MX
2006-12-27,18.1,18.1,18.02,18.02,31700,18.02,PASAB.MX
2006-12-28,17.95,18.4,17.95,18.4,5100,18.4,PASAB.MX
2006-12-29,17.95,18.0,17.9,18.0,133600,18.0,PASAB.MX
2007-01-02,18.0,18.0,17.2,17.2,0,17.2,PASAB.MX
2007-01-03,17.8,17.8,17.8,17.8,400,17.8,PASAB.MX
2007-01-04,17.8,17.9,17.7,17.8,143300,17.8,PASAB.MX
2007-01-05,17.8,17.99,17.75,17.94,229000,17.94,PASAB.MX
2007-01-08,17.9,18.7,17.8,18.51,449300,18.51,PASAB.MX
2007-01-09,18.86,19.0,18.65,18.7,1143700,18.7,PASAB.MX
