Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,2.14,2.14,2.02,2.02,0,2.02,PINFRA.MX
2000-01-04,2.0,2.0,2.0,2.0,21000,2.0,PINFRA.MX
2000-01-05,2.0,2.15,2.0,2.15,214000,2.15,PINFRA.MX
2000-01-06,2.28,2.4,2.28,2.39,219000,2.39,PINFRA.MX
2000-01-07,2.4,2.45,2.4,2.44,38000,2.44,PINFRA.MX
2000-01-10,2.42,2.42,2.42,2.42,283000,2.42,PINFRA.MX
2000-01-11,2.42,2.42,2.4,2.4,221000,2.4,PINFRA.MX
2000-01-12,2.4,2.4,2.4,2.4,205000,2.4,PINFRA.MX
2000-01-13,2.45,2.45,2.4,2.43,69000,2.43,PINFRA.MX
2000-01-14,2.6,2.94,2.6,2.94,71000,2.94,PINFRA.MX
2000-01-17,2.88,2.88,2.5,2.5,0,2.5,PINFRA.MX
2000-01-18,2.88,2.88,2.6,2.6,0,2.6,PINFRA.MX
2000-01-19,2.88,2.93,2.88,2.93,106000,2.93,PINFRA.MX
2000-01-20,2.8,2.8,2.8,2.8,10000,2.8,PINFRA.MX
2000-01-21,2.8,2.8,2.32,2.32,0,2.32,PINFRA.MX
2000-01-24,2.9,2.9,2.3,2.3,0,2.3,PINFRA.MX
2000-01-25,2.8,2.8,2.6,2.6,27000,2.6,PINFRA.MX
2000-01-26,2.5,2.6,2.3,2.6,1007000,2.6,PINFRA.MX
2000-01-27,2.45,2.45,2.45,2.45,20000,2.45,PINFRA.MX
2000-01-28,2.5,2.5,2.35,2.35,0,2.35,PINFRA.MX
2000-01-31,2.87,2.87,2.87,2.87,4000,2.87,PINFRA.MX
2000-02-01,2.74,2.74,2.5,2.5,0,2.5,PINFRA.MX
2000-02-02,2.74,2.74,2.55,2.55,20000,2.55,PINFRA.MX
2000-02-03,2.52,2.52,2.3,2.44,1139000,2.44,PINFRA.MX
2000-02-04,2.5,2.7,2.5,2.7,37000,2.7,PINFRA.MX
2000-02-07,2.89,2.9,2.85,2.87,83000,2.87,PINFRA.MX
2000-02-08,3.0,3.0,2.8,2.8,27000,2.8,PINFRA.MX
2000-02-09,2.75,2.75,2.75,2.75,48000,2.75,PINFRA.MX
2000-02-10,2.75,2.75,2.45,2.45,47000,2.45,PINFRA.MX
2000-02-11,2.75,2.75,2.4,2.4,0,2.4,PINFRA.MX
2000-02-14,2.5,2.5,2.35,2.35,0,2.35,PINFRA.MX
2000-02-15,2.45,2.5,2.45,2.5,21000,2.5,PINFRA.MX
2000-02-16,2.45,2.5,2.4,2.5,22000,2.5,PINFRA.MX
2000-02-17,2.35,2.35,2.35,2.35,20000,2.35,PINFRA.MX
2000-02-18,2.36,2.36,2.1,2.1,0,2.1,PINFRA.MX
2000-02-21,2.38,2.38,2.35,2.35,0,2.35,PINFRA.MX
2000-02-22,2.34,2.34,2.0,2.0,0,2.0,PINFRA.MX
2000-02-23,2.35,2.38,2.34,2.38,75000,2.38,PINFRA.MX
2000-02-24,2.38,2.38,2.04,2.04,0,2.04,PINFRA.MX
2000-02-25,2.38,2.38,2.38,2.38,40000,2.38,PINFRA.MX
2000-02-28,2.48,2.48,2.3,2.3,0,2.3,PINFRA.MX
2000-02-29,2.38,2.87,2.36,2.87,97000,2.87,PINFRA.MX
2000-03-01,2.7,2.7,2.25,2.25,0,2.25,PINFRA.MX
2000-03-02,2.39,2.39,2.18,2.18,0,2.18,PINFRA.MX
2000-03-03,2.6,2.6,2.25,2.25,88000,2.25,PINFRA.MX
2000-03-06,2.6,2.6,2.3,2.3,0,2.3,PINFRA.MX
2000-03-07,2.25,2.3,2.25,2.3,35000,2.3,PINFRA.MX
2000-03-08,2.17,2.26,2.17,2.26,128000,2.26,PINFRA.MX
2000-03-09,2.26,2.26,2.15,2.15,105000,2.15,PINFRA.MX
2000-03-10,2.11,2.15,2.11,2.11,152000,2.11,PINFRA.MX
2000-03-13,2.45,2.45,1.7,1.7,0,1.7,PINFRA.MX
2000-03-14,2.05,2.05,2.05,2.05,50000,2.05,PINFRA.MX
2000-03-15,2.45,2.45,2.0,2.0,0,2.0,PINFRA.MX
2000-03-16,2.3,2.3,2.01,2.01,0,2.01,PINFRA.MX
2000-03-17,2.0,2.04,2.0,2.04,3000,2.04,PINFRA.MX
2000-03-20,2.0,2.0,1.8,1.8,103000,1.8,PINFRA.MX
2000-03-21,1.8,1.8,1.8,1.8,0,1.8,PINFRA.MX
2000-03-22,1.9,1.9,1.9,1.9,11000,1.9,PINFRA.MX
2000-03-23,1.9,2.0,1.9,2.0,63000,2.0,PINFRA.MX
2000-03-24,2.1,2.1,2.01,2.01,0,2.01,PINFRA.MX
2000-03-27,2.0,2.0,2.0,2.0,33000,2.0,PINFRA.MX
2000-03-28,2.2,2.2,1.9,1.9,0,1.9,PINFRA.MX
2000-03-29,2.15,2.2,2.14,2.2,104000,2.2,PINFRA.MX
2000-03-30,2.17,2.17,2.0,2.0,80000,2.0,PINFRA.MX
2000-03-31,2.0,2.3,2.0,2.3,23000,2.3,PINFRA.MX
2000-04-03,2.3,2.3,2.0,2.0,0,2.0,PINFRA.MX
2000-04-04,2.0,2.02,2.0,2.0,506000,2.0,PINFRA.MX
2000-04-05,2.0,2.0,2.0,2.0,42000,2.0,PINFRA.MX
2000-04-06,2.1,2.1,1.65,1.65,0,1.65,PINFRA.MX
2000-04-07,2.0,2.0,1.76,1.76,0,1.76,PINFRA.MX
2000-04-10,1.7,1.85,1.7,1.81,30000,1.81,PINFRA.MX
2000-04-11,1.92,1.92,1.8,1.8,0,1.8,PINFRA.MX
2000-04-12,2.09,2.09,1.8,1.8,0,1.8,PINFRA.MX
2000-04-13,2.09,2.09,1.81,1.81,0,1.81,PINFRA.MX
