Date,Open,High,Low,Close,Volume,Adj Close
2006-10-02,11.0,11.0,11.0,11.0,0,10.48
2006-10-03,11.0,11.0,9.0,9.0,0,8.57
2006-10-04,11.0,11.0,9.0,9.0,0,8.57
2006-10-05,11.0,11.0,9.0,9.0,0,8.57
2006-10-06,11.0,11.0,11.0,11.0,0,10.48
2006-10-09,11.0,11.0,9.0,9.0,0,8.57
2006-10-10,11.0,11.0,9.0,9.0,0,8.57
2006-10-11,11.0,11.0,9.0,9.0,0,8.57
2006-10-12,11.0,11.0,11.0,11.0,0,10.48
2006-10-13,11.0,11.0,11.0,11.0,0,10.48
2006-10-16,11.0,11.0,9.0,9.0,0,8.57
2006-10-17,11.0,11.0,11.0,11.0,0,10.48
2006-10-18,11.0,11.0,8.5,8.5,0,8.1
2006-10-19,11.0,11.0,8.5,8.5,0,8.1
2006-10-20,11.0,11.0,11.0,11.0,0,10.48
2006-10-23,11.0,11.0,11.0,11.0,0,10.48
2006-10-24,11.0,11.0,11.0,11.0,0,10.48
2006-10-25,11.0,11.0,11.0,11.0,0,10.48
2006-10-26,11.0,11.0,11.0,11.0,0,10.48
2006-10-27,11.0,11.0,11.0,11.0,0,10.48
2006-10-30,11.0,11.0,11.0,11.0,0,10.48
2006-10-31,11.0,11.0,11.0,11.0,0,10.48
2006-11-01,11.0,11.0,11.0,11.0,0,10.48
2006-11-02,11.0,11.0,11.0,11.0,0,10.48
2006-11-03,11.0,11.0,11.0,11.0,0,10.48
2006-11-06,11.0,11.0,11.0,11.0,0,10.48
2006-11-07,11.0,11.0,11.0,11.0,0,10.48
2006-11-08,11.0,11.0,11.0,11.0,0,10.48
2006-11-09,11.0,11.0,11.0,11.0,0,10.48
2006-11-10,11.0,11.0,11.0,11.0,0,10.48
2006-11-13,11.0,11.0,11.0,11.0,0,10.48
2006-11-14,11.0,11.0,11.0,11.0,0,10.48
2006-11-15,11.0,11.0,11.0,11.0,0,10.48
2006-11-16,11.0,11.0,11.0,11.0,0,10.48
2006-11-17,11.0,11.0,11.0,11.0,0,10.48
2006-11-20,11.0,11.0,11.0,11.0,0,10.48
2006-11-21,11.0,11.0,11.0,11.0,0,10.48
2006-11-22,11.0,11.0,11.0,11.0,0,10.48
2006-11-23,11.0,11.0,11.0,11.0,0,10.48
2006-11-27,10.5,10.5,10.5,10.5,0,10.0
2006-11-28,11.3,11.3,10.0,10.0,0,9.52
2006-11-29,10.0,10.0,10.0,10.0,0,9.52
2006-11-30,10.0,10.0,10.0,10.0,0,9.52
2006-12-01,10.0,10.0,10.0,10.0,0,9.52
2006-12-04,10.0,10.0,10.0,10.0,0,9.52
2006-12-05,11.0,11.0,11.0,11.0,0,10.48
2006-12-11,11.4,11.4,11.3,11.3,0,10.76
2006-12-12,11.3,11.3,11.3,11.3,0,10.76
2006-12-14,11.6,11.6,11.4,11.4,0,10.86
2006-12-18,11.9,11.9,11.6,11.6,0,11.05
2006-12-19,11.9,11.9,11.6,11.6,0,11.05
2006-12-20,11.9,11.9,11.6,11.6,0,11.05
2006-12-21,11.6,11.6,11.6,11.6,0,11.05
2006-12-25,11.9,11.9,11.9,11.9,0,11.33
2006-12-26,11.9,11.9,11.9,11.9,0,11.33
2006-12-27,11.99,11.99,11.9,11.9,0,11.33
2007-01-01,12.04,12.04,12.04,12.04,0,11.47
2007-01-02,12.14,12.14,12.04,12.04,0,11.47
2007-01-03,12.14,12.14,12.04,12.04,0,11.47
2007-01-04,12.14,12.14,12.04,12.04,0,11.47
2007-01-08,12.28,12.28,12.14,12.14,0,11.56
2007-01-09,12.28,12.28,12.14,12.14,0,11.56
2007-01-10,12.28,12.28,12.28,12.28,0,11.7
2007-01-11,12.28,12.28,12.14,12.14,0,11.56
2007-01-12,12.28,12.28,12.14,12.14,0,11.56
2007-01-15,12.2,12.2,12.14,12.14,0,11.56
2007-01-16,12.2,12.2,12.14,12.14,0,11.56
2007-01-17,12.2,12.2,12.14,12.14,0,11.56
2007-01-18,12.2,12.2,12.14,12.14,0,11.56
2007-01-19,12.2,12.2,12.14,12.14,0,11.56
2007-01-22,12.14,12.14,12.14,12.14,0,11.56
2007-01-25,12.1,12.1,12.1,12.1,0,11.52
2007-01-26,12.1,12.1,12.1,12.1,0,11.52
2007-01-29,12.5,12.5,12.1,12.1,0,11.52
2007-01-30,12.5,12.5,12.1,12.1,0,11.52
2007-01-31,12.5,12.5,12.1,12.1,0,11.52
2007-02-01,12.5,12.5,12.1,12.1,0,11.52
2007-02-02,12.5,12.5,12.1,12.1,0,11.52
2007-02-05,12.1,12.1,12.1,12.1,0,11.52
2007-02-06,12.5,12.5,12.5,12.5,0,11.91
2007-02-07,12.5,12.5,12.5,12.5,0,11.91
2007-02-08,12.5,12.5,12.5,12.5,0,11.91
2007-02-09,12.5,12.5,12.5,12.5,0,11.91
2007-02-12,12.5,12.5,12.5,12.5,0,11.91
2007-02-13,12.5,12.5,12.5,12.5,0,11.91
2007-02-14,12.5,12.5,12.25,12.25,0,11.67
2007-02-15,12.5,12.5,12.25,12.25,0,11.67
2007-02-16,12.25,12.25,12.25,12.25,0,11.67
2007-02-20,12.5,12.5,12.5,12.5,0,11.91
2007-02-21,12.5,12.5,12.5,12.5,0,11.91
2007-02-22,12.5,12.5,12.5,12.5,0,11.91
2007-02-23,12.5,12.5,12.5,12.5,0,11.91
2007-02-26,12.5,12.5,12.5,12.5,0,11.91
2007-02-27,12.5,12.5,12.5,12.5,0,11.91
2007-03-01,12.5,12.5,12.5,12.5,0,11.91
2007-03-02,12.5,12.5,12.5,12.5,0,11.91
2007-03-05,12.5,12.5,12.5,12.5,0,11.91
