Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-10-02,7.8,7.8,7.4,7.4,0,6.12,RCENTROA.MX
2006-10-03,7.8,7.8,7.4,7.4,0,6.12,RCENTROA.MX
2006-10-04,7.8,7.8,7.4,7.4,0,6.12,RCENTROA.MX
2006-10-05,7.95,7.95,7.45,7.45,0,6.16,RCENTROA.MX
2006-10-06,7.66,8.0,7.66,8.0,29600,6.62,RCENTROA.MX
2006-10-09,8.03,8.1,7.65,8.1,872100,6.7,RCENTROA.MX
2006-10-10,8.1,8.31,8.1,8.31,32000,6.88,RCENTROA.MX
2006-10-11,8.4,8.95,8.4,8.6,16600,7.12,RCENTROA.MX
2006-10-12,8.8,8.8,8.8,8.8,22500,7.28,RCENTROA.MX
2006-10-13,8.7,9.0,8.7,9.0,85900,7.45,RCENTROA.MX
2006-10-16,9.0,9.25,9.0,9.25,162100,7.65,RCENTROA.MX
2006-10-17,9.01,9.05,9.01,9.05,21000,7.49,RCENTROA.MX
2006-10-18,9.05,9.1,9.01,9.1,11000,7.53,RCENTROA.MX
2006-10-19,9.01,9.25,9.0,9.21,1246800,7.62,RCENTROA.MX
2006-10-20,9.21,9.22,9.2,9.2,5057200,7.61,RCENTROA.MX
2006-10-23,9.21,9.22,9.2,9.22,2248400,7.63,RCENTROA.MX
2006-10-24,9.21,9.21,9.21,9.21,113900,7.62,RCENTROA.MX
2006-10-25,9.25,9.6,9.25,9.6,576100,7.94,RCENTROA.MX
2006-10-26,9.7,10.05,9.7,10.0,1138700,8.27,RCENTROA.MX
2006-10-27,10.0,10.02,10.0,10.0,211000,8.27,RCENTROA.MX
2006-10-30,10.0,10.0,10.0,10.0,180000,8.27,RCENTROA.MX
2006-10-31,10.01,10.01,10.01,10.01,20000,8.28,RCENTROA.MX
2006-11-01,10.01,10.12,10.01,10.12,56900,8.37,RCENTROA.MX
2006-11-02,10.12,10.12,10.12,10.12,0,8.37,RCENTROA.MX
2006-11-03,10.5,10.65,10.5,10.65,10500,8.81,RCENTROA.MX
2006-11-06,10.81,10.85,10.81,10.85,1569700,8.98,RCENTROA.MX
2006-11-07,10.81,11.0,10.65,10.66,63700,8.82,RCENTROA.MX
2006-11-08,10.66,10.66,10.66,10.66,5000,8.82,RCENTROA.MX
2006-11-09,11.62,11.62,10.81,10.81,0,8.94,RCENTROA.MX
2006-11-10,10.85,10.85,10.85,10.85,0,8.98,RCENTROA.MX
2006-11-13,11.0,11.0,10.76,10.76,0,8.9,RCENTROA.MX
2006-11-14,10.8,10.8,10.76,10.8,251700,8.94,RCENTROA.MX
2006-11-15,10.8,10.8,10.8,10.8,500,8.94,RCENTROA.MX
2006-11-16,11.1,11.1,10.81,10.81,0,8.94,RCENTROA.MX
2006-11-17,11.1,11.1,10.81,10.81,0,8.94,RCENTROA.MX
2006-11-20,10.81,10.81,10.81,10.81,0,8.94,RCENTROA.MX
2006-11-21,10.82,10.82,10.81,10.81,26100,8.94,RCENTROA.MX
2006-11-22,10.8,11.0,10.8,11.0,65400,9.1,RCENTROA.MX
2006-11-23,11.0,11.0,10.9,10.9,0,9.02,RCENTROA.MX
2006-11-24,11.0,11.0,10.9,10.9,30200,9.02,RCENTROA.MX
2006-11-27,10.87,10.88,10.87,10.88,114500,9.0,RCENTROA.MX
2006-11-28,10.88,10.88,10.87,10.87,41000,8.99,RCENTROA.MX
2006-11-29,10.85,10.85,10.82,10.82,60000,8.95,RCENTROA.MX
2006-11-30,11.3,11.3,10.85,10.85,0,8.98,RCENTROA.MX
2006-12-01,10.85,10.85,10.85,10.85,0,8.98,RCENTROA.MX
2006-12-04,10.81,10.81,10.8,10.8,74000,8.94,RCENTROA.MX
2006-12-05,10.82,10.82,10.82,10.82,100,8.95,RCENTROA.MX
2006-12-06,11.0,11.41,11.0,11.41,192800,9.44,RCENTROA.MX
2006-12-07,11.4,11.4,11.35,11.35,327200,9.39,RCENTROA.MX
2006-12-08,11.4,11.5,11.35,11.35,184400,9.39,RCENTROA.MX
2006-12-11,11.45,11.45,11.0,11.0,0,9.1,RCENTROA.MX
2006-12-12,11.0,11.0,11.0,11.0,0,9.1,RCENTROA.MX
2006-12-13,11.4,11.4,11.4,11.4,36000,9.43,RCENTROA.MX
2006-12-14,14.0,14.0,11.4,11.4,0,9.43,RCENTROA.MX
2006-12-15,11.7,12.0,11.7,12.0,288600,9.93,RCENTROA.MX
2006-12-18,12.3,12.3,12.0,12.0,0,9.93,RCENTROA.MX
2006-12-19,13.0,13.0,12.0,12.0,0,9.93,RCENTROA.MX
2006-12-20,12.15,12.15,12.15,12.15,10000,10.05,RCENTROA.MX
2006-12-21,13.5,13.5,12.2,12.2,0,10.09,RCENTROA.MX
2006-12-22,13.5,13.5,12.0,12.0,0,9.93,RCENTROA.MX
2006-12-25,12.0,12.0,12.0,12.0,0,9.93,RCENTROA.MX
2006-12-26,12.0,13.0,12.0,13.0,200,10.76,RCENTROA.MX
2006-12-27,12.5,12.9,12.5,12.9,101000,10.67,RCENTROA.MX
2006-12-28,12.9,13.01,12.9,12.9,154900,10.67,RCENTROA.MX
2006-12-29,13.1,13.1,13.1,13.1,20000,10.84,RCENTROA.MX
2007-01-01,13.1,13.1,13.1,13.1,0,10.84,RCENTROA.MX
2007-01-02,13.6,13.6,12.9,12.9,0,10.67,RCENTROA.MX
2007-01-03,12.9,12.9,12.8,12.8,114700,10.59,RCENTROA.MX
2007-01-04,12.8,12.8,12.6,12.6,78200,10.42,RCENTROA.MX
2007-01-05,12.8,12.9,12.8,12.9,51300,10.67,RCENTROA.MX
2007-01-08,12.9,12.9,12.55,12.55,126100,10.38,RCENTROA.MX
2007-01-09,13.0,13.0,12.66,12.66,0,10.47,RCENTROA.MX
2007-01-10,12.95,12.95,10.7,10.7,0,8.85,RCENTROA.MX
2007-01-11,12.55,12.55,12.55,12.55,17100,10.38,RCENTROA.MX
2007-01-12,12.7,12.7,12.7,12.7,1000,10.51,RCENTROA.MX
2007-01-15,12.7,12.7,12.7,12.7,100,10.51,RCENTROA.MX
2007-01-16,13.1,13.1,12.7,12.7,0,10.51,RCENTROA.MX
2007-01-17,12.7,12.7,12.7,12.7,9000,10.51,RCENTROA.MX
2007-01-18,12.7,12.7,12.6,12.6,40500,10.42,RCENTROA.MX
2007-01-19,13.1,13.1,12.7,12.7,0,10.51,RCENTROA.MX
2007-01-22,13.1,13.1,12.9,12.9,0,10.67,RCENTROA.MX
2007-01-23,13.0,13.0,13.0,13.0,11600,10.76,RCENTROA.MX
2007-01-24,13.0,13.0,13.0,13.0,37800,10.76,RCENTROA.MX
2007-01-25,13.25,13.3,13.2,13.2,113500,10.92,RCENTROA.MX
2007-01-26,13.2,13.5,13.2,13.2,26700,10.92,RCENTROA.MX
2007-01-29,13.5,13.5,13.2,13.2,0,10.92,RCENTROA.MX
2007-01-30,13.5,13.5,13.3,13.3,0,11.0,RCENTROA.MX
2007-01-31,13.5,13.54,13.5,13.5,326500,11.17,RCENTROA.MX
2007-02-01,13.5,13.55,13.5,13.55,83300,11.21,RCENTROA.MX
2007-02-02,13.55,13.6,13.55,13.55,136600,11.21,RCENTROA.MX
2007-02-05,13.55,13.55,13.55,13.55,0,11.21,RCENTROA.MX
2007-02-06,13.5,13.5,13.3,13.3,124200,11.0,RCENTROA.MX
2007-02-07,13.2,13.2,13.2,13.2,8300,10.92,RCENTROA.MX
2007-02-08,13.1,13.1,13.1,13.1,24300,10.84,RCENTROA.MX
2007-02-09,15.0,15.0,13.1,13.1,0,10.84,RCENTROA.MX
2007-02-12,13.1,13.1,13.1,13.1,0,10.84,RCENTROA.MX
2007-02-13,14.25,14.25,13.2,13.2,0,10.92,RCENTROA.MX
2007-02-14,13.2,13.2,13.2,13.2,800,10.92,RCENTROA.MX
2007-02-15,13.3,13.3,13.08,13.08,99400,10.82,RCENTROA.MX
2007-02-16,13.08,13.08,13.01,13.01,109800,10.76,RCENTROA.MX
2007-02-19,13.1,13.1,13.1,13.1,0,10.84,RCENTROA.MX
2007-02-20,13.2,13.2,13.2,13.2,49500,10.92,RCENTROA.MX
2007-02-21,13.28,13.28,13.28,13.28,114300,10.99,RCENTROA.MX
2007-02-22,13.31,13.31,13.31,13.31,0,11.01,RCENTROA.MX
2007-02-23,13.31,13.31,13.31,13.31,0,11.01,RCENTROA.MX
2007-02-26,13.31,13.31,13.31,13.31,4900,11.01,RCENTROA.MX
2007-02-27,13.3,13.3,12.3,12.3,90000,10.18,RCENTROA.MX
2007-02-28,11.3,11.3,11.3,11.3,0,9.35,RCENTROA.MX
2007-03-01,12.3,12.3,12.3,12.3,0,10.18,RCENTROA.MX
2007-03-02,13.0,13.0,13.0,13.0,900,10.76,RCENTROA.MX
2007-03-05,12.5,12.6,12.3,12.41,81700,10.27,RCENTROA.MX
2007-03-06,12.41,12.6,12.41,12.45,82900,10.3,RCENTROA.MX
2007-03-07,15.45,15.45,12.45,12.45,0,10.3,RCENTROA.MX
2007-03-08,14.0,14.0,12.45,12.45,0,10.3,RCENTROA.MX
2007-03-09,12.61,12.76,12.61,12.75,15300,10.55,RCENTROA.MX
2007-03-12,13.0,13.0,13.0,13.0,1100,10.76,RCENTROA.MX
2007-03-13,12.75,13.0,12.75,12.93,60300,10.7,RCENTROA.MX
2007-03-14,12.81,13.05,12.81,13.05,66000,10.8,RCENTROA.MX
2007-03-15,13.1,13.31,13.1,13.31,140100,11.01,RCENTROA.MX
2007-03-16,13.31,13.31,13.31,13.31,0,11.01,RCENTROA.MX
2007-03-19,13.31,13.31,13.31,13.31,0,11.01,RCENTROA.MX
2007-03-20,13.31,13.31,13.3,13.3,36000,11.0,RCENTROA.MX
2007-03-21,13.3,13.32,13.1,13.31,17906000,11.01,RCENTROA.MX
2007-03-22,13.31,13.55,13.31,13.51,2504600,11.18,RCENTROA.MX
2007-03-23,13.31,14.5,13.31,14.5,562800,12.0,RCENTROA.MX
2007-03-26,14.7,14.7,14.7,14.7,300,12.16,RCENTROA.MX
2007-03-27,15.0,15.3,15.0,15.2,756700,12.58,RCENTROA.MX
2007-03-28,16.5,16.5,15.21,15.21,0,12.58,RCENTROA.MX
2007-03-29,15.46,15.56,15.3,15.56,1785000,12.87,RCENTROA.MX
2007-03-30,15.56,16.2,15.56,15.6,253700,12.91,RCENTROA.MX
2007-04-02,15.55,15.55,15.55,15.55,39900,12.87,RCENTROA.MX
2007-04-03,16.5,16.5,16.5,16.5,100,13.65,RCENTROA.MX
