Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,8.3,8.3,8.1,8.1,153000,7.68,SAB.MX
2000-01-04,8.0,8.0,8.0,8.0,5000,7.59,SAB.MX
2000-01-05,8.0,8.12,7.98,8.1,104000,7.68,SAB.MX
2000-01-06,8.12,8.4,8.12,8.3,40000,7.87,SAB.MX
2000-01-07,8.3,8.5,8.3,8.34,232000,7.91,SAB.MX
2000-01-10,8.5,8.6,8.4,8.56,284000,8.12,SAB.MX
2000-01-11,8.58,8.58,8.4,8.5,220000,8.06,SAB.MX
2000-01-12,8.6,8.92,8.5,8.8,470000,8.35,SAB.MX
2000-01-13,8.66,9.0,8.66,8.9,618000,8.44,SAB.MX
2000-01-14,8.98,8.98,8.66,8.86,138000,8.4,SAB.MX
2000-01-17,8.98,8.98,8.9,8.98,42000,8.52,SAB.MX
2000-01-18,8.9,8.98,8.6,8.66,405000,8.21,SAB.MX
2000-01-19,8.98,9.5,8.9,9.32,6562000,8.84,SAB.MX
2000-01-20,9.4,9.52,9.3,9.38,2856000,8.9,SAB.MX
2000-01-21,9.4,9.42,9.18,9.2,1630000,8.73,SAB.MX
2000-01-24,9.2,9.24,9.12,9.18,856000,8.71,SAB.MX
2000-01-25,9.1,9.4,9.1,9.3,3176000,8.82,SAB.MX
2000-01-26,9.3,9.52,9.3,9.5,11087000,9.01,SAB.MX
2000-01-27,9.48,9.5,9.24,9.3,6859000,8.82,SAB.MX
2000-01-28,9.22,9.22,8.98,9.0,915000,8.54,SAB.MX
2000-01-31,9.0,9.0,9.0,9.0,55000,8.54,SAB.MX
2000-02-01,8.48,8.48,8.48,8.48,1000,8.04,SAB.MX
2000-02-02,7.0,7.1,6.0,6.74,1070000,6.39,SAB.MX
2000-02-03,6.86,7.5,6.7,7.26,1572000,6.89,SAB.MX
2000-02-04,7.4,7.4,7.0,7.0,164000,6.64,SAB.MX
2000-02-07,7.1,7.2,6.7,6.8,132000,6.45,SAB.MX
2000-02-08,6.8,6.9,6.7,6.9,73000,6.54,SAB.MX
2000-02-09,6.86,6.9,6.86,6.9,18000,6.54,SAB.MX
2000-02-10,7.0,7.1,7.0,7.1,7000,6.73,SAB.MX
2000-02-11,7.1,7.1,7.1,7.1,109000,6.73,SAB.MX
2000-02-14,7.1,7.1,7.1,7.1,26000,6.73,SAB.MX
2000-02-15,7.1,7.4,7.1,7.4,223000,7.02,SAB.MX
2000-02-16,7.8,7.8,7.5,7.5,0,7.11,SAB.MX
2000-02-17,7.4,8.1,7.4,8.0,71000,7.59,SAB.MX
2000-02-18,8.0,8.3,8.0,8.3,253000,7.87,SAB.MX
2000-02-21,8.3,8.34,8.3,8.34,19000,7.91,SAB.MX
2000-02-22,8.4,8.56,8.4,8.56,10000,8.12,SAB.MX
2000-02-23,8.6,8.7,8.56,8.56,75000,8.12,SAB.MX
2000-02-24,8.14,8.4,8.14,8.4,25000,7.97,SAB.MX
2000-02-25,8.4,8.5,8.4,8.44,51000,8.0,SAB.MX
2000-02-28,8.44,8.44,8.44,8.44,112000,8.0,SAB.MX
2000-02-29,8.4,8.4,7.5,7.5,0,7.11,SAB.MX
2000-03-01,8.44,8.5,8.32,8.32,123000,7.89,SAB.MX
2000-03-02,8.42,8.5,8.42,8.5,110000,8.06,SAB.MX
2000-03-03,8.6,8.6,8.4,8.4,111000,7.97,SAB.MX
2000-03-06,8.2,8.3,8.2,8.3,35000,7.87,SAB.MX
2000-03-07,8.5,8.5,7.3,7.3,0,6.92,SAB.MX
2000-03-08,8.4,8.4,7.3,7.3,0,6.92,SAB.MX
2000-03-09,8.3,8.3,8.3,8.3,12000,7.87,SAB.MX
2000-03-10,8.3,8.3,8.3,8.3,5000,7.87,SAB.MX
2000-03-13,8.3,8.3,8.1,8.1,0,7.68,SAB.MX
2000-03-14,8.2,8.2,8.0,8.0,262000,7.59,SAB.MX
2000-03-15,8.0,8.0,8.0,8.0,5000,7.59,SAB.MX
2000-03-16,7.94,7.94,7.9,7.9,20000,7.49,SAB.MX
2000-03-17,7.6,7.6,7.6,7.6,10000,7.21,SAB.MX
2000-03-20,7.5,7.5,7.5,7.5,4000,7.11,SAB.MX
2000-03-21,7.5,7.5,7.5,7.5,0,7.11,SAB.MX
2000-03-22,7.32,7.32,7.32,7.32,2000,6.94,SAB.MX
2000-03-23,7.3,7.3,7.0,7.0,16000,6.64,SAB.MX
2000-03-24,7.5,7.5,7.1,7.1,0,6.73,SAB.MX
2000-03-27,7.6,7.6,7.6,7.6,1000,7.21,SAB.MX
2000-03-28,7.6,7.6,7.6,7.6,31000,7.21,SAB.MX
2000-03-29,7.6,7.6,7.0,7.0,0,6.64,SAB.MX
2000-03-30,7.48,7.48,6.8,6.8,0,6.45,SAB.MX
2000-03-31,7.4,7.4,7.4,7.4,30000,7.02,SAB.MX
2000-04-03,7.4,7.4,5.5,5.5,0,5.22,SAB.MX
2000-04-04,7.4,7.4,7.26,7.28,121000,6.9,SAB.MX
2000-04-05,7.28,7.28,7.24,7.28,110000,6.9,SAB.MX
2000-04-06,7.28,7.4,7.28,7.4,22000,7.02,SAB.MX
2000-04-07,7.6,8.02,7.56,8.02,183000,7.61,SAB.MX
2000-04-10,8.02,8.02,8.0,8.0,125000,7.59,SAB.MX
2000-04-11,8.0,8.0,8.0,8.0,72000,7.59,SAB.MX
2000-04-12,8.2,8.2,7.84,7.84,0,7.44,SAB.MX
2000-04-13,7.84,7.84,7.84,7.84,25000,7.44,SAB.MX
2000-04-14,7.82,7.82,7.2,7.2,0,6.83,SAB.MX
2000-04-17,7.2,7.2,7.2,7.2,0,6.83,SAB.MX
2000-04-18,7.7,7.7,7.2,7.2,938000,6.83,SAB.MX
2000-04-19,7.0,7.0,7.0,7.0,44000,6.64,SAB.MX
2000-04-20,7.0,7.0,7.0,7.0,0,6.64,SAB.MX
2000-04-21,7.0,7.0,7.0,7.0,0,6.64,SAB.MX
2000-04-24,7.3,7.3,6.84,6.84,0,6.49,SAB.MX
2000-04-25,7.3,7.3,7.3,7.3,30000,6.92,SAB.MX
2000-04-26,7.1,7.24,7.1,7.24,34000,6.87,SAB.MX
2000-04-27,7.24,7.24,7.0,7.04,129000,6.68,SAB.MX
2000-04-28,7.3,7.3,7.0,7.0,0,6.64,SAB.MX
2000-05-01,7.0,7.0,7.0,7.0,0,6.64,SAB.MX
2000-05-02,7.04,7.04,6.9,6.9,24000,6.54,SAB.MX
2000-05-03,6.8,6.84,6.5,6.52,80000,6.18,SAB.MX
2000-05-04,6.5,6.5,6.4,6.5,40000,6.16,SAB.MX
2000-05-05,6.5,6.5,6.5,6.5,0,6.16,SAB.MX
2000-05-08,6.5,6.5,6.4,6.5,200000,6.16,SAB.MX
2000-05-09,6.5,6.6,6.5,6.6,102000,6.26,SAB.MX
2000-05-10,6.6,7.2,6.6,7.2,166000,6.83,SAB.MX
2000-05-11,7.2,7.38,7.2,7.38,42000,7.0,SAB.MX
2000-05-12,7.7,7.7,7.7,7.7,5000,7.3,SAB.MX
2000-05-15,7.8,8.0,7.8,8.0,82000,7.59,SAB.MX
2000-05-16,8.0,8.1,8.0,8.1,232000,7.68,SAB.MX
