Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-12,17.8,17.8,12.5,12.5,0,12.5,SANLUISA.MX
2000-01-13,17.76,17.76,12.0,12.0,0,12.0,SANLUISA.MX
2000-01-18,18.0,18.0,18.0,18.0,0,18.0,SANLUISA.MX
2000-01-19,18.0,18.0,18.0,18.0,0,18.0,SANLUISA.MX
2000-01-20,18.0,18.0,18.0,18.0,0,18.0,SANLUISA.MX
2000-01-21,18.0,18.0,18.0,18.0,0,18.0,SANLUISA.MX
2000-01-24,18.0,18.0,18.0,18.0,0,18.0,SANLUISA.MX
2000-01-25,18.0,18.0,18.0,18.0,0,18.0,SANLUISA.MX
2000-01-26,18.0,18.0,18.0,18.0,0,18.0,SANLUISA.MX
2000-01-27,18.0,18.0,18.0,18.0,0,18.0,SANLUISA.MX
2000-01-28,18.0,18.0,18.0,18.0,0,18.0,SANLUISA.MX
2000-01-31,18.0,18.0,18.0,18.0,0,18.0,SANLUISA.MX
2000-02-01,18.0,18.0,18.0,18.0,0,18.0,SANLUISA.MX
2000-02-02,18.0,18.0,18.0,18.0,0,18.0,SANLUISA.MX
2000-02-03,18.0,18.0,18.0,18.0,0,18.0,SANLUISA.MX
2000-02-04,18.0,18.0,18.0,18.0,0,18.0,SANLUISA.MX
2000-02-07,18.0,18.0,18.0,18.0,0,18.0,SANLUISA.MX
2000-02-08,18.0,18.0,18.0,18.0,0,18.0,SANLUISA.MX
2000-02-09,18.0,18.0,18.0,18.0,0,18.0,SANLUISA.MX
2000-02-10,18.0,18.0,18.0,18.0,0,18.0,SANLUISA.MX
2000-02-11,18.0,18.0,18.0,18.0,0,18.0,SANLUISA.MX
2000-02-14,18.0,18.0,18.0,18.0,0,18.0,SANLUISA.MX
2000-02-16,17.7,17.7,17.7,17.7,0,17.7,SANLUISA.MX
2000-02-17,17.7,17.7,17.7,17.7,0,17.7,SANLUISA.MX
2000-02-18,17.7,17.7,17.7,17.7,0,17.7,SANLUISA.MX
2000-02-22,16.98,16.98,11.3,11.3,0,11.3,SANLUISA.MX
2000-02-23,16.7,16.7,11.3,11.3,0,11.3,SANLUISA.MX
2000-02-24,16.54,16.54,11.3,11.3,0,11.3,SANLUISA.MX
2000-02-25,16.54,16.54,11.3,11.3,0,11.3,SANLUISA.MX
2000-02-29,16.98,16.98,12.0,12.0,0,12.0,SANLUISA.MX
2000-03-01,16.98,16.98,12.0,12.0,0,12.0,SANLUISA.MX
2000-03-02,16.98,16.98,12.0,12.0,0,12.0,SANLUISA.MX
2000-03-03,16.9,16.9,12.02,12.02,0,12.02,SANLUISA.MX
2000-03-06,17.0,17.0,12.8,12.8,0,12.8,SANLUISA.MX
2000-03-07,16.98,16.98,11.5,11.5,0,11.5,SANLUISA.MX
2000-03-08,16.9,16.9,11.5,11.5,0,11.5,SANLUISA.MX
2000-03-09,16.3,16.3,11.5,11.5,0,11.5,SANLUISA.MX
2000-03-10,15.98,15.98,11.5,11.5,0,11.5,SANLUISA.MX
2000-03-13,16.4,16.4,11.0,11.0,0,11.0,SANLUISA.MX
2000-03-14,16.4,16.4,11.0,11.0,0,11.0,SANLUISA.MX
2000-03-15,16.38,16.38,11.0,11.0,0,11.0,SANLUISA.MX
2000-03-16,16.4,16.4,11.0,11.0,0,11.0,SANLUISA.MX
2000-03-17,16.38,16.38,11.0,11.0,0,11.0,SANLUISA.MX
2000-03-20,16.8,16.8,11.0,11.0,0,11.0,SANLUISA.MX
2000-03-21,11.0,11.0,11.0,11.0,0,11.0,SANLUISA.MX
