Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-10-02,15.5,15.5,13.5,13.5,0,10.92,SANMEXB.MX
2006-10-03,15.5,15.5,13.5,13.5,0,10.92,SANMEXB.MX
2006-10-04,15.5,15.5,13.5,13.5,0,10.92,SANMEXB.MX
2006-10-05,15.5,15.5,13.5,13.5,0,10.92,SANMEXB.MX
2006-10-06,13.5,13.5,13.5,13.5,1200,10.92,SANMEXB.MX
2006-10-09,15.5,15.5,13.5,13.5,0,10.92,SANMEXB.MX
2006-10-10,15.5,15.5,13.5,13.5,0,10.92,SANMEXB.MX
2006-10-11,16.5,16.5,13.5,13.5,0,10.92,SANMEXB.MX
2006-10-12,16.5,16.5,13.5,13.5,0,10.92,SANMEXB.MX
2006-10-13,16.5,16.5,13.5,13.5,0,10.92,SANMEXB.MX
2006-10-16,13.5,13.5,13.5,13.5,100,10.92,SANMEXB.MX
2006-10-17,15.5,15.5,13.5,13.5,0,10.92,SANMEXB.MX
2006-10-18,16.5,16.5,13.5,13.5,0,10.92,SANMEXB.MX
2006-10-19,14.5,14.5,14.5,14.5,10000,11.73,SANMEXB.MX
2006-10-20,14.55,14.55,14.55,14.55,11500,11.77,SANMEXB.MX
2006-10-23,15.5,15.5,14.5,14.5,0,11.73,SANMEXB.MX
2006-10-24,16.5,16.5,16.5,16.5,138900,13.34,SANMEXB.MX
2006-10-25,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-10-26,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-10-27,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-10-30,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-10-31,18.5,18.5,18.5,18.5,100,14.96,SANMEXB.MX
2006-11-01,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-11-02,15.5,15.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-11-03,18.5,18.5,14.5,14.5,0,11.73,SANMEXB.MX
2006-11-06,18.5,18.5,14.5,14.5,0,11.73,SANMEXB.MX
2006-11-07,18.45,18.45,15.5,15.5,0,12.54,SANMEXB.MX
2006-11-08,18.45,18.45,15.5,15.5,0,12.54,SANMEXB.MX
2006-11-09,18.45,18.45,15.5,15.5,0,12.54,SANMEXB.MX
2006-11-10,18.45,18.45,15.5,15.5,0,12.54,SANMEXB.MX
2006-11-13,18.45,18.45,15.5,15.5,0,12.54,SANMEXB.MX
2006-11-14,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-11-15,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-11-16,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-11-17,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-11-20,15.5,15.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-11-21,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-11-22,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-11-23,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-11-24,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-11-27,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-11-28,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-11-29,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-11-30,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-12-01,15.5,15.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-12-04,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-12-05,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-12-06,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-12-07,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-12-08,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-12-11,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-12-12,15.5,15.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-12-13,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-12-14,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-12-15,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-12-18,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-12-19,18.0,18.0,15.5,15.5,0,12.54,SANMEXB.MX
2006-12-20,18.0,18.0,15.5,15.5,0,12.54,SANMEXB.MX
2006-12-21,18.0,18.0,15.5,15.5,0,12.54,SANMEXB.MX
2006-12-22,18.0,18.0,15.5,15.5,0,12.54,SANMEXB.MX
2006-12-25,15.5,15.5,15.5,15.5,0,12.54,SANMEXB.MX
2006-12-26,18.0,18.0,15.5,15.5,0,12.54,SANMEXB.MX
2006-12-27,18.0,18.0,15.5,15.5,0,12.54,SANMEXB.MX
2006-12-28,18.5,18.5,18.5,18.5,100,14.96,SANMEXB.MX
2006-12-29,18.5,18.5,13.5,13.5,0,10.92,SANMEXB.MX
2007-01-01,13.5,13.5,13.5,13.5,0,10.92,SANMEXB.MX
2007-01-02,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2007-01-03,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2007-01-04,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2007-01-05,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2007-01-08,15.5,15.5,15.5,15.5,0,12.54,SANMEXB.MX
2007-01-09,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2007-01-10,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2007-01-11,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2007-01-12,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2007-01-15,18.5,18.5,18.5,18.5,300,14.96,SANMEXB.MX
2007-01-16,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2007-01-17,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2007-01-18,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2007-01-19,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2007-01-22,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2007-01-23,18.49,18.49,15.5,15.5,0,12.54,SANMEXB.MX
2007-01-24,18.49,18.49,15.5,15.5,0,12.54,SANMEXB.MX
2007-01-25,18.49,18.49,15.5,15.5,0,12.54,SANMEXB.MX
2007-01-26,18.49,18.49,15.5,15.5,0,12.54,SANMEXB.MX
2007-01-29,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
2007-01-30,18.5,18.5,15.5,15.5,0,12.54,SANMEXB.MX
