Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2007-12-31,14.58,14.99,14.0,14.38,98400,14.38,SAREB.MX
2008-01-02,14.0,14.6,13.71,14.41,212800,14.41,SAREB.MX
2008-01-03,14.66,14.7,14.45,14.52,123300,14.52,SAREB.MX
2008-01-04,14.22,14.52,14.05,14.13,1040400,14.13,SAREB.MX
2008-01-07,14.13,14.13,13.18,13.38,158200,13.38,SAREB.MX
2008-01-08,13.37,13.37,12.32,12.52,1299400,12.52,SAREB.MX
2008-01-09,12.54,12.54,12.0,12.42,724000,12.42,SAREB.MX
2008-01-10,12.4,12.9,12.33,12.5,2018300,12.5,SAREB.MX
2008-01-11,12.5,13.25,12.35,12.97,797700,12.97,SAREB.MX
2008-01-14,13.39,13.69,13.35,13.58,1053000,13.58,SAREB.MX
2008-01-15,13.58,14.5,13.4,14.08,1831500,14.08,SAREB.MX
2008-01-16,13.99,13.99,13.2,13.67,497200,13.67,SAREB.MX
2008-01-17,13.67,13.67,12.9,13.03,623600,13.03,SAREB.MX
2008-01-18,13.2,13.2,12.9,12.98,300200,12.98,SAREB.MX
2008-01-21,12.45,12.6,11.9,12.0,235100,12.0,SAREB.MX
2008-01-22,12.0,12.9,12.0,12.8,1100800,12.8,SAREB.MX
2008-01-23,12.79,13.32,12.32,13.05,415400,13.05,SAREB.MX
2008-01-24,13.4,13.73,13.24,13.57,529000,13.57,SAREB.MX
2008-01-25,13.8,13.8,12.86,13.34,458900,13.34,SAREB.MX
2008-01-28,13.03,13.33,12.51,13.18,306400,13.18,SAREB.MX
2008-01-29,13.18,13.51,13.03,13.39,650700,13.39,SAREB.MX
2008-01-30,13.39,13.39,12.61,13.04,1926300,13.04,SAREB.MX
2008-01-31,12.99,13.45,12.47,13.3,7660500,13.3,SAREB.MX
2008-02-01,13.3,13.88,13.3,13.61,2321700,13.61,SAREB.MX
2008-02-05,13.31,13.94,13.24,13.25,1085500,13.25,SAREB.MX
2008-02-06,13.15,13.3,12.8,13.02,534200,13.02,SAREB.MX
2008-02-07,12.95,13.65,12.52,13.48,1341400,13.48,SAREB.MX
2008-02-08,13.46,13.89,13.39,13.86,3010100,13.86,SAREB.MX
2008-02-11,13.9,14.4,13.7,14.04,2776600,14.04,SAREB.MX
2008-02-12,14.2,14.7,14.1,14.38,2305700,14.38,SAREB.MX
2008-02-13,14.59,14.7,14.25,14.55,236700,14.55,SAREB.MX
2008-02-14,14.54,14.55,14.06,14.28,1229100,14.28,SAREB.MX
2008-02-15,14.28,14.5,14.0,14.39,598400,14.39,SAREB.MX
2008-02-18,14.3,14.6,14.3,14.59,125900,14.59,SAREB.MX
2008-02-19,14.6,15.0,14.25,14.8,109000,14.8,SAREB.MX
2008-02-20,14.8,14.93,14.43,14.75,239700,14.75,SAREB.MX
2008-02-21,14.8,15.2,14.8,15.07,436700,15.07,SAREB.MX
2008-02-22,14.66,15.3,14.65,15.2,152800,15.2,SAREB.MX
2008-02-25,15.2,15.2,14.75,14.89,140400,14.89,SAREB.MX
2008-02-26,14.97,15.0,14.7,14.9,82100,14.9,SAREB.MX
2008-02-27,15.0,15.85,15.0,15.56,515600,15.56,SAREB.MX
2008-02-28,15.52,15.65,14.76,15.5,926400,15.5,SAREB.MX
2008-02-29,14.36,15.2,14.36,14.95,286500,14.95,SAREB.MX
2008-03-03,14.41,15.2,14.41,15.14,77400,15.14,SAREB.MX
2008-03-04,14.8,15.55,14.4,14.99,149800,14.99,SAREB.MX
2008-03-05,14.79,15.01,14.79,14.98,181500,14.98,SAREB.MX
2008-03-06,14.9,14.95,14.6,14.75,547300,14.75,SAREB.MX
2008-03-07,14.61,14.61,14.0,14.27,429400,14.27,SAREB.MX
2008-03-10,14.31,14.31,14.0,14.09,2444100,14.09,SAREB.MX
2008-03-11,14.15,14.35,14.04,14.27,313300,14.27,SAREB.MX
2008-03-12,14.27,14.99,14.0,14.03,185600,14.03,SAREB.MX
2008-03-13,13.9,14.8,13.8,14.47,222100,14.47,SAREB.MX
2008-03-14,14.23,14.31,13.21,14.25,1165400,14.25,SAREB.MX
2008-03-18,14.49,14.9,14.0,14.32,177400,14.32,SAREB.MX
2008-03-19,14.32,14.32,14.0,14.03,416400,14.03,SAREB.MX
2008-03-24,14.01,14.58,14.0,14.18,286200,14.18,SAREB.MX
2008-03-25,14.5,14.54,14.0,14.01,1085400,14.01,SAREB.MX
2008-03-26,14.04,14.29,14.0,14.18,1818000,14.18,SAREB.MX
2008-03-27,14.15,14.15,14.0,14.04,866200,14.04,SAREB.MX
2008-03-28,14.02,14.2,14.02,14.2,1503900,14.2,SAREB.MX
2008-03-31,14.23,14.75,14.23,14.71,1520300,14.71,SAREB.MX
2008-04-01,14.71,15.2,14.2,14.42,1734200,14.42,SAREB.MX
2008-04-02,14.5,14.8,14.5,14.5,873100,14.5,SAREB.MX
2008-04-03,14.7,14.94,14.48,14.65,297300,14.65,SAREB.MX
2008-04-04,14.65,15.0,14.6,14.85,217400,14.85,SAREB.MX
2008-04-07,14.8,14.9,14.6,14.82,936700,14.82,SAREB.MX
2008-04-08,14.86,14.98,14.68,14.96,304100,14.96,SAREB.MX
2008-04-09,14.21,14.93,14.21,14.8,317100,14.8,SAREB.MX
2008-04-10,14.8,14.8,14.42,14.47,1379400,14.47,SAREB.MX
2008-04-11,14.42,14.59,14.26,14.5,386600,14.5,SAREB.MX
2008-04-14,14.49,14.5,14.0,14.46,379900,14.46,SAREB.MX
2008-04-15,14.5,14.5,14.2,14.38,257700,14.38,SAREB.MX
2008-04-16,14.45,14.5,14.35,14.47,769300,14.47,SAREB.MX
2008-04-17,14.44,14.5,14.3,14.49,823300,14.49,SAREB.MX
2008-04-18,14.54,14.54,14.36,14.47,808800,14.47,SAREB.MX
2008-04-21,14.5,14.5,14.21,14.35,450800,14.35,SAREB.MX
2008-04-22,14.4,14.41,14.04,14.4,647700,14.4,SAREB.MX
2008-04-23,14.35,14.42,14.11,14.37,746300,14.37,SAREB.MX
2008-04-24,14.34,14.4,14.31,14.39,322500,14.39,SAREB.MX
2008-04-25,14.5,14.5,14.1,14.38,360300,14.38,SAREB.MX
2008-04-28,14.4,15.0,14.4,14.74,1526300,14.74,SAREB.MX
2008-04-29,14.74,14.74,14.41,14.52,1418600,14.52,SAREB.MX
2008-04-30,14.51,14.6,14.4,14.5,826700,14.5,SAREB.MX
2008-05-02,14.5,14.8,14.5,14.7,831100,14.7,SAREB.MX
2008-05-05,14.71,14.95,14.6,14.95,699800,14.95,SAREB.MX
2008-05-06,14.95,15.24,14.9,15.1,1125100,15.1,SAREB.MX
2008-05-07,15.1,15.6,15.1,15.43,450700,15.43,SAREB.MX
2008-05-08,15.49,15.5,15.19,15.26,19000,15.26,SAREB.MX
2008-05-09,15.14,15.9,15.14,15.59,1049000,15.59,SAREB.MX
2008-05-12,15.2,15.3,15.14,15.3,48200,15.3,SAREB.MX
2008-05-13,15.34,15.57,15.34,15.5,408800,15.5,SAREB.MX
2008-05-14,15.59,15.75,15.46,15.61,707900,15.61,SAREB.MX
2008-05-15,15.8,15.8,15.49,15.5,532600,15.5,SAREB.MX
2008-05-16,15.6,15.6,15.3,15.49,535200,15.49,SAREB.MX
2008-05-19,15.49,15.6,15.35,15.49,158500,15.49,SAREB.MX
2008-05-20,15.34,15.49,15.0,15.41,168300,15.41,SAREB.MX
2008-05-21,15.49,15.5,15.05,15.47,186400,15.47,SAREB.MX
2008-05-22,15.26,15.45,15.25,15.41,80500,15.41,SAREB.MX
2008-05-23,15.27,16.0,15.27,15.78,710400,15.78,SAREB.MX
2008-05-26,15.95,15.95,15.4,15.6,446600,15.6,SAREB.MX
2008-05-27,15.68,15.68,15.46,15.55,400500,15.55,SAREB.MX
2008-05-28,15.55,15.55,15.35,15.42,263500,15.42,SAREB.MX
2008-05-29,15.6,15.7,15.36,15.64,377100,15.64,SAREB.MX
2008-05-30,15.64,15.64,15.32,15.4,514500,15.4,SAREB.MX
2008-06-02,15.4,15.4,15.2,15.3,282900,15.3,SAREB.MX
2008-06-03,15.3,15.3,15.1,15.21,754900,15.21,SAREB.MX
