Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-02-23,1.96,1.96,1.9,1.9,0,12.67,SIMECB.MX
2000-03-13,1.82,1.82,1.82,1.82,0,12.13,SIMECB.MX
2000-03-21,2.06,2.06,2.06,2.06,0,13.73,SIMECB.MX
2000-04-20,2.05,2.05,2.05,2.05,0,13.67,SIMECB.MX
2000-04-21,2.05,2.05,2.05,2.05,0,13.67,SIMECB.MX
2000-04-24,2.1,2.1,1.85,1.85,0,12.33,SIMECB.MX
2000-05-01,2.05,2.05,2.05,2.05,0,13.67,SIMECB.MX
2000-05-05,1.8,1.8,1.8,1.8,0,12.0,SIMECB.MX
2000-05-19,1.81,1.81,1.75,1.75,0,11.67,SIMECB.MX
2000-05-23,1.8,1.8,1.72,1.72,0,11.47,SIMECB.MX
2000-05-31,1.75,1.75,1.67,1.67,0,11.13,SIMECB.MX
2000-06-06,1.84,1.84,1.84,1.84,0,12.27,SIMECB.MX
2000-06-28,1.95,1.95,1.81,1.81,0,12.07,SIMECB.MX
2000-07-10,1.87,1.87,1.7,1.7,0,11.33,SIMECB.MX
2000-07-11,1.84,1.84,1.72,1.72,0,11.47,SIMECB.MX
2000-07-27,1.65,1.65,1.55,1.55,0,10.33,SIMECB.MX
2000-08-01,1.64,1.64,1.4,1.4,0,9.33,SIMECB.MX
2000-08-04,1.64,1.64,1.55,1.55,0,10.33,SIMECB.MX
2000-08-08,1.63,1.63,1.52,1.52,0,10.13,SIMECB.MX
2000-08-14,1.72,1.72,1.3,1.3,0,8.67,SIMECB.MX
2000-08-16,1.55,1.55,1.4,1.4,0,9.33,SIMECB.MX
2000-08-21,1.54,1.54,1.4,1.4,0,9.33,SIMECB.MX
2000-09-04,1.58,1.58,1.52,1.52,0,10.13,SIMECB.MX
2000-09-12,1.59,1.59,1.52,1.52,0,10.13,SIMECB.MX
2000-09-25,1.6,1.6,1.57,1.57,0,10.47,SIMECB.MX
2000-09-26,1.6,1.6,1.55,1.55,0,10.33,SIMECB.MX
2000-10-03,1.54,1.54,1.3,1.3,0,8.67,SIMECB.MX
2000-10-05,1.54,1.54,1.54,1.54,0,10.27,SIMECB.MX
2000-10-09,1.5,1.5,1.34,1.34,0,8.93,SIMECB.MX
2000-10-17,1.4,1.4,1.31,1.31,0,8.73,SIMECB.MX
2000-10-23,1.41,1.41,1.2,1.2,0,8.0,SIMECB.MX
2000-10-24,1.2,1.2,1.2,1.2,0,8.0,SIMECB.MX
2000-10-30,1.4,1.4,1.3,1.3,0,8.67,SIMECB.MX
2000-11-02,1.45,1.45,1.45,1.45,0,9.67,SIMECB.MX
2000-11-03,1.48,1.48,1.44,1.44,0,9.6,SIMECB.MX
2000-11-06,1.4,1.4,1.39,1.39,0,9.27,SIMECB.MX
2000-11-10,1.4,1.4,1.35,1.35,0,9.0,SIMECB.MX
2000-11-13,1.4,1.4,1.3,1.3,0,8.67,SIMECB.MX
2000-11-14,1.3,1.3,1.3,1.3,0,8.67,SIMECB.MX
2000-11-15,1.5,1.5,1.3,1.3,0,8.67,SIMECB.MX
2000-11-20,1.45,1.45,1.45,1.45,0,9.67,SIMECB.MX
2000-11-21,1.45,1.45,1.11,1.11,0,7.4,SIMECB.MX
2000-11-22,1.43,1.43,1.12,1.12,0,7.47,SIMECB.MX
2000-11-24,1.44,1.44,1.4,1.4,0,9.33,SIMECB.MX
2000-12-01,1.33,1.33,1.33,1.33,0,8.87,SIMECB.MX
2000-12-08,1.26,1.26,1.1,1.1,0,7.33,SIMECB.MX
2000-12-11,1.22,1.22,1.15,1.15,0,7.67,SIMECB.MX
2000-12-12,1.15,1.15,1.15,1.15,0,7.67,SIMECB.MX
2000-12-15,1.29,1.29,1.1,1.1,0,7.33,SIMECB.MX
2000-12-18,1.33,1.33,1.0,1.0,0,6.67,SIMECB.MX
2000-12-19,1.29,1.29,1.0,1.0,0,6.67,SIMECB.MX
2000-12-28,1.33,1.33,0.9,0.9,0,6.0,SIMECB.MX
2000-12-29,1.33,1.33,0.9,0.9,0,6.0,SIMECB.MX
2001-01-01,0.9,0.9,0.9,0.9,0,6.0,SIMECB.MX
2001-01-10,1.2,1.2,1.1,1.1,0,7.33,SIMECB.MX
2001-01-22,1.08,1.08,0.8,0.8,0,5.33,SIMECB.MX
2001-01-26,1.0,1.0,0.97,0.97,0,6.47,SIMECB.MX
2001-01-29,1.0,1.0,0.96,0.96,0,6.4,SIMECB.MX
2001-02-19,1.05,1.05,0.96,0.96,0,6.4,SIMECB.MX
2001-02-22,1.0,1.0,0.94,0.94,0,6.27,SIMECB.MX
2001-03-16,0.91,0.91,0.68,0.68,0,4.53,SIMECB.MX
2001-03-20,0.81,0.81,0.81,0.81,0,5.4,SIMECB.MX
2001-03-21,0.81,0.81,0.81,0.81,0,5.4,SIMECB.MX
2001-03-23,0.88,0.88,0.81,0.81,0,5.4,SIMECB.MX
2001-04-11,0.73,0.73,0.68,0.68,0,4.53,SIMECB.MX
2001-04-12,0.68,0.68,0.68,0.68,0,4.53,SIMECB.MX
