Date,Open,High,Low,Close,Volume,Adj Close
2006-10-02,54.03,54.5,54.0,54.09,980100,17.81
2006-10-03,53.89,55.05,53.65,55.01,241800,18.11
2006-10-04,54.81,55.8,54.81,55.61,1971600,18.31
2006-10-05,55.9,57.2,55.9,56.76,2870100,18.69
2006-10-06,56.6,56.89,56.01,56.48,1128300,18.59
2006-10-09,56.49,56.5,56.0,56.21,396300,18.51
2006-10-10,56.03,58.5,56.03,58.39,2022900,19.22
2006-10-11,57.8,58.25,57.5,58.03,2475300,19.1
2006-10-12,58.25,59.5,58.0,59.06,1947000,19.44
2006-10-13,59.26,59.6,59.0,59.37,1095600,19.55
2006-10-16,59.52,59.8,59.1,59.53,1369200,19.6
2006-10-17,59.52,61.2,59.3,61.04,1301700,20.1
2006-10-18,61.19,61.9,60.6,61.01,3069600,20.09
2006-10-19,61.01,61.2,60.0,60.86,598800,20.04
2006-10-20,60.75,61.5,60.24,60.93,4158000,20.06
2006-10-23,60.93,61.0,60.21,60.48,187500,19.91
2006-10-24,60.48,60.9,60.39,60.52,123900,19.92
2006-10-25,60.75,60.85,60.21,60.44,365400,19.9
2006-10-26,60.6,60.75,60.2,60.72,687900,19.99
2006-10-27,60.69,62.21,59.9,60.09,726000,19.78
2006-10-30,60.09,60.29,59.5,59.54,926700,19.6
2006-10-31,59.54,61.8,59.5,61.77,734100,20.34
2006-11-01,61.9,63.4,60.9,60.92,494100,20.06
2006-11-02,60.92,60.92,60.92,60.92,0,20.06
2006-11-03,60.9,63.0,60.9,62.63,220800,20.62
2006-11-06,62.63,66.11,62.63,65.4,442500,21.53
2006-11-07,65.5,65.55,63.5,64.03,2154600,21.08
2006-11-08,64.03,64.03,62.42,62.76,1075800,20.66
2006-11-09,63.0,63.15,61.99,61.99,1048800,20.41
2006-11-10,62.0,63.02,62.0,62.98,1983900,20.73
2006-11-13,63.0,64.56,62.9,64.46,1013700,21.22
2006-11-14,65.29,66.0,64.99,65.24,534300,21.48
2006-11-15,65.24,69.6,65.15,69.4,426900,22.85
2006-11-16,69.38,69.39,68.67,68.9,990600,22.68
2006-11-17,69.0,69.11,68.5,68.7,759000,22.62
2006-11-20,68.7,68.7,68.7,68.7,0,22.62
2006-11-21,68.7,69.0,66.25,67.18,939600,22.12
2006-11-22,67.18,67.18,66.2,66.27,730500,21.82
2006-11-23,66.4,66.9,66.4,66.9,87600,22.02
2006-11-24,66.9,67.2,66.7,66.98,66300,22.05
2006-11-27,66.99,66.99,64.6,66.44,213000,21.87
2006-11-28,65.01,67.0,63.6,66.73,1089300,21.97
2006-11-29,66.63,68.39,65.89,68.06,290700,22.41
2006-11-30,68.06,70.41,67.7,69.44,970800,22.86
2006-12-01,69.44,69.44,69.44,69.44,0,22.86
