Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2010-12-21,11.5,11.5,11.0,11.5,200,11.5,TEAKCPO.MX
2010-12-23,11.8,11.8,11.8,11.8,100,11.8,TEAKCPO.MX
2010-12-27,12.0,12.0,11.8,12.0,200,12.0,TEAKCPO.MX
2010-12-28,12.5,12.5,12.5,12.5,100,12.5,TEAKCPO.MX
2010-12-29,12.55,12.55,12.55,12.55,900,12.55,TEAKCPO.MX
2010-12-31,12.7,12.7,12.7,12.7,1000,12.7,TEAKCPO.MX
2011-02-02,13.0,13.0,13.0,13.0,100,13.0,TEAKCPO.MX
2011-03-03,12.89,12.89,12.89,12.89,400,12.89,TEAKCPO.MX
2011-03-09,12.85,12.85,12.84,12.85,85900,12.85,TEAKCPO.MX
2011-04-15,13.0,13.0,13.0,13.0,200,13.0,TEAKCPO.MX
2011-05-25,12.8,12.8,12.8,12.8,100,12.8,TEAKCPO.MX
2011-08-09,12.5,12.5,12.49,12.5,184100,12.5,TEAKCPO.MX
2011-10-24,12.0,12.0,11.0,11.0,200,11.0,TEAKCPO.MX
2011-10-25,10.5,10.5,10.49,10.5,3013400,10.5,TEAKCPO.MX
2011-10-26,10.5,10.5,10.5,10.5,1400,10.5,TEAKCPO.MX
2011-12-20,10.5,10.5,10.5,10.5,100,10.5,TEAKCPO.MX
2011-12-27,10.5,11.5,10.5,11.5,300000,11.5,TEAKCPO.MX
