Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-10-02,1.9,1.9,1.9,1.9,0,1.9,TEKCHEMA.MX
2006-10-03,1.9,1.9,1.9,1.9,0,1.9,TEKCHEMA.MX
2006-10-04,1.9,1.9,1.9,1.9,0,1.9,TEKCHEMA.MX
2006-10-05,1.9,1.9,1.9,1.9,0,1.9,TEKCHEMA.MX
2006-10-06,1.9,1.9,1.9,1.9,0,1.9,TEKCHEMA.MX
2006-10-09,1.9,1.9,1.9,1.9,0,1.9,TEKCHEMA.MX
2006-10-10,1.9,1.9,1.9,1.9,0,1.9,TEKCHEMA.MX
2006-10-11,1.9,1.9,1.9,1.9,0,1.9,TEKCHEMA.MX
2006-10-12,1.9,1.9,1.9,1.9,0,1.9,TEKCHEMA.MX
2006-10-13,1.88,1.88,1.88,1.88,0,1.88,TEKCHEMA.MX
2006-10-16,1.88,1.88,1.88,1.88,0,1.88,TEKCHEMA.MX
2006-10-17,1.88,1.88,1.88,1.88,0,1.88,TEKCHEMA.MX
2006-10-18,1.85,1.85,1.8,1.8,0,1.8,TEKCHEMA.MX
2006-10-19,1.85,1.85,1.85,1.85,400,1.85,TEKCHEMA.MX
2006-10-20,1.7,1.7,1.7,1.7,100,1.7,TEKCHEMA.MX
2006-10-23,1.85,1.85,1.2,1.2,0,1.2,TEKCHEMA.MX
2006-10-24,1.85,1.85,1.85,1.85,0,1.85,TEKCHEMA.MX
2006-10-25,1.85,1.85,1.7,1.7,0,1.7,TEKCHEMA.MX
2006-10-26,1.85,1.85,1.85,1.85,0,1.85,TEKCHEMA.MX
2006-10-27,1.85,1.85,1.85,1.85,0,1.85,TEKCHEMA.MX
2006-10-30,1.85,1.85,1.85,1.85,0,1.85,TEKCHEMA.MX
2006-10-31,1.7,1.8,1.7,1.8,1000,1.8,TEKCHEMA.MX
2006-11-01,1.8,1.8,1.8,1.8,0,1.8,TEKCHEMA.MX
2006-11-02,1.8,1.8,1.8,1.8,0,1.8,TEKCHEMA.MX
2006-11-03,1.8,1.8,1.8,1.8,0,1.8,TEKCHEMA.MX
2006-11-06,1.7,1.7,1.7,1.7,100,1.7,TEKCHEMA.MX
2006-11-07,1.65,1.65,1.65,1.65,30000,1.65,TEKCHEMA.MX
2006-11-08,1.7,1.7,1.7,1.7,0,1.7,TEKCHEMA.MX
2006-11-09,1.7,1.7,1.7,1.7,0,1.7,TEKCHEMA.MX
2006-11-10,1.7,1.7,1.7,1.7,0,1.7,TEKCHEMA.MX
2006-11-13,1.65,1.65,1.65,1.65,0,1.65,TEKCHEMA.MX
2006-11-14,1.65,1.65,1.65,1.65,0,1.65,TEKCHEMA.MX
2006-11-15,1.65,1.65,1.65,1.65,0,1.65,TEKCHEMA.MX
2006-11-16,1.65,1.65,1.65,1.65,0,1.65,TEKCHEMA.MX
2006-11-17,1.6,1.6,1.6,1.6,0,1.6,TEKCHEMA.MX
2006-11-20,1.6,1.6,1.6,1.6,0,1.6,TEKCHEMA.MX
2006-11-21,1.6,1.6,1.6,1.6,0,1.6,TEKCHEMA.MX
2006-11-22,1.6,1.6,1.6,1.6,0,1.6,TEKCHEMA.MX
2006-11-23,1.6,1.6,1.6,1.6,0,1.6,TEKCHEMA.MX
2006-11-24,1.6,1.6,1.6,1.6,300,1.6,TEKCHEMA.MX
2006-11-27,1.6,1.6,1.6,1.6,0,1.6,TEKCHEMA.MX
2006-11-28,1.6,1.6,1.6,1.6,0,1.6,TEKCHEMA.MX
2006-11-29,1.6,1.6,1.6,1.6,0,1.6,TEKCHEMA.MX
2006-11-30,1.6,1.6,1.6,1.6,0,1.6,TEKCHEMA.MX
2006-12-01,1.6,1.6,1.6,1.6,0,1.6,TEKCHEMA.MX
2006-12-04,1.6,1.6,1.6,1.6,0,1.6,TEKCHEMA.MX
2006-12-05,1.6,1.6,1.6,1.6,0,1.6,TEKCHEMA.MX
2006-12-06,1.6,1.6,1.6,1.6,0,1.6,TEKCHEMA.MX
2006-12-07,1.58,1.58,1.58,1.58,0,1.58,TEKCHEMA.MX
2006-12-08,1.58,1.58,1.58,1.58,0,1.58,TEKCHEMA.MX
2006-12-11,1.58,1.58,1.58,1.58,0,1.58,TEKCHEMA.MX
2006-12-12,1.58,1.58,1.58,1.58,0,1.58,TEKCHEMA.MX
2006-12-13,1.58,1.58,1.58,1.58,0,1.58,TEKCHEMA.MX
2006-12-14,1.58,1.58,1.58,1.58,0,1.58,TEKCHEMA.MX
2006-12-15,1.58,1.58,1.58,1.58,0,1.58,TEKCHEMA.MX
2006-12-18,1.56,1.56,1.56,1.56,400,1.56,TEKCHEMA.MX
2006-12-19,1.56,1.56,1.56,1.56,0,1.56,TEKCHEMA.MX
2006-12-20,1.56,1.56,1.56,1.56,0,1.56,TEKCHEMA.MX
2006-12-21,1.56,1.56,1.56,1.56,0,1.56,TEKCHEMA.MX
2006-12-22,1.56,1.56,1.56,1.56,0,1.56,TEKCHEMA.MX
2006-12-25,1.56,1.56,1.56,1.56,0,1.56,TEKCHEMA.MX
2006-12-26,1.56,1.56,1.56,1.56,0,1.56,TEKCHEMA.MX
2006-12-27,1.56,1.56,1.56,1.56,0,1.56,TEKCHEMA.MX
2006-12-28,1.56,1.56,1.56,1.56,0,1.56,TEKCHEMA.MX
2006-12-29,1.56,1.56,1.56,1.56,0,1.56,TEKCHEMA.MX
2007-01-01,1.56,1.56,1.56,1.56,0,1.56,TEKCHEMA.MX
2007-01-02,1.56,1.56,1.56,1.56,0,1.56,TEKCHEMA.MX
2007-01-03,1.56,1.56,1.56,1.56,0,1.56,TEKCHEMA.MX
2007-01-04,1.56,1.56,1.56,1.56,0,1.56,TEKCHEMA.MX
2007-01-05,1.56,1.56,1.56,1.56,0,1.56,TEKCHEMA.MX
2007-01-08,1.55,1.55,1.55,1.55,0,1.55,TEKCHEMA.MX
2007-01-09,1.55,1.55,1.55,1.55,0,1.55,TEKCHEMA.MX
2007-01-10,1.55,1.55,1.55,1.55,0,1.55,TEKCHEMA.MX
2007-01-11,1.53,1.53,1.53,1.53,0,1.53,TEKCHEMA.MX
2007-01-12,1.53,1.53,1.53,1.53,0,1.53,TEKCHEMA.MX
2007-01-15,1.54,1.54,1.54,1.54,100,1.54,TEKCHEMA.MX
2007-01-16,1.52,1.52,1.52,1.52,2000,1.52,TEKCHEMA.MX
2007-01-17,1.5,1.5,1.5,1.5,100,1.5,TEKCHEMA.MX
2007-01-18,1.5,1.5,1.45,1.45,6900,1.45,TEKCHEMA.MX
2007-01-19,1.45,1.45,1.38,1.45,11600,1.45,TEKCHEMA.MX
2007-01-22,1.45,1.45,1.45,1.45,1900,1.45,TEKCHEMA.MX
2007-01-23,1.45,1.45,1.45,1.45,100,1.45,TEKCHEMA.MX
2007-01-24,1.45,1.45,1.45,1.45,100,1.45,TEKCHEMA.MX
2007-01-25,1.44,1.44,1.2,1.2,0,1.2,TEKCHEMA.MX
2007-01-26,1.44,1.45,1.44,1.45,3200,1.45,TEKCHEMA.MX
2007-01-29,1.45,1.45,1.45,1.45,0,1.45,TEKCHEMA.MX
2007-01-30,1.45,1.45,1.45,1.45,0,1.45,TEKCHEMA.MX
2007-01-31,1.45,1.45,1.45,1.45,100,1.45,TEKCHEMA.MX
2007-02-01,1.45,1.45,1.45,1.45,100,1.45,TEKCHEMA.MX
2007-02-02,1.45,1.45,1.45,1.45,0,1.45,TEKCHEMA.MX
2007-02-05,1.45,1.45,1.45,1.45,0,1.45,TEKCHEMA.MX
2007-02-06,1.45,1.45,1.45,1.45,0,1.45,TEKCHEMA.MX
2007-02-07,1.45,1.45,1.45,1.45,0,1.45,TEKCHEMA.MX
