Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2002-12-17,18.5,18.71,18.13,18.13,473600,17.93,TS.MX
2002-12-18,18.0,18.0,17.85,17.85,16000,17.65,TS.MX
2002-12-19,17.85,18.28,17.85,18.28,1324000,18.08,TS.MX
2002-12-20,18.4,19.3,18.4,19.0,321500,18.79,TS.MX
2002-12-23,19.0,19.3,19.0,19.3,112700,19.09,TS.MX
2002-12-24,19.38,19.38,19.38,19.38,4200,19.17,TS.MX
2002-12-26,19.38,19.75,19.38,19.4,144500,19.19,TS.MX
2002-12-27,19.4,19.8,19.4,19.7,49500,19.48,TS.MX
2002-12-31,19.5,19.8,19.5,19.8,111800,19.58,TS.MX
2003-01-02,19.81,19.81,19.81,19.81,10400,19.59,TS.MX
2003-01-06,20.1,21.2,20.1,21.2,24100,20.97,TS.MX
2003-01-07,21.1,21.7,21.0,21.7,16500,21.46,TS.MX
2003-01-08,21.66,23.65,21.66,23.29,614300,23.03,TS.MX
2003-01-09,23.0,24.0,23.0,23.9,82400,23.64,TS.MX
2003-01-10,23.75,23.75,23.6,23.6,11400,23.34,TS.MX
2003-01-13,23.6,23.6,23.05,23.05,42500,22.8,TS.MX
2003-01-14,22.9,22.9,22.7,22.75,48700,22.5,TS.MX
2003-01-15,22.75,22.75,22.0,22.0,0,21.76,TS.MX
2003-01-16,22.75,23.2,22.65,22.65,44200,22.4,TS.MX
2003-01-17,24.0,24.0,18.76,18.76,0,18.55,TS.MX
2003-01-20,23.0,23.0,21.5,21.5,0,21.26,TS.MX
2003-01-21,22.65,22.8,22.65,22.8,180100,22.55,TS.MX
2003-01-22,22.75,22.75,22.2,22.2,0,21.96,TS.MX
2003-01-23,22.0,22.0,22.0,22.0,0,21.76,TS.MX
2003-01-24,22.0,22.2,22.0,22.0,300,21.76,TS.MX
2003-01-27,21.7,22.0,21.7,21.82,25000,21.58,TS.MX
2003-01-28,21.82,21.82,21.82,21.82,0,21.58,TS.MX
2003-01-29,21.7,21.7,21.7,21.7,2000,21.46,TS.MX
2003-01-30,21.6,21.6,21.01,21.3,144300,21.07,TS.MX
2003-01-31,21.3,21.3,21.3,21.3,7900,21.07,TS.MX
2003-02-03,21.5,22.0,21.5,22.0,2200,21.76,TS.MX
2003-02-04,22.0,22.51,22.0,22.22,64000,21.98,TS.MX
2003-02-06,22.0,22.0,21.79,22.0,45400,21.76,TS.MX
2003-02-07,22.0,22.2,22.0,22.2,18600,21.96,TS.MX
2003-02-10,22.2,22.2,22.2,22.2,100,21.96,TS.MX
2003-02-11,22.19,23.0,22.19,23.0,45500,22.75,TS.MX
2003-02-12,23.0,23.2,23.0,23.2,2000,22.95,TS.MX
2003-02-13,23.54,23.54,23.54,23.54,5000,23.28,TS.MX
2003-02-14,23.25,23.25,23.25,23.25,2000,22.99,TS.MX
2003-02-17,23.0,23.0,23.0,23.0,8900,22.75,TS.MX
2003-02-18,23.1,23.2,23.1,23.2,27200,22.95,TS.MX
2003-02-19,23.5,23.5,23.2,23.2,0,22.95,TS.MX
2003-02-20,23.45,23.65,23.35,23.35,35700,23.09,TS.MX
2003-02-21,23.35,23.9,23.35,23.9,60100,23.64,TS.MX
2003-02-24,23.85,24.15,23.85,24.05,72000,23.79,TS.MX
2003-02-25,24.05,24.2,24.05,24.2,15000,23.93,TS.MX
2003-02-26,24.3,24.34,24.3,24.3,20000,24.03,TS.MX
2003-02-27,24.5,24.5,24.45,24.5,340000,24.23,TS.MX
2003-02-28,24.8,24.82,24.6,24.7,119100,24.43,TS.MX
2003-03-03,24.65,24.9,24.65,24.9,100000,24.63,TS.MX
2003-03-04,25.0,25.02,24.75,24.75,173700,24.48,TS.MX
2003-03-05,24.81,25.5,24.81,25.5,216100,25.22,TS.MX
2003-03-06,25.4,25.4,24.75,24.75,160500,24.48,TS.MX
2003-03-07,24.4,24.4,23.75,23.75,226500,23.49,TS.MX
2003-03-10,23.75,23.76,23.5,23.5,312700,23.24,TS.MX
2003-03-11,23.2,23.25,23.2,23.22,129200,22.97,TS.MX
2003-03-12,23.6,23.6,23.6,23.6,24000,23.34,TS.MX
2003-03-13,23.3,23.48,23.3,23.48,35500,23.22,TS.MX
2003-03-14,23.47,23.47,23.3,23.3,41300,23.04,TS.MX
2003-03-17,23.3,23.3,23.3,23.3,20000,23.04,TS.MX
2003-03-18,22.5,23.85,22.5,23.85,50100,23.59,TS.MX
2003-03-19,23.8,23.8,23.8,23.8,150000,23.54,TS.MX
2003-03-20,23.8,23.8,23.8,23.8,1800,23.54,TS.MX
2003-03-24,23.7,23.7,23.6,23.6,0,23.34,TS.MX
2003-03-25,23.85,23.85,23.85,23.85,6000,23.59,TS.MX
2003-03-26,23.85,23.85,23.85,23.85,7000,23.59,TS.MX
2003-03-27,25.0,25.0,23.0,23.0,0,22.75,TS.MX
2003-03-28,24.0,24.0,24.0,24.0,900,23.74,TS.MX
2003-03-31,23.45,23.45,23.45,23.45,150600,23.19,TS.MX
2003-04-01,24.0,24.0,24.0,24.0,0,23.74,TS.MX
2003-04-02,23.5,23.5,23.5,23.5,1000,23.24,TS.MX
2003-04-03,23.5,23.5,23.35,23.35,201000,23.09,TS.MX
2003-04-04,23.35,24.0,23.35,24.0,218500,23.74,TS.MX
2003-04-07,23.7,23.7,23.7,23.7,1400,23.44,TS.MX
2003-04-08,24.0,24.0,23.3,23.3,0,23.04,TS.MX
2003-04-09,23.65,23.65,23.65,23.65,4000,23.39,TS.MX
2003-04-10,23.65,23.75,23.65,23.65,270400,23.39,TS.MX
2003-04-11,23.65,23.65,23.6,23.65,178900,23.39,TS.MX
2003-04-14,23.8,23.8,22.21,22.21,0,21.97,TS.MX
2003-04-15,23.75,23.75,22.6,22.6,0,22.35,TS.MX
2003-04-16,23.75,24.5,23.75,24.5,61200,24.23,TS.MX
2003-04-21,24.5,24.5,24.5,24.5,5200,24.23,TS.MX
2003-04-22,24.7,24.8,24.7,24.7,120300,24.43,TS.MX
2003-04-23,25.0,25.7,25.0,25.7,369700,25.42,TS.MX
2003-04-24,25.3,25.3,25.3,25.3,0,25.02,TS.MX
2003-04-25,25.4,25.4,24.2,24.2,0,23.93,TS.MX
2003-04-28,25.3,25.3,23.21,23.21,0,22.96,TS.MX
2003-04-29,25.0,25.0,24.0,24.0,0,23.74,TS.MX
2003-04-30,25.0,25.0,23.21,23.21,0,22.96,TS.MX
2003-05-02,25.0,25.0,23.21,23.21,0,22.96,TS.MX
2003-05-05,24.7,24.7,24.6,24.63,111700,24.36,TS.MX
2003-05-06,24.7,24.7,24.4,24.5,31600,24.23,TS.MX
2003-05-07,24.4,24.4,24.0,24.28,147600,24.01,TS.MX
2003-05-08,24.25,24.25,24.25,24.25,40000,23.98,TS.MX
2003-05-09,24.25,25.4,24.24,24.6,317700,24.33,TS.MX
2003-05-12,24.6,24.6,23.21,23.21,0,22.96,TS.MX
2003-05-13,24.3,24.3,23.25,23.25,0,22.99,TS.MX
2003-05-14,24.29,24.29,23.0,23.0,19800,22.75,TS.MX
2003-05-15,23.0,23.3,22.5,23.0,553800,22.75,TS.MX
2003-05-16,23.0,23.4,23.0,23.2,56200,22.95,TS.MX
2003-05-19,23.2,23.2,23.2,23.2,356000,22.95,TS.MX
2003-05-20,22.5,22.5,22.5,22.5,100,22.25,TS.MX
2003-05-21,22.55,22.7,22.55,22.7,489800,22.45,TS.MX
2003-05-22,23.4,23.4,22.7,22.7,0,22.45,TS.MX
2003-05-23,23.4,23.4,23.3,23.3,24300,23.04,TS.MX
2003-05-26,23.0,23.0,23.0,23.0,10000,22.75,TS.MX
2003-05-27,23.01,23.55,23.0,23.5,212500,23.24,TS.MX
2003-05-28,23.8,23.8,23.8,23.8,40000,23.54,TS.MX
2003-05-29,24.0,24.0,23.5,23.5,0,23.24,TS.MX
2003-05-30,23.9,24.0,23.9,24.0,42800,23.74,TS.MX
2003-06-02,23.99,23.99,22.8,22.8,0,22.55,TS.MX
2003-06-03,23.5,23.5,22.65,22.65,5900,22.4,TS.MX
2003-06-04,22.8,24.0,22.8,24.0,43700,23.74,TS.MX
2003-06-05,24.3,24.3,24.3,24.3,5000,24.03,TS.MX
2003-06-06,24.5,25.0,24.5,25.0,92000,24.73,TS.MX
2003-06-09,25.0,25.0,25.0,25.0,30800,24.73,TS.MX
2003-06-10,25.0,25.0,25.0,25.0,26500,24.73,TS.MX
2003-06-11,24.9,24.9,24.6,24.9,31600,24.63,TS.MX
2003-06-12,25.0,25.4,25.0,25.4,176200,25.12,TS.MX
2003-06-13,25.4,25.5,25.4,25.5,68100,25.22,TS.MX
2003-06-16,25.6,25.6,25.6,25.6,50000,25.32,TS.MX
2003-06-17,25.7,26.8,25.7,26.8,223100,26.51,TS.MX
2003-06-18,26.3,26.35,26.3,26.35,58500,26.06,TS.MX
2003-06-19,26.9,26.9,24.65,24.65,0,24.38,TS.MX
2003-06-20,25.8,25.8,24.75,24.75,0,24.48,TS.MX
2003-06-23,26.35,26.35,25.0,25.0,0,24.73,TS.MX
2003-06-24,26.35,26.35,26.35,26.35,200,26.06,TS.MX
2003-06-25,26.5,27.3,26.5,27.3,140000,27.0,TS.MX
2003-06-26,27.2,27.2,26.0,26.0,0,25.71,TS.MX
2003-06-27,27.2,27.2,27.2,27.2,0,26.9,TS.MX
2003-06-30,27.0,27.0,27.0,27.0,0,26.7,TS.MX
2003-07-01,27.0,27.0,26.0,26.0,0,25.71,TS.MX
2003-07-02,27.0,27.0,27.0,27.0,0,26.7,TS.MX
2003-07-03,27.0,27.0,27.0,27.0,0,26.7,TS.MX
2003-07-04,27.0,27.0,27.0,27.0,0,26.7,TS.MX
2003-07-07,27.0,27.25,27.0,27.25,145800,26.95,TS.MX
2003-07-08,27.3,27.3,27.3,27.3,50600,27.0,TS.MX
2003-07-09,27.5,27.5,27.5,27.5,20000,27.2,TS.MX
2003-07-10,27.5,27.5,27.5,27.5,0,27.2,TS.MX
2003-07-11,27.5,27.5,26.2,26.2,0,25.91,TS.MX
2003-07-14,27.5,27.5,27.5,27.5,0,27.2,TS.MX
2003-07-15,27.5,27.5,26.3,26.3,0,26.01,TS.MX
2003-07-16,27.5,27.5,26.1,26.1,0,25.81,TS.MX
2003-07-17,26.6,26.6,26.6,26.6,30000,26.31,TS.MX
2003-07-18,26.49,26.49,26.49,26.49,5000,26.2,TS.MX
2003-07-21,26.5,26.5,26.5,26.5,12600,26.21,TS.MX
2003-07-22,26.5,26.5,26.5,26.5,800,26.21,TS.MX
2003-07-23,26.5,27.28,26.5,27.28,5600,26.98,TS.MX
2003-07-24,27.28,27.28,27.0,27.0,0,26.7,TS.MX
2003-07-25,27.28,27.28,26.0,26.0,0,25.71,TS.MX
2003-07-28,27.0,27.0,25.9,25.9,0,25.62,TS.MX
2003-07-29,27.28,27.28,27.28,27.28,0,26.98,TS.MX
2003-07-30,27.28,27.28,23.3,23.3,0,23.04,TS.MX
2003-07-31,27.3,27.3,23.3,23.3,0,23.04,TS.MX
2003-08-01,27.0,27.0,23.3,23.3,0,23.04,TS.MX
2003-08-04,27.0,27.0,23.3,23.3,0,23.04,TS.MX
2003-08-05,27.1,27.1,27.1,27.1,58000,26.8,TS.MX
2003-08-06,27.0,27.0,27.0,27.0,10100,26.7,TS.MX
2003-08-07,27.0,27.0,27.0,27.0,100,26.7,TS.MX
2003-08-08,27.0,27.0,26.15,26.15,0,25.86,TS.MX
2003-08-11,27.0,27.0,23.3,23.3,0,23.04,TS.MX
2003-08-12,27.0,27.0,23.3,23.3,0,23.04,TS.MX
2003-08-13,26.5,26.5,23.3,23.3,0,23.04,TS.MX
2003-08-14,26.5,26.5,23.3,23.3,0,23.04,TS.MX
2003-08-15,26.99,26.99,23.3,23.3,0,23.04,TS.MX
2003-08-18,26.5,26.5,23.3,23.3,0,23.04,TS.MX
2003-08-19,25.2,25.2,25.2,25.2,34000,24.92,TS.MX
2003-08-20,25.2,25.2,23.3,23.3,0,23.04,TS.MX
2003-08-21,25.2,26.0,25.2,26.0,17100,25.71,TS.MX
2003-08-22,26.4,26.4,26.0,26.0,0,25.71,TS.MX
2003-08-25,26.5,26.5,26.5,26.5,88300,26.21,TS.MX
2003-08-26,26.5,26.5,26.5,26.5,1000,26.21,TS.MX
2003-08-27,27.0,27.25,27.0,27.25,217100,26.95,TS.MX
2003-08-28,27.25,27.55,27.25,27.55,260100,27.25,TS.MX
2003-08-29,27.3,27.95,27.3,27.95,155100,27.64,TS.MX
2003-09-01,27.8,27.8,26.6,26.6,0,26.31,TS.MX
2003-09-02,27.8,28.0,27.8,28.0,562400,27.69,TS.MX
2003-09-03,28.0,28.1,28.0,28.01,165600,27.7,TS.MX
2003-09-04,28.1,28.31,28.1,28.3,208500,27.99,TS.MX
2003-09-05,28.01,28.2,28.0,28.0,150400,27.69,TS.MX
2003-09-08,28.0,28.2,28.0,28.2,369000,27.89,TS.MX
2003-09-09,28.2,28.2,28.0,28.0,288000,27.69,TS.MX
2003-09-10,28.0,28.0,28.0,28.0,280900,27.69,TS.MX
2003-09-11,28.75,28.8,28.5,28.8,277600,28.48,TS.MX
2003-09-12,29.0,29.0,29.0,29.0,109600,28.68,TS.MX
2003-09-15,29.0,29.5,29.0,29.2,165000,28.88,TS.MX
2003-09-17,28.8,28.8,28.8,28.8,20000,28.48,TS.MX
2003-09-18,28.8,29.0,28.8,29.0,77500,28.68,TS.MX
2003-09-19,31.0,31.0,23.3,23.3,0,23.04,TS.MX
2003-09-22,29.0,29.0,29.0,29.0,20300,28.68,TS.MX
2003-09-23,30.0,30.0,30.0,30.0,300,29.67,TS.MX
2003-09-24,30.0,30.0,30.0,30.0,2900,29.67,TS.MX
2003-09-25,31.0,31.0,29.0,29.0,0,28.68,TS.MX
2003-09-26,29.8,29.8,29.1,29.1,0,28.78,TS.MX
2003-09-29,30.0,30.0,23.3,23.3,0,23.04,TS.MX
2003-09-30,28.8,28.8,28.8,28.8,15700,28.48,TS.MX
2003-10-01,28.8,29.6,28.8,29.6,38200,29.28,TS.MX
2003-10-02,30.3,30.3,25.36,25.36,0,25.08,TS.MX
2003-10-03,30.8,31.0,30.8,30.92,50000,30.58,TS.MX
2003-10-06,30.92,30.92,27.6,27.6,0,27.3,TS.MX
2003-10-07,31.0,31.0,31.0,31.0,10000,30.66,TS.MX
2003-10-08,30.99,30.99,27.6,27.6,0,27.3,TS.MX
2003-10-09,30.48,30.48,30.48,30.48,5000,30.15,TS.MX
2003-10-10,30.0,30.0,30.0,30.0,5200,29.67,TS.MX
2003-10-13,30.2,30.2,30.2,30.2,100,29.87,TS.MX
2003-10-14,31.0,31.0,30.2,30.2,0,29.87,TS.MX
2003-10-15,30.7,30.7,30.2,30.2,0,29.87,TS.MX
2003-10-16,30.2,30.2,30.2,30.2,5200,29.87,TS.MX
2003-10-17,30.2,30.2,30.2,30.2,0,29.87,TS.MX
2003-10-20,27.6,27.6,27.6,27.6,0,27.3,TS.MX
2003-10-21,30.2,30.5,30.2,30.5,54200,30.17,TS.MX
2003-10-22,30.5,31.1,30.5,31.0,32900,30.66,TS.MX
2003-10-23,30.73,30.73,30.73,30.73,41200,30.39,TS.MX
2003-10-24,30.99,30.99,30.11,30.11,0,29.78,TS.MX
2003-10-27,30.23,30.23,30.23,30.23,0,29.9,TS.MX
2003-10-28,30.31,30.31,30.31,30.31,0,29.98,TS.MX
2003-10-29,31.0,31.0,30.2,30.2,0,29.87,TS.MX
2003-10-30,30.67,30.67,29.6,29.6,0,29.28,TS.MX
2003-10-31,30.49,30.49,27.6,27.6,0,27.3,TS.MX
2003-11-03,30.69,30.69,27.6,27.6,0,27.3,TS.MX
2003-11-04,29.8,29.8,29.8,29.8,11800,29.47,TS.MX
2003-11-05,29.8,29.8,29.8,29.8,8400,29.47,TS.MX
2003-11-06,29.9,29.9,29.9,29.9,100,29.57,TS.MX
2003-11-07,29.9,29.9,29.9,29.9,5100,29.57,TS.MX
2003-11-10,29.9,29.9,29.9,29.9,0,29.57,TS.MX
2003-11-11,32.2,32.2,29.7,29.7,0,29.37,TS.MX
2003-11-12,29.9,29.9,29.9,29.9,0,29.57,TS.MX
2003-11-13,29.9,29.9,29.9,29.9,33300,29.57,TS.MX
2003-11-14,30.98,30.98,30.98,30.98,15800,30.64,TS.MX
2003-11-17,27.6,27.6,27.6,27.6,0,27.3,TS.MX
2003-11-18,30.6,30.6,30.6,30.6,100,30.26,TS.MX
2003-11-19,27.6,27.6,27.6,27.6,0,27.3,TS.MX
2003-11-21,27.6,27.6,27.6,27.6,0,27.3,TS.MX
2003-11-24,30.0,30.0,30.0,30.0,1000,29.67,TS.MX
2003-11-25,30.8,30.8,29.8,29.8,0,29.47,TS.MX
2003-11-26,29.8,29.8,29.8,29.8,0,29.47,TS.MX
2003-11-27,35.0,35.0,29.8,29.8,0,29.47,TS.MX
2003-11-28,32.0,32.0,29.8,29.8,0,29.47,TS.MX
2003-12-01,31.0,31.0,31.0,31.0,5000,30.66,TS.MX
2003-12-02,31.3,31.3,31.3,31.3,100,30.96,TS.MX
2003-12-03,31.5,31.5,31.5,31.5,100,31.15,TS.MX
2003-12-04,35.0,35.0,31.0,31.0,0,30.66,TS.MX
2003-12-05,31.6,31.6,31.6,31.6,10000,31.25,TS.MX
2003-12-08,32.0,32.8,32.0,32.8,50200,32.44,TS.MX
2003-12-09,35.0,35.0,35.0,35.0,0,34.62,TS.MX
2003-12-10,33.5,33.5,32.8,32.8,0,32.44,TS.MX
2003-12-11,33.2,33.2,33.2,33.2,0,32.84,TS.MX
2003-12-15,33.3,33.3,33.3,33.3,0,32.93,TS.MX
2003-12-16,33.6,33.6,33.6,33.6,77000,33.23,TS.MX
2003-12-17,33.6,33.6,33.6,33.6,8300,33.23,TS.MX
2003-12-18,34.0,35.0,34.0,35.0,20300,34.62,TS.MX
2003-12-19,35.0,35.0,35.0,35.0,47400,34.62,TS.MX
2003-12-22,35.0,35.0,35.0,35.0,5500,34.62,TS.MX
2003-12-23,35.5,35.5,35.5,35.5,3000,35.11,TS.MX
2003-12-24,35.5,35.5,35.5,35.5,0,35.11,TS.MX
2003-12-25,35.5,35.5,35.5,35.5,0,35.11,TS.MX
2003-12-26,35.5,35.5,35.5,35.5,0,35.11,TS.MX
2003-12-29,35.5,35.5,35.5,35.5,0,35.11,TS.MX
2003-12-30,36.0,36.0,36.0,36.0,2800,35.6,TS.MX
2003-12-31,36.0,36.0,36.0,36.0,0,35.6,TS.MX
2004-01-01,36.0,36.0,36.0,36.0,0,35.6,TS.MX
2004-01-02,36.0,36.0,36.0,36.0,0,35.6,TS.MX
2004-01-05,36.5,36.5,36.5,36.5,0,36.1,TS.MX
2004-01-06,37.81,37.81,37.81,37.81,0,37.39,TS.MX
2004-01-07,36.0,36.0,36.0,36.0,0,35.6,TS.MX
2004-01-08,39.75,39.75,39.75,39.75,10000,39.31,TS.MX
2004-01-09,38.51,38.51,38.5,38.5,8600,38.08,TS.MX
2004-01-12,38.5,38.5,38.5,38.5,0,38.08,TS.MX
2004-01-13,31.0,31.0,31.0,31.0,0,30.66,TS.MX
2004-01-14,31.0,31.0,31.0,31.0,0,30.66,TS.MX
2004-01-15,37.5,37.5,31.0,31.0,0,30.66,TS.MX
2004-01-16,36.8,36.8,31.0,31.0,0,30.66,TS.MX
2004-01-19,37.4,37.4,34.2,34.2,0,33.82,TS.MX
2004-01-20,37.4,38.0,37.4,37.95,47500,37.53,TS.MX
2004-01-21,31.0,31.0,31.0,31.0,0,30.66,TS.MX
2004-01-22,38.0,38.0,37.8,37.8,0,37.39,TS.MX
2004-01-23,37.9,37.9,37.9,37.9,5200,37.48,TS.MX
2004-01-26,37.9,37.9,37.9,37.9,0,37.48,TS.MX
2004-01-27,39.0,39.0,39.0,39.0,15700,38.57,TS.MX
2004-01-28,39.0,39.0,31.0,31.0,0,30.66,TS.MX
2004-01-29,31.0,31.0,31.0,31.0,0,30.66,TS.MX
2004-01-30,31.0,31.0,31.0,31.0,0,30.66,TS.MX
2004-02-02,29.3,29.3,29.3,29.3,0,28.98,TS.MX
2004-02-03,39.0,39.0,29.3,29.3,0,28.98,TS.MX
2004-02-04,39.0,39.0,29.3,29.3,0,28.98,TS.MX
2004-02-05,29.3,29.3,29.3,29.3,0,28.98,TS.MX
2004-02-06,39.0,39.0,29.3,29.3,0,28.98,TS.MX
2004-02-09,38.6,38.6,38.6,38.6,0,38.18,TS.MX
2004-02-10,37.0,37.0,29.3,29.3,0,28.98,TS.MX
2004-02-11,36.0,36.0,36.0,36.0,1100,35.6,TS.MX
2004-02-12,36.0,36.1,36.0,36.1,35500,35.7,TS.MX
2004-02-13,29.3,29.3,29.3,29.3,0,28.98,TS.MX
2004-02-16,29.3,29.3,29.3,29.3,0,28.98,TS.MX
2004-02-17,29.3,29.3,29.3,29.3,0,28.98,TS.MX
2004-02-18,36.1,36.1,36.1,36.1,100,35.7,TS.MX
2004-02-19,37.1,37.1,36.1,36.1,0,35.7,TS.MX
2004-02-20,36.8,36.8,36.01,36.01,0,35.61,TS.MX
2004-02-23,36.1,36.1,36.1,36.1,0,35.7,TS.MX
2004-02-24,36.0,36.0,36.0,36.0,0,35.6,TS.MX
2004-02-25,36.1,36.1,36.1,36.1,0,35.7,TS.MX
2004-02-26,36.1,36.1,36.1,36.1,0,35.7,TS.MX
2004-02-27,36.1,36.1,36.1,36.1,500,35.7,TS.MX
2004-03-01,37.5,37.5,37.0,37.0,18500,36.59,TS.MX
2004-03-02,38.4,38.4,38.4,38.4,0,37.98,TS.MX
2004-03-03,37.0,37.0,37.0,37.0,0,36.59,TS.MX
2004-03-04,37.02,37.02,37.02,37.02,100,36.61,TS.MX
2004-03-05,37.0,37.0,37.0,37.0,0,36.59,TS.MX
2004-03-08,37.02,37.02,37.02,37.02,5200,36.61,TS.MX
2004-03-09,37.02,37.02,37.02,37.02,0,36.61,TS.MX
2004-03-10,36.02,36.02,36.02,36.02,0,35.62,TS.MX
2004-03-11,37.05,37.05,34.02,34.02,0,33.65,TS.MX
2004-03-12,37.02,37.02,37.02,37.02,200,36.61,TS.MX
2004-03-15,36.8,36.8,33.0,33.0,0,32.64,TS.MX
2004-03-16,35.7,35.7,35.7,35.7,7700,35.31,TS.MX
2004-03-17,35.7,37.02,35.7,37.02,36400,36.61,TS.MX
2004-03-18,37.5,37.5,36.05,36.05,0,35.65,TS.MX
2004-03-19,38.02,38.02,36.0,36.0,0,35.6,TS.MX
2004-03-22,36.76,36.99,36.76,36.99,60200,36.58,TS.MX
2004-03-23,36.99,36.99,35.95,35.95,0,35.56,TS.MX
2004-03-24,36.0,36.0,36.0,36.0,10800,35.6,TS.MX
2004-03-25,37.0,37.0,37.0,37.0,0,36.59,TS.MX
2004-03-26,38.0,38.0,35.0,35.0,0,34.62,TS.MX
2004-03-29,37.0,37.0,36.89,36.89,10000,36.49,TS.MX
2004-03-30,36.89,36.89,34.86,34.86,0,34.48,TS.MX
