Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2004-05-11,32.5,32.8,32.28,32.41,4892400,10.8,URBI.MX
2004-05-12,32.4,32.6,32.38,32.5,3658200,10.83,URBI.MX
2004-05-13,32.5,33.0,32.5,32.8,2460600,10.93,URBI.MX
2004-05-14,32.8,33.5,32.8,33.5,2762400,11.17,URBI.MX
2004-05-17,33.42,33.5,33.13,33.5,3753900,11.17,URBI.MX
2004-05-18,33.5,33.52,33.0,33.22,3203700,11.07,URBI.MX
2004-05-19,33.44,33.5,33.3,33.34,2520000,11.11,URBI.MX
2004-05-20,33.3,33.4,33.2,33.32,1457400,11.11,URBI.MX
2004-05-21,33.31,33.4,33.3,33.31,469800,11.1,URBI.MX
2004-05-24,33.31,33.46,33.25,33.46,634200,11.15,URBI.MX
2004-05-25,33.4,33.8,32.64,33.6,5419200,11.2,URBI.MX
2004-05-26,33.65,35.0,33.65,34.58,3118800,11.53,URBI.MX
2004-05-27,34.8,35.1,34.4,34.8,1596900,11.6,URBI.MX
2004-05-28,34.8,34.81,34.6,34.7,302700,11.57,URBI.MX
2004-05-31,34.51,34.51,34.0,34.0,53700,11.33,URBI.MX
2004-06-01,34.0,34.69,34.0,34.68,941100,11.56,URBI.MX
2004-06-02,34.52,34.52,34.25,34.29,826500,11.43,URBI.MX
2004-06-03,34.25,34.25,34.1,34.11,387900,11.37,URBI.MX
2004-06-04,34.12,35.0,34.12,34.46,2162400,11.49,URBI.MX
2004-06-07,34.8,35.0,34.75,35.0,3478200,11.67,URBI.MX
2004-06-08,35.0,35.0,34.75,34.75,347700,11.58,URBI.MX
2004-06-09,34.75,35.2,34.65,35.07,3233700,11.69,URBI.MX
2004-06-10,35.0,35.0,34.7,35.0,243600,11.67,URBI.MX
2004-06-11,35.0,35.02,35.0,35.0,396600,11.67,URBI.MX
2004-06-14,34.75,35.01,34.75,35.0,1417800,11.67,URBI.MX
2004-06-15,35.02,36.75,35.02,36.57,3503100,12.19,URBI.MX
2004-06-16,36.99,37.11,36.58,37.04,1212900,12.35,URBI.MX
2004-06-17,36.9,37.34,36.9,37.3,2212500,12.43,URBI.MX
2004-06-18,37.15,37.59,37.15,37.5,857400,12.5,URBI.MX
2004-06-21,37.4,38.01,37.4,37.9,3495000,12.63,URBI.MX
2004-06-22,37.8,37.8,37.4,37.52,1056900,12.51,URBI.MX
2004-06-23,37.52,37.52,37.06,37.3,759300,12.43,URBI.MX
2004-06-24,37.3,37.35,36.99,37.25,1406700,12.42,URBI.MX
2004-06-25,37.25,37.4,37.0,37.4,941400,12.47,URBI.MX
2004-06-28,37.5,37.5,37.0,37.39,2003100,12.46,URBI.MX
2004-06-29,37.4,37.4,37.1,37.18,439500,12.39,URBI.MX
2004-06-30,36.91,37.2,36.91,37.15,555900,12.38,URBI.MX
2004-07-01,37.15,37.2,37.0,37.0,2821500,12.33,URBI.MX
2004-07-02,37.0,37.0,37.0,37.0,176700,12.33,URBI.MX
2004-07-05,37.0,37.1,37.0,37.1,76500,12.37,URBI.MX
2004-07-06,37.0,37.15,37.0,37.14,2640000,12.38,URBI.MX
2004-07-07,37.15,37.5,37.15,37.3,671400,12.43,URBI.MX
2004-07-08,37.2,37.35,37.1,37.11,1731900,12.37,URBI.MX
