Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-10-02,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-10-03,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-10-04,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-10-05,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-10-06,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-10-09,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-10-23,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-10-24,6.05,6.05,6.05,6.05,1500,4.38,VALUEGFO.MX
2006-10-25,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-10-26,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-10-27,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-10-30,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-10-31,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-11-01,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-11-02,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-11-03,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-11-06,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-11-07,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-11-08,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-11-09,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-11-10,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-11-13,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-11-14,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-11-15,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-11-16,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-11-17,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-11-20,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-11-21,6.04,6.04,6.04,6.04,0,4.38,VALUEGFO.MX
2006-11-22,6.05,6.05,6.05,6.05,1500,4.38,VALUEGFO.MX
2006-11-23,6.05,6.05,6.05,6.05,0,4.38,VALUEGFO.MX
2006-11-24,6.05,6.05,6.05,6.05,0,4.38,VALUEGFO.MX
2006-11-27,6.05,6.05,6.05,6.05,0,4.38,VALUEGFO.MX
2006-11-28,6.05,6.05,6.05,6.05,0,4.38,VALUEGFO.MX
2006-11-29,6.05,6.05,6.05,6.05,0,4.38,VALUEGFO.MX
2006-11-30,6.05,6.05,6.05,6.05,0,4.38,VALUEGFO.MX
2006-12-01,6.05,6.05,6.05,6.05,0,4.38,VALUEGFO.MX
2006-12-04,6.05,6.05,6.05,6.05,0,4.38,VALUEGFO.MX
2006-12-05,6.05,6.05,6.05,6.05,0,4.38,VALUEGFO.MX
2006-12-06,6.05,6.05,6.05,6.05,0,4.38,VALUEGFO.MX
2006-12-07,6.05,6.05,6.05,6.05,0,4.38,VALUEGFO.MX
2006-12-08,6.05,6.05,6.05,6.05,0,4.38,VALUEGFO.MX
2006-12-11,6.05,6.05,6.05,6.05,0,4.38,VALUEGFO.MX
2006-12-12,6.05,6.05,6.05,6.05,0,4.38,VALUEGFO.MX
2006-12-13,6.05,6.05,6.05,6.05,0,4.38,VALUEGFO.MX
2006-12-14,6.05,6.05,6.05,6.05,0,4.38,VALUEGFO.MX
2006-12-15,6.05,6.05,6.05,6.05,0,4.38,VALUEGFO.MX
2006-12-18,6.05,6.05,6.05,6.05,0,4.38,VALUEGFO.MX
2006-12-19,6.05,6.05,6.05,6.05,0,4.38,VALUEGFO.MX
2006-12-20,6.48,6.48,6.48,6.48,2500000,4.69,VALUEGFO.MX
2006-12-21,6.48,6.48,6.48,6.48,0,4.69,VALUEGFO.MX
2006-12-22,6.48,6.48,6.48,6.48,4532000,4.69,VALUEGFO.MX
2006-12-25,6.48,6.48,6.48,6.48,0,4.69,VALUEGFO.MX
2006-12-26,7.0,7.0,7.0,7.0,2800000,5.07,VALUEGFO.MX
