Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2007-12-27,7.07,7.07,7.07,7.07,100,6.63,VASCONI.MX
2008-01-08,7.05,7.05,7.05,7.05,500,6.61,VASCONI.MX
2008-01-28,6.9,6.94,6.9,6.94,1500,6.51,VASCONI.MX
2008-02-13,6.94,6.94,6.94,6.94,200,6.51,VASCONI.MX
2008-02-14,6.94,7.0,6.94,7.0,5600,6.57,VASCONI.MX
2008-02-21,7.35,7.7,7.35,7.7,200,7.22,VASCONI.MX
2008-02-22,7.27,7.27,6.8,7.0,1000,6.57,VASCONI.MX
2008-03-14,6.99,6.99,6.99,6.99,300,6.56,VASCONI.MX
2008-04-03,7.0,7.0,6.3,6.3,2100,5.91,VASCONI.MX
2008-04-04,6.4,6.4,6.4,6.4,600,6.0,VASCONI.MX
2008-04-07,6.4,6.4,6.4,6.4,3600,6.0,VASCONI.MX
2008-04-08,6.1,6.4,6.1,6.4,7000,6.0,VASCONI.MX
2008-04-14,6.15,6.15,6.15,6.15,2200,5.77,VASCONI.MX
2008-04-15,6.15,6.15,6.15,6.15,300,5.77,VASCONI.MX
2008-04-18,6.46,6.5,6.1,6.5,10200,6.1,VASCONI.MX
2008-04-21,6.47,6.6,6.47,6.6,700,6.19,VASCONI.MX
2008-04-22,6.7,6.7,6.7,6.7,4300,6.28,VASCONI.MX
2008-04-23,6.65,6.65,6.1,6.1,13100,5.72,VASCONI.MX
2008-04-24,6.4,6.4,6.4,6.4,5000,6.0,VASCONI.MX
2008-04-28,6.9,6.9,6.9,6.9,10000,6.47,VASCONI.MX
2008-05-05,7.0,7.0,7.0,7.0,4100,6.57,VASCONI.MX
2008-05-06,6.8,6.8,6.7,6.7,10000,6.28,VASCONI.MX
2008-05-07,7.0,7.0,6.16,6.16,1500,5.87,VASCONI.MX
2008-05-08,6.21,6.21,6.2,6.2,2000,5.9,VASCONI.MX
2008-05-13,6.5,6.5,6.4,6.4,6000,6.09,VASCONI.MX
2008-05-15,6.5,6.5,6.3,6.3,8600,6.0,VASCONI.MX
2008-05-16,6.3,6.56,6.3,6.5,21300,6.19,VASCONI.MX
2008-05-21,6.5,6.5,6.5,6.5,5000,6.19,VASCONI.MX
2008-05-29,6.5,6.5,6.5,6.5,5000,6.19,VASCONI.MX
2008-05-30,6.96,6.96,6.96,6.96,300,6.63,VASCONI.MX
2008-06-02,6.51,6.51,6.5,6.5,6000,6.19,VASCONI.MX
2008-06-03,6.5,6.5,6.5,6.5,10000,6.19,VASCONI.MX
2008-06-05,6.25,6.4,6.25,6.4,15000,6.09,VASCONI.MX
2008-06-09,6.31,6.31,6.3,6.3,13700,6.0,VASCONI.MX
2008-06-10,6.3,6.3,6.25,6.25,20000,5.95,VASCONI.MX
2008-06-11,6.25,6.25,6.25,6.25,5000,5.95,VASCONI.MX
2008-06-12,6.4,6.4,6.25,6.3,10100,6.0,VASCONI.MX
2008-06-16,6.3,6.3,6.2,6.2,13400,5.9,VASCONI.MX
2008-06-17,6.1,6.1,6.1,6.1,3000,5.81,VASCONI.MX
2008-06-25,6.5,6.5,6.5,6.5,20000,6.19,VASCONI.MX
2008-06-26,6.5,6.5,6.5,6.5,1000,6.19,VASCONI.MX
2008-07-04,6.16,6.16,6.16,6.16,2000,5.87,VASCONI.MX
2008-07-07,6.16,6.16,6.16,6.16,10000,5.87,VASCONI.MX
2008-07-09,6.2,6.2,6.2,6.2,10000,5.9,VASCONI.MX
2008-07-28,6.3,6.52,6.15,6.5,7100,6.19,VASCONI.MX
2008-08-18,6.1,6.1,6.1,6.1,1000,5.81,VASCONI.MX
2008-08-20,6.1,6.1,6.1,6.1,5000,5.81,VASCONI.MX
2008-08-21,6.1,6.1,6.1,6.1,20000,5.81,VASCONI.MX
2008-08-22,6.1,6.1,6.1,6.1,7000,5.81,VASCONI.MX
2008-08-25,6.1,6.1,6.1,6.1,1500,5.81,VASCONI.MX
2008-08-29,6.25,6.5,6.25,6.5,22100,6.19,VASCONI.MX
2008-09-02,6.5,6.5,6.5,6.5,2000,6.19,VASCONI.MX
2008-09-19,6.05,6.05,6.05,6.05,10000,5.76,VASCONI.MX
2008-09-22,6.05,6.05,6.05,6.05,1000,5.76,VASCONI.MX
2008-09-23,6.01,6.01,6.01,6.01,4000,5.72,VASCONI.MX
2008-09-24,6.01,6.01,6.01,6.01,2000,5.72,VASCONI.MX
2008-09-25,6.01,6.01,6.01,6.01,12000,5.72,VASCONI.MX
2008-10-01,5.01,6.01,5.01,6.01,14300,5.72,VASCONI.MX
2008-10-03,5.8,6.0,5.5,5.5,7000,5.24,VASCONI.MX
2008-10-28,5.5,5.5,5.5,5.5,1100,5.24,VASCONI.MX
2008-10-31,5.59,5.59,5.59,5.59,500,5.32,VASCONI.MX
2008-11-03,5.4,5.4,5.4,5.4,1000,5.14,VASCONI.MX
2008-11-28,5.49,5.49,5.49,5.49,1000,5.23,VASCONI.MX
2008-12-09,5.29,5.3,5.02,5.02,59900,4.78,VASCONI.MX
2008-12-10,5.2,5.2,5.2,5.2,1000,4.95,VASCONI.MX
2008-12-11,5.49,5.49,5.49,5.49,20000,5.23,VASCONI.MX
2008-12-15,5.05,5.05,5.05,5.05,3000,4.81,VASCONI.MX
2008-12-16,5.2,5.2,5.2,5.2,3000,4.95,VASCONI.MX
2008-12-17,5.61,5.61,5.2,5.2,1100,4.95,VASCONI.MX
2008-12-18,5.3,5.3,5.3,5.3,2000,5.05,VASCONI.MX
2009-02-23,6.0,6.0,6.0,6.0,0,5.71,VASCONI.MX
2009-02-24,6.0,6.0,6.0,6.0,0,5.71,VASCONI.MX
2009-02-25,6.0,6.0,6.0,6.0,0,5.71,VASCONI.MX
2009-02-26,5.5,5.5,5.5,5.5,100,5.24,VASCONI.MX
2009-02-27,5.84,5.84,5.84,5.84,0,5.56,VASCONI.MX
2009-03-02,5.5,5.5,5.5,5.5,300,5.24,VASCONI.MX
2009-03-03,6.0,6.0,6.0,6.0,0,5.71,VASCONI.MX
2009-03-04,6.0,6.0,6.0,6.0,0,5.71,VASCONI.MX
2009-03-05,6.0,6.0,6.0,6.0,0,5.71,VASCONI.MX
2009-03-06,5.98,5.98,5.98,5.98,0,5.69,VASCONI.MX
2009-03-09,5.98,5.98,5.98,5.98,0,5.69,VASCONI.MX
2009-03-10,5.96,5.96,5.96,5.96,0,5.68,VASCONI.MX
2009-03-11,5.94,5.94,5.94,5.94,0,5.66,VASCONI.MX
2009-03-12,5.57,5.57,5.57,5.57,0,5.3,VASCONI.MX
2009-03-13,5.5,5.5,5.5,5.5,200,5.24,VASCONI.MX
2009-03-17,5.98,5.98,5.98,5.98,0,5.69,VASCONI.MX
2009-03-18,5.98,5.98,5.98,5.98,0,5.69,VASCONI.MX
2009-03-19,5.5,5.5,5.5,5.5,300,5.24,VASCONI.MX
2009-03-20,5.5,5.5,5.5,5.5,0,5.24,VASCONI.MX
2009-03-23,5.7,5.7,5.7,5.7,1000,5.43,VASCONI.MX
