Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-03-13,12.5,12.5,12.5,12.5,0,12.23,VITROA.MX
2000-03-21,13.06,13.06,13.06,13.06,0,12.78,VITROA.MX
2000-04-20,11.68,11.68,11.68,11.68,0,11.43,VITROA.MX
2000-04-21,11.68,11.68,11.68,11.68,0,11.43,VITROA.MX
2000-05-01,11.72,11.72,11.72,11.72,0,11.47,VITROA.MX
2000-05-05,11.7,11.7,11.7,11.7,0,11.45,VITROA.MX
2000-06-06,11.3,11.3,11.3,11.3,0,11.06,VITROA.MX
2000-08-04,11.6,11.6,10.9,10.9,0,10.67,VITROA.MX
2000-08-08,10.7,10.7,10.7,10.7,0,10.47,VITROA.MX
2000-10-05,8.28,8.28,8.28,8.28,0,8.1,VITROA.MX
2000-10-24,8.2,8.2,8.2,8.2,0,8.02,VITROA.MX
2000-11-02,8.4,8.4,8.4,8.4,0,8.22,VITROA.MX
2000-11-14,8.3,8.3,8.3,8.3,0,8.12,VITROA.MX
2000-11-20,8.7,8.7,8.7,8.7,0,8.51,VITROA.MX
2000-12-01,8.6,8.6,8.6,8.6,0,8.42,VITROA.MX
2000-12-12,8.4,8.4,8.4,8.4,0,8.22,VITROA.MX
2001-01-01,7.5,7.5,7.5,7.5,0,7.34,VITROA.MX
2001-01-29,8.67,8.67,8.24,8.24,0,8.06,VITROA.MX
2001-02-27,8.98,8.98,8.7,8.7,0,8.51,VITROA.MX
2001-03-12,10.69,10.69,10.0,10.0,0,9.79,VITROA.MX
2001-03-21,10.0,10.0,10.0,10.0,0,9.79,VITROA.MX
2001-04-12,9.01,9.01,9.01,9.01,0,8.82,VITROA.MX
2001-04-13,9.01,9.01,9.01,9.01,0,8.82,VITROA.MX
2001-05-01,9.4,9.4,9.4,9.4,0,9.2,VITROA.MX
2001-05-02,9.4,9.4,9.4,9.4,0,9.2,VITROA.MX
2001-05-09,8.6,8.6,8.6,8.6,0,8.42,VITROA.MX
2001-05-30,8.09,8.09,8.09,8.09,0,7.92,VITROA.MX
