Date,Open,High,Low,Close,Volume,Adj Close
2006-10-02,37.41,37.41,36.99,37.01,11925400,16.75
2006-10-03,37.0,37.0,36.62,36.81,19441400,16.66
2006-10-04,36.85,38.5,36.85,38.2,18433800,17.29
2006-10-05,38.12,38.4,37.79,38.21,14952800,17.29
2006-10-06,38.1,38.9,37.9,38.54,12982400,17.44
2006-10-09,38.54,38.81,38.25,38.4,13144600,17.38
2006-10-10,38.9,38.9,38.29,38.64,13469600,17.49
2006-10-11,38.61,38.61,37.8,37.95,18983600,17.17
2006-10-12,38.0,38.29,37.92,37.98,18262400,17.19
2006-10-13,37.98,38.69,37.98,38.28,19723200,17.32
2006-10-16,38.4,38.69,38.0,38.25,10917000,17.31
2006-10-17,38.2,38.2,37.55,37.85,21361000,17.13
2006-10-18,38.2,38.45,37.9,38.04,24726400,17.21
2006-10-19,38.08,38.39,37.73,38.24,16127600,17.3
2006-10-20,38.3,38.3,37.95,38.13,18767400,17.25
2006-10-23,38.13,38.4,38.0,38.35,12584600,17.35
2006-10-24,38.3,38.39,38.01,38.11,15034200,17.25
2006-10-25,38.11,38.24,37.8,38.01,15123200,17.2
2006-10-26,38.2,38.22,37.9,37.95,13839400,17.17
2006-10-27,37.86,37.9,37.0,37.06,12737000,16.77
2006-10-30,37.07,37.07,35.6,35.82,27817400,16.21
2006-10-31,36.01,37.69,36.0,37.47,28379200,16.96
2006-11-01,37.7,38.2,37.7,37.84,12952200,17.12
2006-11-02,37.84,37.84,37.84,37.84,0,17.12
2006-11-03,37.85,38.7,37.5,38.47,8712600,17.41
2006-11-06,38.45,38.9,38.3,38.73,16978800,17.53
2006-11-07,38.75,39.4,38.0,38.14,19690800,17.26
2006-11-08,38.0,39.3,38.0,39.05,13471400,17.67
2006-11-09,39.11,39.55,38.75,38.98,16480000,17.64
2006-11-10,39.0,39.2,38.65,39.05,11732000,17.67
2006-11-13,39.05,39.49,38.9,39.43,10585400,17.84
2006-11-14,39.61,39.85,39.09,39.36,24100400,17.81
2006-11-15,39.36,39.36,38.45,38.83,22438200,17.57
2006-11-16,39.03,39.15,38.2,38.48,22026400,17.41
2006-11-17,38.5,38.8,37.9,38.48,28588600,17.41
2006-11-20,38.48,38.48,38.48,38.48,0,17.41
2006-11-21,38.66,39.35,38.45,39.28,32649800,17.78
2006-11-22,39.28,39.75,39.2,39.49,23718200,17.87
2006-11-23,39.39,39.95,39.39,39.87,3072600,18.04
2006-11-24,39.85,40.48,39.55,40.38,21943400,18.27
2006-11-27,40.38,40.45,39.34,40.01,24547200,18.11
2006-11-28,39.8,40.58,39.2,40.48,14727000,18.32
