Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-18,11.8,11.9,11.8,11.9,8200,2.71,ALSEA.MX
2000-01-19,11.9,11.9,11.9,11.9,0,2.71,ALSEA.MX
2000-01-20,11.9,11.9,11.9,11.9,0,2.71,ALSEA.MX
2000-01-21,11.9,11.9,11.9,11.9,0,2.71,ALSEA.MX
2000-01-24,11.9,11.9,11.9,11.9,0,2.71,ALSEA.MX
2000-01-25,11.8,11.8,8.0,8.0,0,1.82,ALSEA.MX
2000-01-26,11.6,11.6,8.0,8.0,0,1.82,ALSEA.MX
2000-01-27,11.5,11.5,8.0,8.0,0,1.82,ALSEA.MX
2000-01-28,11.7,11.7,8.0,8.0,0,1.82,ALSEA.MX
2000-01-31,11.7,11.7,7.4,7.4,0,1.68,ALSEA.MX
2000-02-01,11.6,11.6,7.4,7.4,0,1.68,ALSEA.MX
2000-02-02,11.6,11.6,7.4,7.4,0,1.68,ALSEA.MX
2000-02-03,11.6,11.6,7.4,7.4,0,1.68,ALSEA.MX
2000-02-04,11.5,11.5,7.4,7.4,0,1.68,ALSEA.MX
2000-02-07,7.4,7.4,7.4,7.4,0,1.68,ALSEA.MX
2000-02-08,11.5,11.5,7.4,7.4,0,1.68,ALSEA.MX
2000-02-09,11.48,11.48,7.4,7.4,0,1.68,ALSEA.MX
2000-02-10,11.5,11.5,7.4,7.4,0,1.68,ALSEA.MX
2000-02-11,11.0,11.0,11.0,11.0,57400,2.5,ALSEA.MX
2000-02-14,11.0,11.0,7.3,7.3,0,1.66,ALSEA.MX
2000-02-15,10.8,10.8,7.3,7.3,0,1.66,ALSEA.MX
2000-02-16,10.8,10.8,7.3,7.3,0,1.66,ALSEA.MX
2000-02-17,10.7,10.7,7.5,7.5,0,1.71,ALSEA.MX
2000-02-18,10.78,10.78,7.3,7.3,0,1.66,ALSEA.MX
2000-02-21,10.98,10.98,7.2,7.2,0,1.64,ALSEA.MX
2000-02-22,10.96,10.96,7.2,7.2,0,1.64,ALSEA.MX
2000-02-23,10.88,10.88,7.2,7.2,0,1.64,ALSEA.MX
2000-02-24,10.88,10.88,7.2,7.2,0,1.64,ALSEA.MX
2000-02-25,10.68,10.68,7.2,7.2,0,1.64,ALSEA.MX
2000-02-28,10.86,10.86,10.0,10.0,0,2.27,ALSEA.MX
2000-02-29,10.8,10.8,7.1,7.1,0,1.61,ALSEA.MX
2000-03-01,10.0,10.0,9.98,9.98,86200,2.27,ALSEA.MX
2000-03-02,9.5,9.5,9.0,9.0,595400,2.05,ALSEA.MX
2000-03-03,9.0,9.0,9.0,9.0,143700,2.05,ALSEA.MX
2000-03-06,9.0,9.0,9.0,9.0,657000,2.05,ALSEA.MX
2000-03-07,9.0,9.0,9.0,9.0,123100,2.05,ALSEA.MX
2000-03-08,9.0,9.0,9.0,9.0,3720500,2.05,ALSEA.MX
2000-03-09,8.9,8.9,8.9,8.9,390100,2.02,ALSEA.MX
2000-03-10,8.98,9.22,8.98,9.0,689900,2.05,ALSEA.MX
2000-03-13,9.0,9.0,9.0,9.0,0,2.05,ALSEA.MX
2000-03-14,9.0,9.0,8.9,8.9,821300,2.02,ALSEA.MX
2000-03-15,9.9,9.9,8.9,8.9,0,2.02,ALSEA.MX
2000-03-16,8.9,9.9,8.9,9.9,53300,2.25,ALSEA.MX
2000-03-17,9.9,9.9,9.8,9.8,8200,2.23,ALSEA.MX
2000-03-20,9.7,9.7,7.4,7.4,0,1.68,ALSEA.MX
2000-03-21,7.4,7.4,7.4,7.4,0,1.68,ALSEA.MX
2000-03-22,9.7,9.8,9.7,9.8,176500,2.23,ALSEA.MX
2000-03-23,9.8,9.8,9.8,9.8,205300,2.23,ALSEA.MX
2000-03-24,9.8,9.8,9.04,9.04,0,2.06,ALSEA.MX
2000-03-27,9.8,9.8,9.1,9.1,0,2.07,ALSEA.MX
2000-03-28,9.8,9.8,9.8,9.8,20500,2.23,ALSEA.MX
2000-03-29,9.8,9.8,9.8,9.8,4100,2.23,ALSEA.MX
2000-03-30,9.9,9.9,9.9,9.9,57400,2.25,ALSEA.MX
2000-03-31,10.0,10.1,10.0,10.1,119000,2.3,ALSEA.MX
2000-04-03,11.0,11.0,9.8,9.8,0,2.23,ALSEA.MX
2000-04-04,9.8,9.8,9.8,9.8,32800,2.23,ALSEA.MX
2000-04-05,10.0,10.0,9.8,9.8,0,2.23,ALSEA.MX
2000-04-06,9.8,9.8,9.8,9.8,4100,2.23,ALSEA.MX
2000-04-07,11.0,11.0,9.0,9.0,0,2.05,ALSEA.MX
2000-04-10,10.5,10.5,7.1,7.1,0,1.61,ALSEA.MX
2000-04-11,10.0,10.0,7.1,7.1,0,1.61,ALSEA.MX
2000-04-12,10.5,10.5,7.1,7.1,0,1.61,ALSEA.MX
2000-04-13,10.0,10.0,10.0,10.0,8200,2.27,ALSEA.MX
2000-04-14,10.0,10.0,10.0,10.0,0,2.27,ALSEA.MX
2000-04-17,10.0,10.0,10.0,10.0,0,2.27,ALSEA.MX
2000-04-18,9.8,9.8,7.0,7.0,0,1.59,ALSEA.MX
2000-04-19,9.8,9.8,7.0,7.0,0,1.59,ALSEA.MX
2000-04-20,7.0,7.0,7.0,7.0,0,1.59,ALSEA.MX
2000-04-21,7.0,7.0,7.0,7.0,0,1.59,ALSEA.MX
2000-04-24,9.8,9.8,6.1,6.1,0,1.39,ALSEA.MX
2000-04-25,9.8,9.8,6.1,6.1,0,1.39,ALSEA.MX
2000-04-26,9.8,9.8,6.1,6.1,0,1.39,ALSEA.MX
2000-04-27,9.8,9.8,6.1,6.1,0,1.39,ALSEA.MX
2000-04-28,9.8,9.8,6.1,6.1,0,1.39,ALSEA.MX
2000-05-01,6.1,6.1,6.1,6.1,0,1.39,ALSEA.MX
2000-05-02,10.0,10.0,10.0,10.0,8200,2.27,ALSEA.MX
2000-05-03,9.5,9.5,9.5,9.5,20500,2.16,ALSEA.MX
2000-05-04,9.8,9.8,9.4,9.4,0,2.14,ALSEA.MX
2000-05-05,9.4,9.4,9.4,9.4,0,2.14,ALSEA.MX
