Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,80.85,80.85,80.1,80.1,67800,11.35,AMXA.MX
2000-01-04,76.95,76.95,74.4,74.4,111600,10.54,AMXA.MX
2000-01-05,73.05,74.4,73.05,74.4,264000,10.54,AMXA.MX
2000-01-06,74.1,75.0,74.1,75.0,48000,10.63,AMXA.MX
2000-01-07,75.3,75.3,75.3,75.3,7800,10.67,AMXA.MX
2000-01-10,79.5,82.35,79.5,82.35,99600,11.67,AMXA.MX
2000-01-11,81.75,83.1,80.4,81.0,63600,11.48,AMXA.MX
2000-01-12,81.45,81.75,81.15,81.45,487800,11.54,AMXA.MX
2000-01-13,87.0,87.0,82.5,83.55,60000,11.84,AMXA.MX
2000-01-14,83.85,84.0,83.7,84.0,487800,11.9,AMXA.MX
2000-01-17,83.85,84.15,83.85,84.15,27600,11.92,AMXA.MX
2000-01-18,83.4,84.15,83.4,84.15,132000,11.92,AMXA.MX
2000-01-19,83.1,83.1,82.2,82.2,255600,11.65,AMXA.MX
2000-01-20,81.9,81.9,80.25,80.25,207600,11.37,AMXA.MX
2000-01-21,80.85,80.85,79.8,80.1,231600,11.35,AMXA.MX
2000-01-24,81.9,81.9,78.75,79.35,72000,11.24,AMXA.MX
2000-01-25,79.35,79.35,79.2,79.2,943800,11.22,AMXA.MX
2000-01-26,79.35,80.4,79.2,79.95,16080000,11.33,AMXA.MX
2000-01-27,81.45,81.45,81.3,81.3,127800,11.52,AMXA.MX
2000-01-28,79.05,79.05,79.05,79.05,7800,11.2,AMXA.MX
2000-01-31,87.0,87.0,75.9,75.9,0,10.75,AMXA.MX
2000-02-01,39.53,39.53,39.53,39.53,96000,5.6,AMXA.MX
2000-02-02,39.53,39.82,39.0,39.82,1968000,5.64,AMXA.MX
2000-02-03,41.7,42.82,41.7,42.82,8055600,6.07,AMXA.MX
2000-02-04,43.5,45.75,43.5,45.15,99600,6.4,AMXA.MX
2000-02-07,46.72,48.3,46.72,48.3,147600,6.84,AMXA.MX
2000-02-08,48.3,51.0,47.7,47.7,151800,6.76,AMXA.MX
2000-02-09,47.7,47.7,47.7,47.7,19800,6.76,AMXA.MX
2000-02-10,47.7,47.7,47.7,47.7,60000,6.76,AMXA.MX
2000-02-11,47.7,47.7,47.7,47.7,0,6.76,AMXA.MX
2000-02-14,46.5,46.5,46.5,46.5,39600,6.59,AMXA.MX
2000-02-15,46.35,46.35,46.35,46.35,12000,6.57,AMXA.MX
2000-02-16,47.1,47.1,45.0,45.0,0,6.38,AMXA.MX
2000-02-17,47.18,47.18,47.18,47.18,63600,6.68,AMXA.MX
2000-02-18,45.9,45.9,45.9,45.9,303600,6.5,AMXA.MX
2000-02-21,45.68,45.68,45.45,45.53,2016000,6.45,AMXA.MX
2000-02-22,45.75,45.9,45.75,45.9,103800,6.5,AMXA.MX
2000-02-23,46.8,47.03,46.8,47.03,31800,6.66,AMXA.MX
2000-02-24,46.72,47.85,46.72,47.85,235800,6.78,AMXA.MX
2000-02-25,45.45,45.45,45.45,45.45,43800,6.44,AMXA.MX
2000-02-28,45.45,45.53,45.45,45.53,84000,6.45,AMXA.MX
2000-02-29,45.6,45.6,45.6,45.6,12000,6.46,AMXA.MX
2000-03-01,46.88,47.25,46.88,47.25,144000,6.69,AMXA.MX
2000-03-02,48.0,49.5,48.0,49.5,111600,7.01,AMXA.MX
2000-03-03,50.85,51.0,50.85,51.0,180000,7.23,AMXA.MX
2000-03-06,51.0,52.43,50.85,50.85,8355600,7.2,AMXA.MX
2000-03-07,51.07,52.2,51.07,52.2,403800,7.4,AMXA.MX
2000-03-08,52.05,52.2,52.05,52.2,79800,7.4,AMXA.MX
2000-03-09,52.5,52.95,52.5,52.95,24000,7.5,AMXA.MX
2000-03-10,51.75,52.2,51.3,51.3,168000,7.27,AMXA.MX
2000-03-13,51.3,51.3,51.3,51.3,0,7.27,AMXA.MX
2000-03-14,51.3,51.3,51.3,51.3,0,7.27,AMXA.MX
2000-03-15,47.25,48.15,47.25,48.15,135600,6.82,AMXA.MX
2000-03-16,49.05,49.05,49.05,49.05,207600,6.95,AMXA.MX
2000-03-17,49.35,49.5,48.98,49.05,135600,6.95,AMXA.MX
2000-03-20,49.5,54.0,49.5,54.0,708000,7.65,AMXA.MX
2000-03-21,54.0,54.0,54.0,54.0,0,7.65,AMXA.MX
2000-03-22,49.95,49.95,49.2,49.5,3235800,7.01,AMXA.MX
2000-03-23,49.2,49.8,49.2,49.8,111600,7.06,AMXA.MX
2000-03-24,50.85,51.45,50.85,51.0,303600,7.23,AMXA.MX
2000-03-27,52.8,52.8,52.2,52.5,231600,7.44,AMXA.MX
2000-03-28,51.75,51.75,51.75,51.75,19800,7.33,AMXA.MX
2000-03-29,49.65,49.8,49.65,49.8,283800,7.06,AMXA.MX
2000-03-30,48.0,48.0,48.0,48.0,12000,6.8,AMXA.MX
2000-03-31,48.0,48.0,47.25,47.25,0,6.69,AMXA.MX
2000-04-03,45.15,45.75,45.15,45.75,103800,6.48,AMXA.MX
2000-04-04,42.07,42.07,42.07,42.07,247800,5.96,AMXA.MX
2000-04-05,43.95,43.95,43.95,43.95,27600,6.23,AMXA.MX
2000-04-06,44.4,45.3,44.4,45.3,55800,6.42,AMXA.MX
2000-04-07,47.55,47.55,46.95,47.25,492000,6.69,AMXA.MX
2000-04-10,47.1,47.1,45.15,45.15,0,6.4,AMXA.MX
2000-04-11,46.2,46.2,45.0,45.0,12000,6.38,AMXA.MX
2000-04-12,45.0,45.0,43.2,43.2,0,6.12,AMXA.MX
2000-04-13,43.2,43.2,43.2,43.2,3600,6.12,AMXA.MX
2000-04-14,40.95,40.95,40.95,40.95,7800,5.8,AMXA.MX
2000-04-17,40.05,40.05,37.95,39.15,627600,5.55,AMXA.MX
2000-04-18,39.15,40.95,39.15,40.95,43800,5.8,AMXA.MX
2000-04-19,40.95,41.1,40.35,41.1,115800,5.82,AMXA.MX
2000-04-20,41.1,41.1,41.1,41.1,0,5.82,AMXA.MX
2000-04-21,41.1,41.1,41.1,41.1,0,5.82,AMXA.MX
2000-04-24,39.68,39.68,39.53,39.53,259800,5.6,AMXA.MX
2000-04-25,39.9,40.5,39.9,40.5,156000,5.74,AMXA.MX
2000-04-26,42.75,44.1,41.85,41.85,675600,5.93,AMXA.MX
2000-04-27,43.35,43.5,42.6,42.6,55800,6.04,AMXA.MX
2000-04-28,42.0,42.0,42.0,42.0,3600,5.95,AMXA.MX
2000-05-01,42.0,42.0,42.0,42.0,0,5.95,AMXA.MX
2000-05-02,42.3,42.45,42.15,42.15,168000,5.97,AMXA.MX
2000-05-03,42.0,42.0,39.0,39.0,0,5.53,AMXA.MX
2000-05-04,39.9,39.9,39.9,39.9,12000,5.65,AMXA.MX
2000-05-05,39.9,39.9,39.9,39.9,0,5.65,AMXA.MX
2000-05-08,39.3,39.3,38.25,38.7,147600,5.48,AMXA.MX
2000-05-09,38.03,38.7,37.8,38.7,267600,5.48,AMXA.MX
2000-05-10,37.05,37.2,36.82,36.82,471600,5.22,AMXA.MX
2000-05-11,37.5,37.57,36.6,36.6,408000,5.19,AMXA.MX
2000-05-12,37.95,38.25,37.95,38.03,135600,5.39,AMXA.MX
2000-05-15,38.03,38.03,38.03,38.03,0,5.39,AMXA.MX
2000-05-16,38.7,39.45,38.7,39.45,943800,5.59,AMXA.MX
2000-05-17,37.5,37.5,37.5,37.5,3600,5.31,AMXA.MX
2000-05-18,37.5,37.5,37.12,37.2,111600,5.27,AMXA.MX
2000-05-19,35.1,35.1,35.1,35.1,999600,4.97,AMXA.MX
2000-05-22,33.82,33.82,33.82,33.82,12000,4.79,AMXA.MX
2000-05-23,33.45,33.45,32.25,32.25,79800,4.57,AMXA.MX
2000-05-24,32.55,34.5,32.55,34.5,67800,4.89,AMXA.MX
2000-05-25,34.5,35.25,33.9,33.9,507600,4.8,AMXA.MX
2000-05-26,32.7,32.7,32.7,32.7,3600,4.63,AMXA.MX
2000-05-29,32.7,32.7,32.7,32.7,0,4.63,AMXA.MX
2000-05-30,33.38,34.95,33.38,34.95,55800,4.95,AMXA.MX
2000-05-31,34.5,34.88,34.35,34.88,411600,4.94,AMXA.MX
2000-06-01,35.18,36.45,35.18,36.45,111600,5.16,AMXA.MX
2000-06-02,39.45,40.5,39.45,40.5,571800,5.74,AMXA.MX
2000-06-05,40.5,40.57,40.5,40.5,787800,5.74,AMXA.MX
2000-06-06,40.5,40.5,40.5,40.5,0,5.74,AMXA.MX
2000-06-07,36.6,36.6,36.6,36.6,7800,5.19,AMXA.MX
2000-06-08,37.43,37.43,37.43,37.43,3600,5.3,AMXA.MX
2000-06-09,38.78,39.0,38.62,39.0,327600,5.53,AMXA.MX
2000-06-12,38.32,38.62,38.32,38.62,216000,5.47,AMXA.MX
2000-06-13,38.85,39.3,38.85,39.07,60000,5.54,AMXA.MX
2000-06-14,39.6,40.8,39.6,40.8,492000,5.78,AMXA.MX
2000-06-15,40.35,40.8,40.35,40.8,144000,5.78,AMXA.MX
2000-06-16,40.8,40.8,40.8,40.8,0,5.78,AMXA.MX
2000-06-19,38.78,39.75,35.25,35.25,1003800,4.99,AMXA.MX
2000-06-20,39.75,39.9,39.75,39.75,151800,5.63,AMXA.MX
