Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2002-04-11,15.2,15.2,15.2,15.2,20000,15.2,CABLECPO.MX
2002-04-12,14.75,15.2,14.7,14.71,605100,14.71,CABLECPO.MX
2002-04-15,15.0,15.0,14.8,14.8,0,14.8,CABLECPO.MX
2002-04-16,14.8,14.8,14.8,14.8,437100,14.8,CABLECPO.MX
2002-04-17,14.95,14.95,14.9,14.9,0,14.9,CABLECPO.MX
2002-04-18,14.8,14.8,14.8,14.8,144000,14.8,CABLECPO.MX
2002-04-19,14.9,14.9,14.9,14.9,8900,14.9,CABLECPO.MX
2002-04-22,15.0,15.0,14.9,14.9,0,14.9,CABLECPO.MX
2002-04-23,15.0,15.0,15.0,15.0,20000,15.0,CABLECPO.MX
2002-04-24,14.99,14.99,14.99,14.99,15000,14.99,CABLECPO.MX
2002-04-25,14.9,14.9,14.9,14.9,51600,14.9,CABLECPO.MX
2002-04-26,14.92,14.92,14.9,14.9,0,14.9,CABLECPO.MX
2002-04-29,14.9,14.9,14.9,14.9,13400,14.9,CABLECPO.MX
2002-04-30,14.88,14.88,14.88,14.88,128000,14.88,CABLECPO.MX
2002-05-02,14.9,14.9,14.85,14.85,132500,14.85,CABLECPO.MX
2002-05-03,15.0,15.0,14.8,14.8,0,14.8,CABLECPO.MX
2002-05-06,14.8,14.8,14.8,14.8,66900,14.8,CABLECPO.MX
2002-05-07,14.95,14.95,14.6,14.6,0,14.6,CABLECPO.MX
2002-05-08,14.95,14.95,14.7,14.7,0,14.7,CABLECPO.MX
2002-05-09,14.7,14.7,14.7,14.7,34000,14.7,CABLECPO.MX
2002-05-10,15.0,15.0,14.7,14.7,0,14.7,CABLECPO.MX
2002-05-13,14.7,14.7,14.7,14.7,20000,14.7,CABLECPO.MX
2002-05-14,14.7,14.7,14.7,14.7,3000,14.7,CABLECPO.MX
2002-05-15,14.7,14.7,14.7,14.7,15000,14.7,CABLECPO.MX
2002-05-16,14.95,14.95,14.7,14.7,0,14.7,CABLECPO.MX
2002-05-17,14.95,14.95,14.7,14.7,0,14.7,CABLECPO.MX
2002-05-20,14.7,14.7,14.7,14.7,21000,14.7,CABLECPO.MX
2002-05-21,14.7,14.7,14.7,14.7,20000,14.7,CABLECPO.MX
2002-05-22,14.7,14.7,14.6,14.6,0,14.6,CABLECPO.MX
2002-05-23,14.95,14.95,14.6,14.6,0,14.6,CABLECPO.MX
2002-05-24,14.95,14.95,14.6,14.6,0,14.6,CABLECPO.MX
2002-05-27,14.95,14.95,14.6,14.6,0,14.6,CABLECPO.MX
2002-05-28,14.95,14.95,14.6,14.6,0,14.6,CABLECPO.MX
2002-05-29,14.95,14.95,14.6,14.6,0,14.6,CABLECPO.MX
2002-05-30,14.95,14.95,14.6,14.6,0,14.6,CABLECPO.MX
2002-06-03,14.75,14.75,14.75,14.75,18000,14.75,CABLECPO.MX
2002-06-04,14.7,14.7,14.7,14.7,12000,14.7,CABLECPO.MX
2002-06-05,14.7,14.7,14.65,14.65,0,14.65,CABLECPO.MX
2002-06-06,14.65,14.65,14.5,14.5,34000,14.5,CABLECPO.MX
2002-06-07,14.5,14.5,14.5,14.5,80000,14.5,CABLECPO.MX
2002-06-10,14.65,14.65,14.5,14.5,0,14.5,CABLECPO.MX
2002-06-11,14.65,14.65,14.5,14.5,0,14.5,CABLECPO.MX
2002-06-12,14.65,14.65,14.5,14.5,0,14.5,CABLECPO.MX
2002-06-13,14.65,14.65,14.3,14.3,0,14.3,CABLECPO.MX
2002-06-14,14.5,14.5,14.3,14.3,0,14.3,CABLECPO.MX
2002-06-17,14.45,14.45,14.3,14.3,0,14.3,CABLECPO.MX
2002-06-18,14.45,14.45,14.3,14.3,0,14.3,CABLECPO.MX
2002-06-19,14.3,14.3,14.3,14.3,4000,14.3,CABLECPO.MX
2002-06-20,14.5,14.5,14.4,14.4,0,14.4,CABLECPO.MX
2002-06-21,14.5,14.5,14.3,14.3,0,14.3,CABLECPO.MX
2002-06-24,14.5,14.5,14.0,14.0,0,14.0,CABLECPO.MX
2002-06-25,14.3,14.3,14.3,14.3,5000,14.3,CABLECPO.MX
2002-07-02,14.5,14.5,9.8,9.8,0,9.8,CABLECPO.MX
2002-07-03,14.5,14.5,14.2,14.2,0,14.2,CABLECPO.MX
2002-07-04,14.2,14.2,14.2,14.2,12000,14.2,CABLECPO.MX
2002-07-05,14.2,14.2,14.2,14.2,1500,14.2,CABLECPO.MX
2002-07-08,14.5,14.5,10.0,10.0,0,10.0,CABLECPO.MX
2002-07-09,14.0,14.0,14.0,14.0,20000,14.0,CABLECPO.MX
2002-07-10,14.0,14.0,13.8,13.8,0,13.8,CABLECPO.MX
2002-07-11,14.0,14.0,14.0,14.0,203300,14.0,CABLECPO.MX
2002-07-12,14.5,14.5,14.5,14.5,4000,14.5,CABLECPO.MX
2002-07-15,14.5,14.5,14.2,14.2,0,14.2,CABLECPO.MX
2002-07-16,14.5,14.5,14.2,14.2,0,14.2,CABLECPO.MX
2002-07-17,14.5,14.5,14.2,14.2,0,14.2,CABLECPO.MX
2002-07-18,14.5,14.5,14.2,14.2,0,14.2,CABLECPO.MX
2002-07-19,14.5,14.5,14.2,14.2,0,14.2,CABLECPO.MX
2002-07-22,14.5,14.5,14.2,14.2,0,14.2,CABLECPO.MX
2002-07-23,14.5,14.5,8.9,8.9,0,8.9,CABLECPO.MX
2002-07-24,14.49,14.49,8.9,8.9,0,8.9,CABLECPO.MX
2002-07-25,14.5,14.5,8.9,8.9,0,8.9,CABLECPO.MX
2002-07-29,14.3,14.3,14.0,14.0,0,14.0,CABLECPO.MX
2002-07-30,14.0,14.0,14.0,14.0,20500,14.0,CABLECPO.MX
2002-07-31,14.5,14.5,14.0,14.0,0,14.0,CABLECPO.MX
2002-08-01,14.5,14.5,14.0,14.0,0,14.0,CABLECPO.MX
2002-08-02,14.5,14.5,14.0,14.0,0,14.0,CABLECPO.MX
2002-08-05,14.5,14.5,14.0,14.0,0,14.0,CABLECPO.MX
2002-08-06,14.0,14.0,14.0,14.0,70000,14.0,CABLECPO.MX
2002-08-07,14.0,14.0,13.8,13.8,0,13.8,CABLECPO.MX
2002-08-08,13.8,13.8,13.8,13.8,60000,13.8,CABLECPO.MX
2002-08-09,13.8,13.8,13.8,13.8,60000,13.8,CABLECPO.MX
2002-08-12,14.0,14.0,13.7,13.7,0,13.7,CABLECPO.MX
2002-08-13,13.8,13.8,13.7,13.7,0,13.7,CABLECPO.MX
2002-08-14,14.0,14.0,13.7,13.7,0,13.7,CABLECPO.MX
2002-08-15,13.8,13.8,13.7,13.7,0,13.7,CABLECPO.MX
2002-08-16,14.0,14.0,13.7,13.7,0,13.7,CABLECPO.MX
