Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2007-12-18,18.0,20.7,17.99,20.7,16200,20.7,COLLADO.MX
2007-12-19,20.8,20.8,20.8,20.8,0,20.8,COLLADO.MX
2007-12-20,20.7,20.7,17.0,17.0,0,17.0,COLLADO.MX
2007-12-21,20.7,20.7,16.5,16.5,0,16.5,COLLADO.MX
2007-12-24,20.98,20.98,20.98,20.98,0,20.98,COLLADO.MX
2007-12-25,20.98,20.98,20.98,20.98,0,20.98,COLLADO.MX
2007-12-26,20.7,20.7,17.0,17.0,0,17.0,COLLADO.MX
2007-12-27,20.7,20.7,16.8,16.8,0,16.8,COLLADO.MX
2007-12-28,20.8,20.8,16.5,16.5,0,16.5,COLLADO.MX
2007-12-31,20.98,20.98,16.5,16.5,0,16.5,COLLADO.MX
2008-01-01,16.5,16.5,16.5,16.5,0,16.5,COLLADO.MX
2008-01-02,20.7,20.7,16.3,16.3,0,16.3,COLLADO.MX
2008-01-03,20.7,20.7,20.7,20.7,0,20.7,COLLADO.MX
2008-01-04,20.7,20.7,16.0,16.0,0,16.0,COLLADO.MX
2008-01-07,20.7,20.7,16.0,16.0,0,16.0,COLLADO.MX
2008-01-08,20.7,20.7,20.7,20.7,1300,20.7,COLLADO.MX
2008-01-09,20.7,20.7,20.7,20.7,0,20.7,COLLADO.MX
2008-01-10,20.68,20.68,20.68,20.68,0,20.68,COLLADO.MX
2008-01-11,20.68,20.68,16.5,16.5,0,16.5,COLLADO.MX
2008-01-14,20.68,20.68,16.5,16.5,0,16.5,COLLADO.MX
2008-01-15,20.68,20.68,16.0,16.0,0,16.0,COLLADO.MX
2008-01-16,20.68,20.68,16.0,16.0,0,16.0,COLLADO.MX
2008-01-17,20.68,20.68,16.0,16.0,0,16.0,COLLADO.MX
2008-01-18,20.68,20.68,16.0,16.0,0,16.0,COLLADO.MX
2008-01-21,20.68,20.68,20.68,20.68,0,20.68,COLLADO.MX
2008-01-22,20.68,20.68,15.0,15.0,0,15.0,COLLADO.MX
2008-01-23,20.68,20.68,20.68,20.68,0,20.68,COLLADO.MX
2008-01-24,20.69,20.69,20.69,20.69,0,20.69,COLLADO.MX
2008-01-25,20.68,20.68,20.68,20.68,0,20.68,COLLADO.MX
2008-01-28,20.69,20.69,15.0,15.0,0,15.0,COLLADO.MX
2008-01-29,20.68,20.68,20.68,20.68,0,20.68,COLLADO.MX
2008-01-30,20.68,20.68,20.68,20.68,0,20.68,COLLADO.MX
2008-01-31,20.68,20.68,20.68,20.68,0,20.68,COLLADO.MX
2008-02-01,20.68,20.68,20.68,20.68,0,20.68,COLLADO.MX
2008-02-04,20.68,20.68,20.68,20.68,0,20.68,COLLADO.MX
2008-02-05,20.68,20.68,20.68,20.68,0,20.68,COLLADO.MX
2008-02-06,20.68,20.68,20.68,20.68,0,20.68,COLLADO.MX
2008-02-07,20.68,20.68,20.68,20.68,0,20.68,COLLADO.MX
2008-02-08,20.68,20.68,20.68,20.68,0,20.68,COLLADO.MX
2008-02-11,20.68,20.68,20.68,20.68,0,20.68,COLLADO.MX
2008-02-12,20.68,20.68,16.0,16.0,0,16.0,COLLADO.MX
2008-02-13,20.68,20.68,16.0,16.0,0,16.0,COLLADO.MX
2008-02-14,20.68,20.68,16.0,16.0,0,16.0,COLLADO.MX
2008-02-15,20.68,20.68,16.0,16.0,0,16.0,COLLADO.MX
2008-02-18,20.68,20.68,16.0,16.0,0,16.0,COLLADO.MX
2008-02-19,20.68,20.68,15.0,15.0,0,15.0,COLLADO.MX
2008-02-20,20.68,20.68,20.68,20.68,0,20.68,COLLADO.MX
2008-02-21,20.68,20.68,20.68,20.68,0,20.68,COLLADO.MX
2008-02-22,20.68,20.68,20.68,20.68,0,20.68,COLLADO.MX
2008-02-25,20.68,20.68,20.68,20.68,0,20.68,COLLADO.MX
2008-02-26,20.68,20.68,20.68,20.68,0,20.68,COLLADO.MX
2008-02-27,20.59,20.59,15.0,15.0,0,15.0,COLLADO.MX
2008-02-28,19.9,19.9,15.0,15.0,0,15.0,COLLADO.MX
2008-02-29,19.89,19.89,19.89,19.89,0,19.89,COLLADO.MX
2008-03-03,19.89,19.89,19.89,19.89,0,19.89,COLLADO.MX
2008-03-04,19.89,19.89,19.89,19.89,0,19.89,COLLADO.MX
2008-03-05,19.89,19.89,19.89,19.89,0,19.89,COLLADO.MX
2008-03-06,19.89,19.89,19.89,19.89,0,19.89,COLLADO.MX
2008-03-07,19.89,19.89,19.89,19.89,0,19.89,COLLADO.MX
2008-03-10,19.88,19.88,19.88,19.88,0,19.88,COLLADO.MX
2008-03-11,19.88,19.88,19.88,19.88,0,19.88,COLLADO.MX
