Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,108.0,110.8,102.0,105.6,0,103.39,ELEKTRA.MX
2000-01-04,100.0,100.0,92.0,98.0,0,95.95,ELEKTRA.MX
2000-01-05,92.0,100.0,92.0,100.0,0,97.9,ELEKTRA.MX
2000-01-06,100.0,100.0,96.0,98.0,0,95.95,ELEKTRA.MX
2000-01-07,98.0,106.0,98.0,105.2,0,102.99,ELEKTRA.MX
2000-01-10,105.2,110.0,102.8,102.8,0,100.64,ELEKTRA.MX
2000-01-11,102.8,102.8,97.0,100.0,0,97.9,ELEKTRA.MX
2000-01-12,97.2,101.2,97.2,99.8,0,97.71,ELEKTRA.MX
2000-01-13,101.2,101.2,98.0,99.2,0,97.12,ELEKTRA.MX
2000-01-14,100.0,102.8,96.4,102.8,0,100.64,ELEKTRA.MX
2000-01-17,102.0,102.0,100.0,102.0,0,99.86,ELEKTRA.MX
2000-01-18,100.0,102.0,98.0,98.0,0,95.95,ELEKTRA.MX
2000-01-19,98.0,102.8,98.0,100.4,0,98.3,ELEKTRA.MX
2000-01-20,102.0,102.0,98.0,98.0,0,95.95,ELEKTRA.MX
2000-01-21,98.0,98.0,96.4,98.0,0,95.95,ELEKTRA.MX
2000-01-24,100.0,100.0,94.8,96.0,0,93.99,ELEKTRA.MX
2000-01-25,96.0,96.0,94.4,94.8,0,92.81,ELEKTRA.MX
2000-01-26,96.8,96.8,94.0,94.0,0,92.03,ELEKTRA.MX
2000-01-27,93.2,96.0,86.0,86.0,0,84.2,ELEKTRA.MX
2000-01-28,84.8,88.0,84.0,88.0,0,86.16,ELEKTRA.MX
2000-01-31,86.0,87.4,84.0,87.4,0,85.57,ELEKTRA.MX
2000-02-01,86.0,89.2,85.0,89.2,0,87.33,ELEKTRA.MX
2000-02-02,90.0,92.8,89.2,89.2,0,87.33,ELEKTRA.MX
2000-02-03,92.0,92.2,86.2,90.0,0,88.11,ELEKTRA.MX
2000-02-04,87.6,87.6,84.4,84.4,0,82.63,ELEKTRA.MX
2000-02-07,85.2,85.4,80.0,80.0,0,78.32,ELEKTRA.MX
2000-02-08,80.2,80.2,77.6,77.6,0,75.97,ELEKTRA.MX
2000-02-09,76.0,78.0,74.0,74.0,0,72.45,ELEKTRA.MX
2000-02-10,72.0,80.0,72.0,80.0,0,78.32,ELEKTRA.MX
2000-02-11,82.0,82.8,76.0,80.0,0,78.32,ELEKTRA.MX
2000-02-14,80.0,80.0,78.0,80.0,0,78.32,ELEKTRA.MX
2000-02-15,80.0,84.0,78.0,84.0,0,82.24,ELEKTRA.MX
2000-02-16,83.4,85.0,82.0,85.0,0,83.22,ELEKTRA.MX
2000-02-17,83.4,83.6,82.0,83.0,0,81.26,ELEKTRA.MX
2000-02-18,80.0,80.0,76.0,77.0,0,75.39,ELEKTRA.MX
2000-02-21,78.0,78.0,78.0,78.0,0,76.36,ELEKTRA.MX
2000-02-22,77.0,78.0,72.0,74.0,0,72.45,ELEKTRA.MX
2000-02-23,72.0,76.2,72.0,76.0,0,74.41,ELEKTRA.MX
2000-02-24,76.0,77.2,75.6,76.8,0,75.19,ELEKTRA.MX
2000-02-25,76.4,77.2,76.4,77.2,0,75.58,ELEKTRA.MX
2000-02-28,77.0,78.0,76.6,77.4,0,75.78,ELEKTRA.MX
2000-02-29,77.4,78.4,76.6,78.4,0,76.76,ELEKTRA.MX
2000-03-01,80.0,80.0,77.4,77.8,0,76.17,ELEKTRA.MX
