Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,42.35,42.6,41.0,41.25,2202000,12.78,FEMSAUBD.MX
2000-01-04,40.9,40.9,38.6,38.7,4686000,11.99,FEMSAUBD.MX
2000-01-05,38.75,39.5,37.4,39.4,9747000,12.21,FEMSAUBD.MX
2000-01-06,39.45,39.5,39.0,39.15,2571000,12.13,FEMSAUBD.MX
2000-01-07,39.5,41.9,39.5,41.8,2907000,12.95,FEMSAUBD.MX
2000-01-10,41.8,44.7,41.8,44.3,6576000,13.73,FEMSAUBD.MX
2000-01-11,44.05,44.35,42.1,42.1,3141000,13.05,FEMSAUBD.MX
2000-01-12,42.5,42.6,42.0,42.25,1929000,13.09,FEMSAUBD.MX
2000-01-13,43.0,43.8,42.75,43.6,5070000,13.51,FEMSAUBD.MX
2000-01-14,44.0,45.0,44.0,45.0,2016000,13.95,FEMSAUBD.MX
2000-01-17,45.0,45.7,45.0,45.55,564000,14.12,FEMSAUBD.MX
2000-01-18,45.5,45.5,44.4,44.4,2091000,13.76,FEMSAUBD.MX
2000-01-19,44.35,44.5,42.3,42.35,3756000,13.12,FEMSAUBD.MX
2000-01-20,42.55,42.55,41.0,41.55,3099000,12.88,FEMSAUBD.MX
2000-01-21,41.55,41.55,40.2,40.2,3936000,12.46,FEMSAUBD.MX
2000-01-24,40.7,41.5,40.0,40.25,13671000,12.47,FEMSAUBD.MX
2000-01-25,41.0,41.0,39.5,40.2,8607000,12.46,FEMSAUBD.MX
2000-01-26,41.0,41.5,40.45,40.55,3120000,12.57,FEMSAUBD.MX
2000-01-27,41.0,42.4,41.0,42.4,8061000,13.14,FEMSAUBD.MX
2000-01-28,42.1,42.1,40.8,40.8,3594000,12.64,FEMSAUBD.MX
2000-01-31,40.7,40.7,39.2,39.3,4140000,12.18,FEMSAUBD.MX
2000-02-01,39.4,40.4,39.4,39.75,7974000,12.32,FEMSAUBD.MX
2000-02-02,39.9,40.5,39.9,39.9,5040000,12.37,FEMSAUBD.MX
2000-02-03,40.3,42.0,40.3,40.95,7089000,12.69,FEMSAUBD.MX
2000-02-04,40.85,42.5,40.85,42.1,8952000,13.05,FEMSAUBD.MX
2000-02-07,42.5,44.95,42.5,44.7,8046000,13.85,FEMSAUBD.MX
2000-02-08,45.0,45.8,43.8,45.0,7569000,13.95,FEMSAUBD.MX
2000-02-09,44.95,46.25,44.8,46.0,7638000,14.26,FEMSAUBD.MX
2000-02-10,46.4,47.3,46.1,47.15,5847000,14.61,FEMSAUBD.MX
2000-02-11,47.2,47.25,46.3,47.0,5091000,14.57,FEMSAUBD.MX
2000-02-14,46.55,46.7,45.25,46.0,4299000,14.26,FEMSAUBD.MX
2000-02-15,46.0,46.0,44.65,44.8,9282000,13.88,FEMSAUBD.MX
2000-02-16,44.95,44.95,44.4,44.7,4671000,13.85,FEMSAUBD.MX
2000-02-17,45.0,45.0,42.75,42.8,2925000,13.26,FEMSAUBD.MX
2000-02-18,42.85,42.85,40.0,40.6,5697000,12.58,FEMSAUBD.MX
2000-02-21,40.6,41.2,40.6,41.2,705000,12.77,FEMSAUBD.MX
2000-02-22,41.0,41.0,39.15,39.4,4719000,12.21,FEMSAUBD.MX
2000-02-23,39.45,41.25,39.0,40.8,5823000,12.64,FEMSAUBD.MX
2000-02-24,42.0,42.0,40.6,41.2,4719000,12.77,FEMSAUBD.MX
2000-02-25,41.05,41.4,40.8,41.0,2340000,12.71,FEMSAUBD.MX
2000-02-28,41.1,41.2,40.7,41.0,1551000,12.71,FEMSAUBD.MX
2000-02-29,41.3,41.9,41.15,41.7,1656000,12.92,FEMSAUBD.MX
2000-03-01,42.5,44.55,41.9,44.5,4566000,13.79,FEMSAUBD.MX
