Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-03-13,19.31,19.31,19.31,19.31,0,5.87,GCARSOA1.MX
2000-03-21,18.38,18.38,18.38,18.38,0,5.59,GCARSOA1.MX
2000-04-20,16.18,16.18,16.18,16.18,0,4.92,GCARSOA1.MX
2000-04-21,16.18,16.18,16.18,16.18,0,4.92,GCARSOA1.MX
2000-05-01,15.64,15.64,15.64,15.64,0,4.76,GCARSOA1.MX
2000-05-05,15.72,15.72,15.72,15.72,0,4.78,GCARSOA1.MX
2000-06-06,15.23,15.23,15.23,15.23,0,4.63,GCARSOA1.MX
2000-08-08,16.04,16.04,16.04,16.04,0,4.88,GCARSOA1.MX
2000-10-05,13.69,13.69,13.69,13.69,0,4.16,GCARSOA1.MX
2000-10-24,13.59,13.59,13.59,13.59,0,4.13,GCARSOA1.MX
2000-11-02,14.67,14.67,14.67,14.67,0,4.46,GCARSOA1.MX
2000-11-14,14.2,14.2,14.2,14.2,0,4.32,GCARSOA1.MX
2000-11-20,15.18,15.18,15.18,15.18,0,4.62,GCARSOA1.MX
2000-12-01,12.39,12.39,12.39,12.39,0,3.77,GCARSOA1.MX
2000-12-12,11.1,11.1,11.1,11.1,0,3.37,GCARSOA1.MX
2001-01-01,11.64,11.64,11.64,11.64,0,3.54,GCARSOA1.MX
2001-03-21,10.85,10.85,10.85,10.85,0,3.3,GCARSOA1.MX
2001-04-12,11.2,11.2,11.2,11.2,0,3.4,GCARSOA1.MX
2001-04-13,11.2,11.2,11.2,11.2,0,3.4,GCARSOA1.MX
2001-05-01,11.17,11.17,11.17,11.17,0,3.4,GCARSOA1.MX
2001-05-02,11.17,11.17,11.17,11.17,0,3.4,GCARSOA1.MX
2001-05-09,11.0,11.0,11.0,11.0,0,3.34,GCARSOA1.MX
2001-05-30,12.47,12.47,12.47,12.47,0,3.79,GCARSOA1.MX
2001-07-04,13.64,13.64,13.64,13.64,0,4.15,GCARSOA1.MX
2001-09-12,11.98,11.98,11.98,11.98,0,3.64,GCARSOA1.MX
2001-09-13,11.98,11.98,11.98,11.98,0,3.64,GCARSOA1.MX
2001-09-14,11.98,11.98,11.98,11.98,0,3.64,GCARSOA1.MX
2001-09-24,10.56,10.56,10.56,10.56,0,3.21,GCARSOA1.MX
2001-10-12,11.49,11.49,11.49,11.49,0,3.49,GCARSOA1.MX
2001-11-20,12.8,12.8,12.8,12.8,0,3.89,GCARSOA1.MX
2001-12-12,14.03,14.03,14.03,14.03,0,4.26,GCARSOA1.MX
2001-12-25,14.13,14.13,14.13,14.13,0,4.3,GCARSOA1.MX
2002-01-01,14.93,14.93,14.93,14.93,0,4.54,GCARSOA1.MX
2002-02-05,17.4,17.4,17.4,17.4,0,5.29,GCARSOA1.MX
2002-02-28,16.06,16.06,16.06,16.06,0,4.88,GCARSOA1.MX
2002-03-21,18.21,18.21,18.21,18.21,0,5.54,GCARSOA1.MX
2002-03-28,17.7,17.7,17.7,17.7,0,5.38,GCARSOA1.MX
2002-03-29,17.7,17.7,17.7,17.7,0,5.38,GCARSOA1.MX
2002-05-01,16.82,16.82,16.82,16.82,0,5.11,GCARSOA1.MX
2002-09-16,12.79,12.79,12.79,12.79,0,3.89,GCARSOA1.MX
2002-11-20,11.89,11.89,11.89,11.89,0,3.61,GCARSOA1.MX
2002-12-12,12.56,12.56,12.56,12.56,0,3.82,GCARSOA1.MX
2002-12-25,12.37,12.37,12.37,12.37,0,3.76,GCARSOA1.MX
2003-01-01,12.52,12.52,12.52,12.52,0,3.81,GCARSOA1.MX
2003-01-15,12.93,12.93,12.91,12.93,1705800,3.93,GCARSOA1.MX
2003-02-05,11.88,11.88,11.88,11.88,0,3.61,GCARSOA1.MX
2003-03-21,12.47,12.47,12.47,12.47,0,3.79,GCARSOA1.MX
2003-04-17,14.08,14.08,14.08,14.08,0,4.28,GCARSOA1.MX
2003-04-18,14.08,14.08,14.08,14.08,0,4.28,GCARSOA1.MX
2003-05-01,14.38,14.38,14.38,14.38,0,4.37,GCARSOA1.MX
2003-09-16,16.08,16.08,16.08,16.08,0,4.89,GCARSOA1.MX
2003-11-20,18.07,18.07,18.07,18.07,0,5.49,GCARSOA1.MX
2003-12-12,18.97,18.97,18.97,18.97,0,5.77,GCARSOA1.MX
2003-12-25,18.94,18.94,18.94,18.94,0,5.76,GCARSOA1.MX
2004-01-01,19.31,19.31,19.31,19.31,0,5.87,GCARSOA1.MX
2004-02-05,22.52,22.52,22.52,22.52,0,6.85,GCARSOA1.MX
2004-04-08,22.49,22.49,22.49,22.49,0,6.84,GCARSOA1.MX
2004-04-09,22.49,22.49,22.49,22.49,0,6.84,GCARSOA1.MX
2004-04-23,22.0,22.0,22.0,22.0,0,6.69,GCARSOA1.MX
2004-09-16,25.52,25.52,25.52,25.52,0,7.76,GCARSOA1.MX
2004-11-18,28.06,28.06,28.06,28.06,1356700,8.53,GCARSOA1.MX
2005-03-21,28.32,28.32,28.32,28.32,0,8.61,GCARSOA1.MX
2005-03-24,27.91,27.91,27.91,27.91,0,8.49,GCARSOA1.MX
2005-03-25,27.91,27.91,27.91,27.91,0,8.49,GCARSOA1.MX
2005-09-16,10.88,10.88,10.88,10.88,0,9.93,GCARSOA1.MX
2005-12-12,12.33,12.33,12.33,12.33,0,11.25,GCARSOA1.MX
2006-02-06,13.62,13.62,13.62,13.62,0,12.42,GCARSOA1.MX
