Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-03-21,27.1,27.1,27.1,27.1,0,27.1,GEOB.MX
2000-04-20,20.9,20.9,20.9,20.9,0,20.9,GEOB.MX
2000-04-21,20.9,20.9,20.9,20.9,0,20.9,GEOB.MX
2000-05-01,21.6,21.6,21.6,21.6,0,21.6,GEOB.MX
2000-05-05,20.3,20.3,20.3,20.3,0,20.3,GEOB.MX
2000-06-06,17.24,17.24,17.24,17.24,0,17.24,GEOB.MX
2000-10-05,15.8,15.8,15.8,15.8,0,15.8,GEOB.MX
2000-10-24,15.48,15.48,15.48,15.48,0,15.48,GEOB.MX
2000-11-02,11.4,11.4,11.4,11.4,0,11.4,GEOB.MX
2000-11-14,12.1,12.1,12.1,12.1,0,12.1,GEOB.MX
2000-11-20,11.58,11.58,11.58,11.58,0,11.58,GEOB.MX
2000-12-01,10.18,10.18,10.18,10.18,0,10.18,GEOB.MX
2000-12-12,9.88,9.88,9.88,9.88,0,9.88,GEOB.MX
2001-01-01,6.8,6.8,6.8,6.8,0,6.8,GEOB.MX
2001-02-19,10.79,10.79,10.62,10.62,0,10.62,GEOB.MX
2001-03-21,8.65,8.65,8.65,8.65,0,8.65,GEOB.MX
2001-04-12,9.0,9.0,9.0,9.0,0,9.0,GEOB.MX
2001-04-13,9.0,9.0,9.0,9.0,0,9.0,GEOB.MX
2001-04-16,9.0,9.0,8.64,8.64,0,8.64,GEOB.MX
2001-04-19,8.85,8.85,8.1,8.1,0,8.1,GEOB.MX
2001-05-01,7.53,7.53,7.53,7.53,0,7.53,GEOB.MX
2001-05-02,7.53,7.53,7.53,7.53,0,7.53,GEOB.MX
2001-05-09,6.94,6.94,6.94,6.94,0,6.94,GEOB.MX
2001-05-30,9.47,9.47,9.47,9.47,0,9.47,GEOB.MX
2001-07-04,8.0,8.0,8.0,8.0,0,8.0,GEOB.MX
2001-07-20,7.9,7.9,7.61,7.61,0,7.61,GEOB.MX
2001-08-13,8.81,8.81,8.8,8.8,0,8.8,GEOB.MX
2001-09-11,8.2,8.2,7.2,7.2,0,7.2,GEOB.MX
2001-09-12,7.2,7.2,7.2,7.2,0,7.2,GEOB.MX
2001-09-13,7.2,7.2,7.2,7.2,0,7.2,GEOB.MX
2001-09-14,7.2,7.2,7.2,7.2,0,7.2,GEOB.MX
2001-09-19,7.42,7.42,6.5,6.5,0,6.5,GEOB.MX
2001-09-24,6.87,6.87,6.87,6.87,0,6.87,GEOB.MX
2001-10-08,6.53,6.53,6.2,6.2,0,6.2,GEOB.MX
2001-10-12,7.09,7.09,7.09,7.09,0,7.09,GEOB.MX
2001-11-12,8.72,8.72,8.1,8.1,0,8.1,GEOB.MX
2001-11-20,8.8,8.8,8.8,8.8,0,8.8,GEOB.MX
2001-12-12,10.99,10.99,10.99,10.99,0,10.99,GEOB.MX
2001-12-25,12.72,12.72,12.72,12.72,0,12.72,GEOB.MX
2002-01-01,14.65,14.65,14.65,14.65,0,14.65,GEOB.MX
2002-02-05,15.6,15.6,15.6,15.6,0,15.6,GEOB.MX
2002-02-28,16.13,16.13,16.13,16.13,0,16.13,GEOB.MX
2002-03-21,19.61,19.61,19.61,19.61,0,19.61,GEOB.MX
2002-03-28,21.5,21.5,21.5,21.5,0,21.5,GEOB.MX
2002-03-29,21.5,21.5,21.5,21.5,0,21.5,GEOB.MX
2002-05-01,20.57,20.57,20.57,20.57,0,20.57,GEOB.MX
2002-09-16,21.89,21.89,21.89,21.89,0,21.89,GEOB.MX
2002-11-07,19.4,19.4,18.61,18.66,391800,18.66,GEOB.MX
2002-11-20,17.42,17.42,17.42,17.42,0,17.42,GEOB.MX
2002-12-12,19.35,19.35,19.35,19.35,0,19.35,GEOB.MX
2002-12-25,19.2,19.2,19.2,19.2,0,19.2,GEOB.MX
2003-01-01,19.1,19.1,19.1,19.1,0,19.1,GEOB.MX
2003-02-05,19.11,19.11,19.11,19.11,0,19.11,GEOB.MX
2003-03-21,23.85,23.85,23.85,23.85,0,23.85,GEOB.MX
2003-04-17,25.97,25.97,25.97,25.97,0,25.97,GEOB.MX
2003-04-18,25.97,25.97,25.97,25.97,0,25.97,GEOB.MX
2003-05-01,28.49,28.49,28.49,28.49,0,28.49,GEOB.MX
2003-08-04,38.5,38.5,38.5,38.5,1609000,38.5,GEOB.MX
2003-08-05,38.05,38.05,38.05,38.05,1061000,38.05,GEOB.MX
2003-09-16,48.0,48.0,48.0,48.0,0,48.0,GEOB.MX
2003-11-20,58.49,58.49,58.49,58.49,0,58.49,GEOB.MX
2003-12-12,56.75,56.75,56.75,56.75,0,56.75,GEOB.MX
2003-12-25,57.02,57.02,57.02,57.02,0,57.02,GEOB.MX
2004-01-01,57.27,57.27,57.27,57.27,0,57.27,GEOB.MX
2004-02-05,73.8,73.8,73.8,73.8,0,73.8,GEOB.MX
2004-04-08,76.85,76.85,76.85,76.85,0,76.85,GEOB.MX
2004-04-09,76.85,76.85,76.85,76.85,0,76.85,GEOB.MX
2004-04-12,76.85,76.85,75.9,75.9,146300,75.9,GEOB.MX
2004-04-13,75.9,76.5,74.0,74.8,398400,74.8,GEOB.MX
2004-04-14,74.79,74.79,73.51,73.7,386500,73.7,GEOB.MX
2004-04-15,73.5,74.18,73.5,73.7,579600,73.7,GEOB.MX
2004-04-16,73.7,74.0,73.05,73.12,246200,73.12,GEOB.MX
2004-04-19,74.0,74.8,73.25,73.32,539300,73.32,GEOB.MX
2004-04-20,73.5,74.0,73.4,73.98,883700,73.98,GEOB.MX
2004-04-21,73.8,74.99,73.2,74.04,400200,74.04,GEOB.MX
2004-04-22,74.04,74.9,73.8,74.9,169400,74.9,GEOB.MX
2004-04-23,74.9,74.9,74.9,74.9,0,74.9,GEOB.MX
2004-04-26,74.9,74.9,73.5,74.7,603800,74.7,GEOB.MX
2004-04-27,74.6,74.6,71.96,72.61,642500,72.61,GEOB.MX
2004-04-28,72.5,72.5,70.0,70.1,480200,70.1,GEOB.MX
2004-04-29,70.0,71.0,65.0,65.56,800300,65.56,GEOB.MX
2004-04-30,66.0,69.35,65.0,65.31,748100,65.31,GEOB.MX
2004-05-03,65.5,67.3,65.5,66.79,467600,66.79,GEOB.MX
2004-05-04,66.84,69.0,66.7,69.0,634000,69.0,GEOB.MX
2004-05-05,69.0,69.0,66.75,66.76,174700,66.76,GEOB.MX
2004-05-06,66.5,66.5,64.5,65.2,367100,65.2,GEOB.MX
2004-05-07,13.03,13.85,13.03,13.11,2697300,13.11,GEOB.MX
2004-05-10,12.97,13.3,12.7,12.91,1268000,12.91,GEOB.MX
2004-05-11,13.0,13.55,13.0,13.49,2711300,13.49,GEOB.MX
2004-05-12,13.49,14.0,13.4,14.0,4233000,14.0,GEOB.MX
2004-05-13,13.98,14.49,13.95,14.3,2116100,14.3,GEOB.MX
2004-05-14,14.3,14.45,14.3,14.4,1881200,14.4,GEOB.MX
2004-05-17,14.2,14.3,13.81,14.06,1743500,14.06,GEOB.MX
2004-05-18,14.2,14.3,13.7,13.82,688500,13.82,GEOB.MX
2004-05-19,14.0,14.3,13.55,13.61,1868000,13.61,GEOB.MX
2004-05-20,13.62,13.8,13.0,13.45,1772900,13.45,GEOB.MX
2004-05-21,13.66,13.75,13.5,13.59,549800,13.59,GEOB.MX
2004-05-24,13.8,13.86,13.5,13.85,746600,13.85,GEOB.MX
