Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,24.7,24.7,24.7,24.7,9000,8.23,ICHB.MX
2000-01-04,24.0,24.0,22.5,23.0,285000,7.67,ICHB.MX
2000-01-05,23.0,23.2,23.0,23.2,249000,7.73,ICHB.MX
2000-01-06,23.2,23.2,22.6,22.6,465000,7.53,ICHB.MX
2000-01-07,23.0,24.0,23.0,24.0,735000,8.0,ICHB.MX
2000-01-10,24.0,24.1,23.5,24.0,120000,8.0,ICHB.MX
2000-01-11,23.2,23.5,23.2,23.2,63000,7.73,ICHB.MX
2000-01-12,23.7,23.7,22.8,23.2,282000,7.73,ICHB.MX
2000-01-13,22.8,23.3,22.6,23.2,762000,7.73,ICHB.MX
2000-01-14,23.3,24.0,23.3,24.0,1998000,8.0,ICHB.MX
2000-01-17,24.0,24.5,24.0,24.0,177000,8.0,ICHB.MX
2000-01-18,24.0,24.0,23.6,23.65,48000,7.88,ICHB.MX
2000-01-19,23.65,23.65,23.5,23.6,423000,7.87,ICHB.MX
2000-01-20,23.6,23.6,23.4,23.4,477000,7.8,ICHB.MX
2000-01-21,23.4,23.5,23.4,23.5,36000,7.83,ICHB.MX
2000-01-24,24.0,24.0,23.5,23.5,276000,7.83,ICHB.MX
2000-01-25,23.55,23.55,23.4,23.5,1122000,7.83,ICHB.MX
2000-01-26,23.5,23.5,23.5,23.5,234000,7.83,ICHB.MX
2000-01-27,23.5,25.0,23.5,24.5,321000,8.17,ICHB.MX
2000-01-28,23.6,24.0,23.6,24.0,30000,8.0,ICHB.MX
2000-01-31,23.6,24.5,23.6,24.5,579000,8.17,ICHB.MX
2000-02-01,24.5,24.5,24.0,24.0,0,8.0,ICHB.MX
2000-02-02,24.0,24.2,24.0,24.2,51000,8.07,ICHB.MX
2000-02-03,24.2,24.2,24.2,24.2,60000,8.07,ICHB.MX
2000-02-04,24.0,24.8,24.0,24.8,198000,8.27,ICHB.MX
2000-02-07,24.6,24.8,24.6,24.8,99000,8.27,ICHB.MX
2000-02-08,25.0,25.0,24.4,24.4,303000,8.13,ICHB.MX
2000-02-09,24.2,24.4,24.2,24.2,768000,8.07,ICHB.MX
2000-02-10,24.0,24.2,23.7,24.2,393000,8.07,ICHB.MX
2000-02-11,24.05,24.05,24.0,24.0,1491000,8.0,ICHB.MX
2000-02-14,23.8,24.0,23.8,24.0,186000,8.0,ICHB.MX
2000-02-15,24.0,24.0,24.0,24.0,33000,8.0,ICHB.MX
2000-02-16,24.0,24.0,23.85,23.85,21000,7.95,ICHB.MX
2000-02-17,24.0,24.0,24.0,24.0,6000,8.0,ICHB.MX
2000-02-18,24.0,24.0,23.8,24.0,75000,8.0,ICHB.MX
2000-02-21,23.85,24.0,23.85,24.0,18000,8.0,ICHB.MX
2000-02-22,23.85,24.0,23.85,24.0,147000,8.0,ICHB.MX
2000-02-23,24.0,24.0,24.0,24.0,189000,8.0,ICHB.MX
2000-02-24,23.8,24.0,23.5,23.5,1113000,7.83,ICHB.MX
2000-02-25,23.7,23.75,23.7,23.7,27000,7.9,ICHB.MX
2000-02-28,23.7,24.0,23.7,24.0,66000,8.0,ICHB.MX
2000-02-29,25.1,25.1,23.75,23.75,0,7.92,ICHB.MX
2000-03-01,23.75,24.2,23.75,24.2,123000,8.07,ICHB.MX
2000-03-02,24.2,25.0,24.2,24.5,12576000,8.17,ICHB.MX
2000-03-03,25.0,25.1,24.6,24.6,387000,8.2,ICHB.MX
2000-03-06,23.85,25.0,23.75,25.0,18000,8.33,ICHB.MX
2000-03-07,25.0,25.8,24.5,24.5,447000,8.17,ICHB.MX
2000-03-08,24.5,24.5,24.25,24.5,369000,8.17,ICHB.MX
2000-03-09,24.6,24.6,24.5,24.5,30000,8.17,ICHB.MX
2000-03-10,23.8,24.3,23.8,24.3,90000,8.1,ICHB.MX
2000-03-13,24.3,24.3,24.3,24.3,0,8.1,ICHB.MX
2000-03-14,23.75,23.8,23.75,23.75,180000,7.92,ICHB.MX
2000-03-15,24.0,24.0,24.0,24.0,51000,8.0,ICHB.MX
2000-03-16,24.0,24.0,24.0,24.0,87000,8.0,ICHB.MX
2000-03-17,23.8,23.8,23.7,23.7,195000,7.9,ICHB.MX
