Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-04,16.84,16.84,15.8,15.8,0,14.22,KOFL.MX
2000-01-06,17.0,17.0,15.9,15.9,0,14.31,KOFL.MX
2000-01-12,16.9,16.9,16.38,16.38,0,14.74,KOFL.MX
2000-01-19,16.8,16.8,16.0,16.0,0,14.4,KOFL.MX
2000-02-02,15.1,15.1,14.8,14.8,0,13.32,KOFL.MX
2000-02-25,18.32,18.32,18.06,18.06,0,16.25,KOFL.MX
2000-03-10,17.9,17.9,17.5,17.5,0,15.75,KOFL.MX
2000-03-17,19.2,19.2,18.0,18.0,0,16.2,KOFL.MX
2000-03-21,18.0,18.0,18.0,18.0,0,16.2,KOFL.MX
2000-04-10,17.38,17.38,17.0,17.0,0,15.3,KOFL.MX
2000-04-12,17.38,17.38,17.0,17.0,0,15.3,KOFL.MX
2000-04-20,15.84,15.84,15.84,15.84,0,14.25,KOFL.MX
2000-04-21,15.84,15.84,15.84,15.84,0,14.25,KOFL.MX
2000-05-01,17.88,17.88,17.88,17.88,0,16.09,KOFL.MX
2000-05-02,17.74,17.74,17.0,17.0,0,15.3,KOFL.MX
2000-05-05,16.6,16.6,16.6,16.6,0,14.94,KOFL.MX
2000-05-15,16.66,16.66,16.0,16.0,0,14.4,KOFL.MX
2000-05-16,16.66,16.66,15.66,15.66,0,14.09,KOFL.MX
2000-05-18,16.02,16.02,15.66,15.66,0,14.09,KOFL.MX
2000-05-25,14.34,14.34,14.02,14.02,0,12.61,KOFL.MX
2000-05-29,15.0,15.0,13.3,13.3,0,11.97,KOFL.MX
2000-06-06,16.46,16.46,16.46,16.46,0,14.81,KOFL.MX
2000-06-19,18.5,18.5,18.2,18.2,0,16.38,KOFL.MX
2000-06-20,18.5,18.5,18.2,18.2,0,16.38,KOFL.MX
2000-06-23,18.5,18.5,17.5,17.5,0,15.75,KOFL.MX
2000-07-03,18.54,18.54,18.5,18.5,0,16.65,KOFL.MX
2000-07-13,18.44,18.44,17.08,17.08,0,15.37,KOFL.MX
2000-07-19,18.8,18.8,18.5,18.5,0,16.65,KOFL.MX
2000-07-21,18.98,18.98,18.4,18.4,0,16.56,KOFL.MX
2000-07-24,18.98,18.98,16.98,16.98,0,15.28,KOFL.MX
2000-07-25,18.8,18.8,18.18,18.18,0,16.36,KOFL.MX
2000-07-26,18.8,18.8,18.18,18.18,0,16.36,KOFL.MX
2000-07-27,18.8,18.8,18.18,18.18,0,16.36,KOFL.MX
2000-07-28,18.5,18.5,18.2,18.2,0,16.38,KOFL.MX
2000-07-31,18.8,18.8,18.18,18.18,0,16.36,KOFL.MX
2000-08-01,18.9,18.9,18.3,18.3,0,16.47,KOFL.MX
2000-08-04,18.9,18.9,18.9,18.9,0,17.01,KOFL.MX
2000-08-07,18.88,18.88,18.2,18.2,0,16.38,KOFL.MX
2000-08-08,18.84,18.84,17.4,17.4,0,15.66,KOFL.MX
2000-08-09,18.5,18.5,17.7,17.7,0,15.93,KOFL.MX
2000-08-10,18.3,18.3,17.4,17.4,0,15.66,KOFL.MX
2000-08-11,18.5,18.5,17.7,17.7,0,15.93,KOFL.MX
2000-08-14,18.08,18.08,17.4,17.4,0,15.66,KOFL.MX
2000-08-15,18.2,18.2,17.4,17.4,0,15.66,KOFL.MX
2000-08-16,18.1,18.1,17.4,17.4,0,15.66,KOFL.MX
2000-08-22,18.0,18.0,17.2,17.2,0,15.48,KOFL.MX
2000-08-24,17.8,17.8,17.06,17.06,0,15.35,KOFL.MX
2000-08-28,18.84,18.84,17.4,17.4,0,15.66,KOFL.MX
2000-08-29,18.84,18.84,17.5,17.5,0,15.75,KOFL.MX
2000-09-01,19.18,19.18,18.6,18.6,0,16.74,KOFL.MX
2000-09-04,19.2,19.2,17.78,17.78,0,16.0,KOFL.MX
2000-09-05,19.1,19.1,18.06,18.06,0,16.25,KOFL.MX
2000-09-06,19.18,19.18,18.3,18.3,0,16.47,KOFL.MX
2000-09-12,19.0,19.0,17.9,17.9,0,16.11,KOFL.MX
2000-09-13,19.32,19.32,18.7,18.7,0,16.83,KOFL.MX
2000-09-18,19.32,19.32,18.5,18.5,0,16.65,KOFL.MX
2000-09-19,19.0,19.0,18.2,18.2,0,16.38,KOFL.MX
2000-09-20,18.98,18.98,17.9,17.9,0,16.11,KOFL.MX
2000-09-21,18.9,18.9,18.0,18.0,0,16.2,KOFL.MX
2000-09-22,18.7,18.7,17.9,17.9,0,16.11,KOFL.MX
2000-09-26,18.66,18.66,17.9,17.9,0,16.11,KOFL.MX
2000-09-27,18.66,18.66,18.2,18.2,0,16.38,KOFL.MX
2000-09-29,18.7,18.7,17.78,17.78,0,16.0,KOFL.MX
2000-10-04,18.98,18.98,17.9,17.9,0,16.11,KOFL.MX
2000-10-05,17.9,17.9,17.9,17.9,0,16.11,KOFL.MX
2000-10-09,17.76,17.76,17.08,17.08,0,15.37,KOFL.MX
