Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,7.82,8.2,7.68,7.78,91600,37.11,KUOB.MX
2000-01-04,7.56,7.56,7.02,7.08,171200,33.77,KUOB.MX
2000-01-05,7.0,7.2,6.7,7.2,320800,34.34,KUOB.MX
2000-01-06,7.1,7.28,7.0,7.02,429400,33.49,KUOB.MX
2000-01-07,7.04,7.48,7.02,7.48,492200,35.68,KUOB.MX
2000-01-10,7.58,7.7,7.24,7.66,183400,36.54,KUOB.MX
2000-01-11,7.64,7.64,7.36,7.46,754000,35.58,KUOB.MX
2000-01-12,7.48,7.56,7.34,7.56,342000,36.06,KUOB.MX
2000-01-13,7.7,7.94,7.62,7.7,693200,36.73,KUOB.MX
2000-01-14,7.84,7.94,7.76,7.9,952000,37.68,KUOB.MX
2000-01-17,7.94,8.0,7.9,8.0,101200,38.16,KUOB.MX
2000-01-18,8.0,8.0,7.8,7.86,1034000,37.49,KUOB.MX
2000-01-19,7.8,7.9,7.7,7.7,112200,36.73,KUOB.MX
2000-01-20,7.8,7.8,7.5,7.5,266000,35.77,KUOB.MX
2000-01-21,7.54,7.7,7.4,7.44,215000,35.49,KUOB.MX
2000-01-24,7.5,7.5,7.1,7.1,561800,33.87,KUOB.MX
2000-01-25,7.24,7.5,7.22,7.5,303600,35.77,KUOB.MX
2000-01-26,7.7,7.7,7.48,7.5,632200,35.77,KUOB.MX
2000-01-27,7.58,7.6,7.36,7.4,106200,35.3,KUOB.MX
2000-01-28,7.3,7.4,7.22,7.32,377600,34.92,KUOB.MX
2000-01-31,7.28,7.32,7.24,7.28,273600,34.73,KUOB.MX
2000-02-01,7.3,7.36,7.2,7.3,1110600,34.82,KUOB.MX
2000-02-02,7.28,7.3,7.2,7.22,213800,34.44,KUOB.MX
2000-02-03,7.28,7.38,7.12,7.22,363000,34.44,KUOB.MX
2000-02-04,7.28,7.32,7.1,7.14,195200,34.06,KUOB.MX
2000-02-07,7.16,7.18,6.8,6.8,216600,32.44,KUOB.MX
2000-02-08,7.0,7.0,6.7,6.74,468600,32.15,KUOB.MX
2000-02-09,6.74,6.8,6.6,6.6,337400,31.48,KUOB.MX
2000-02-10,6.8,6.8,6.58,6.62,374400,31.58,KUOB.MX
2000-02-11,6.6,6.72,6.5,6.6,833400,31.48,KUOB.MX
2000-02-14,6.6,6.6,6.4,6.6,145600,31.48,KUOB.MX
2000-02-15,6.4,6.54,6.2,6.32,151600,30.15,KUOB.MX
2000-02-16,6.4,6.46,6.2,6.28,180600,29.96,KUOB.MX
2000-02-17,6.32,6.4,6.28,6.34,71400,30.24,KUOB.MX
2000-02-18,6.34,6.34,6.22,6.22,76400,29.67,KUOB.MX
2000-02-21,6.24,6.26,6.22,6.24,101600,29.76,KUOB.MX
2000-02-22,6.26,6.28,6.2,6.24,184000,29.76,KUOB.MX
2000-02-23,6.3,6.3,6.22,6.26,289200,29.86,KUOB.MX
2000-02-24,6.24,6.24,6.16,6.16,223000,29.38,KUOB.MX
2000-02-25,6.22,6.26,6.16,6.16,141400,29.38,KUOB.MX
2000-02-28,6.2,6.2,6.02,6.02,37000,28.72,KUOB.MX
2000-02-29,6.02,6.2,5.98,6.2,125000,29.57,KUOB.MX
2000-03-01,6.1,6.1,5.9,5.96,655200,28.43,KUOB.MX
2000-03-02,6.0,6.4,5.98,6.34,338600,30.24,KUOB.MX
