Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-03-21,5.82,5.82,5.82,5.82,0,4.24,MASECAB.MX
2000-04-20,4.3,4.3,4.3,4.3,0,3.13,MASECAB.MX
2000-04-21,4.3,4.3,4.3,4.3,0,3.13,MASECAB.MX
2000-05-01,4.35,4.35,4.35,4.35,0,3.17,MASECAB.MX
2000-05-05,4.25,4.25,4.25,4.25,0,3.09,MASECAB.MX
2000-05-29,4.3,4.3,4.1,4.1,0,2.99,MASECAB.MX
2000-06-06,4.15,4.15,4.15,4.15,0,3.02,MASECAB.MX
2000-06-12,4.3,4.3,4.11,4.11,0,2.99,MASECAB.MX
2000-10-05,2.9,2.9,2.9,2.9,0,2.11,MASECAB.MX
2000-10-24,2.0,2.0,2.0,2.0,0,1.46,MASECAB.MX
2000-11-02,2.17,2.17,2.17,2.17,0,1.58,MASECAB.MX
2000-11-14,2.44,2.44,2.44,2.44,0,1.78,MASECAB.MX
2000-11-20,2.53,2.53,2.53,2.53,0,1.84,MASECAB.MX
2000-12-01,2.4,2.4,2.4,2.4,0,1.75,MASECAB.MX
2000-12-12,2.3,2.3,2.3,2.3,0,1.67,MASECAB.MX
2001-01-01,2.25,2.25,2.25,2.25,0,1.64,MASECAB.MX
2001-03-21,2.08,2.08,2.08,2.08,0,1.51,MASECAB.MX
2001-03-28,2.1,2.1,2.0,2.0,0,1.46,MASECAB.MX
2001-04-12,2.02,2.02,2.02,2.02,0,1.47,MASECAB.MX
2001-04-13,2.02,2.02,2.02,2.02,0,1.47,MASECAB.MX
2001-05-01,1.65,1.65,1.65,1.65,0,1.2,MASECAB.MX
2001-05-02,1.65,1.65,1.65,1.65,0,1.2,MASECAB.MX
2001-05-09,1.55,1.55,1.55,1.55,0,1.13,MASECAB.MX
2001-05-28,1.65,1.65,1.6,1.6,0,1.17,MASECAB.MX
2001-05-30,1.62,1.62,1.62,1.62,0,1.18,MASECAB.MX
2001-06-08,1.62,1.62,1.55,1.55,0,1.13,MASECAB.MX
2001-06-13,1.65,1.65,1.6,1.6,0,1.17,MASECAB.MX
2001-06-21,1.59,1.59,1.54,1.54,0,1.12,MASECAB.MX
2001-07-04,1.6,1.6,1.6,1.6,0,1.17,MASECAB.MX
2001-08-01,1.76,1.76,1.71,1.71,0,1.25,MASECAB.MX
2001-08-21,2.05,2.05,2.02,2.02,0,1.47,MASECAB.MX
2001-09-11,2.25,2.25,2.25,2.25,0,1.64,MASECAB.MX
2001-09-12,2.25,2.25,2.25,2.25,0,1.64,MASECAB.MX
2001-09-13,2.25,2.25,2.25,2.25,0,1.64,MASECAB.MX
2001-09-14,2.25,2.25,2.25,2.25,0,1.64,MASECAB.MX
