Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2002-03-06,27.6,27.6,17.34,17.34,0,17.34,PAPPEL.MX
2002-03-07,27.6,27.6,17.34,17.34,0,17.34,PAPPEL.MX
2002-03-08,24.0,24.0,17.34,17.34,0,17.34,PAPPEL.MX
2002-03-11,27.6,27.6,17.34,17.34,0,17.34,PAPPEL.MX
2002-03-12,17.34,17.34,17.34,17.34,500,17.34,PAPPEL.MX
2002-03-13,19.94,23.5,19.94,23.5,6500,23.5,PAPPEL.MX
2002-03-14,24.0,24.0,17.34,17.34,0,17.34,PAPPEL.MX
2002-03-15,24.0,24.0,17.34,17.34,0,17.34,PAPPEL.MX
2002-03-18,24.0,24.0,21.5,21.5,0,21.5,PAPPEL.MX
2002-03-19,24.0,24.0,21.5,21.5,0,21.5,PAPPEL.MX
2002-03-20,24.0,24.0,21.5,21.5,0,21.5,PAPPEL.MX
2002-03-21,21.5,21.5,21.5,21.5,0,21.5,PAPPEL.MX
2002-03-22,24.0,24.0,21.5,21.5,0,21.5,PAPPEL.MX
2002-03-25,24.0,24.0,17.0,17.0,0,17.0,PAPPEL.MX
2002-03-26,24.0,24.0,17.0,17.0,0,17.0,PAPPEL.MX
2002-03-27,24.0,24.0,17.0,17.0,0,17.0,PAPPEL.MX
2002-03-28,17.0,17.0,17.0,17.0,0,17.0,PAPPEL.MX
2002-03-29,17.0,17.0,17.0,17.0,0,17.0,PAPPEL.MX
2002-04-01,24.0,24.0,22.5,22.5,0,22.5,PAPPEL.MX
2002-04-02,24.0,24.0,17.0,17.0,0,17.0,PAPPEL.MX
2002-04-03,24.0,24.0,17.0,17.0,0,17.0,PAPPEL.MX
2002-04-04,24.0,24.0,17.0,17.0,0,17.0,PAPPEL.MX
2002-04-05,24.0,24.0,17.0,17.0,0,17.0,PAPPEL.MX
2002-04-08,24.0,24.0,24.0,24.0,1000,24.0,PAPPEL.MX
2002-04-09,25.0,25.0,17.0,17.0,0,17.0,PAPPEL.MX
2002-04-10,24.0,24.0,24.0,24.0,500,24.0,PAPPEL.MX
2002-04-11,24.0,24.0,24.0,24.0,4000,24.0,PAPPEL.MX
2002-04-12,26.5,26.5,23.0,23.0,0,23.0,PAPPEL.MX
2002-04-15,24.5,24.5,17.34,17.34,0,17.34,PAPPEL.MX
2002-04-16,24.5,24.5,17.34,17.34,0,17.34,PAPPEL.MX
2002-04-17,24.5,24.5,17.34,17.34,0,17.34,PAPPEL.MX
2002-04-18,24.5,24.5,17.34,17.34,0,17.34,PAPPEL.MX
2002-04-19,24.5,24.5,17.34,17.34,0,17.34,PAPPEL.MX
2002-04-22,17.34,17.34,17.34,17.34,0,17.34,PAPPEL.MX
2002-04-23,17.34,17.34,17.34,17.34,0,17.34,PAPPEL.MX
2002-04-24,17.34,17.34,17.34,17.34,0,17.34,PAPPEL.MX
2002-04-25,23.5,23.5,17.34,17.34,0,17.34,PAPPEL.MX
2002-04-26,24.0,24.0,24.0,24.0,1000,24.0,PAPPEL.MX
2002-04-29,24.0,24.0,17.34,17.34,0,17.34,PAPPEL.MX
2002-04-30,24.0,24.0,24.0,24.0,1000,24.0,PAPPEL.MX
2002-05-01,24.0,24.0,24.0,24.0,0,24.0,PAPPEL.MX
2002-05-02,24.0,24.0,17.34,17.34,0,17.34,PAPPEL.MX
2002-05-03,24.0,24.0,17.34,17.34,0,17.34,PAPPEL.MX
2002-05-06,17.34,17.34,17.34,17.34,0,17.34,PAPPEL.MX
2002-05-07,17.34,17.34,17.34,17.34,0,17.34,PAPPEL.MX
2002-05-08,17.34,17.34,17.34,17.34,0,17.34,PAPPEL.MX
2002-05-09,17.34,17.34,17.34,17.34,0,17.34,PAPPEL.MX
2002-05-10,17.34,17.34,17.34,17.34,0,17.34,PAPPEL.MX
2002-05-13,17.34,17.34,17.34,17.34,0,17.34,PAPPEL.MX
2002-05-14,17.34,17.34,17.34,17.34,0,17.34,PAPPEL.MX
2002-05-15,17.34,17.34,17.34,17.34,0,17.34,PAPPEL.MX
2002-05-16,17.34,17.34,17.34,17.34,0,17.34,PAPPEL.MX
2002-05-17,17.34,17.34,17.34,17.34,0,17.34,PAPPEL.MX
2002-05-20,23.5,23.5,23.5,23.5,5000,23.5,PAPPEL.MX
2002-05-21,19.97,20.9,19.97,20.9,5400,20.9,PAPPEL.MX
2002-05-22,19.6,19.6,19.6,19.6,5000,19.6,PAPPEL.MX
2002-05-23,19.5,19.5,19.5,19.5,3000,19.5,PAPPEL.MX
2002-05-24,19.8,19.8,19.5,19.5,0,19.5,PAPPEL.MX
2002-05-27,27.6,27.6,19.5,19.5,0,19.5,PAPPEL.MX
2002-05-28,19.5,19.5,19.5,19.5,5000,19.5,PAPPEL.MX
2002-05-29,19.5,19.5,16.58,16.58,0,16.58,PAPPEL.MX
2002-05-30,27.6,27.6,16.58,16.58,0,16.58,PAPPEL.MX
2002-05-31,27.6,27.6,16.58,16.58,0,16.58,PAPPEL.MX
2002-06-03,16.58,16.58,16.58,16.58,0,16.58,PAPPEL.MX
2002-06-04,16.58,16.58,16.58,16.58,0,16.58,PAPPEL.MX
2002-06-05,16.58,16.58,16.58,16.58,0,16.58,PAPPEL.MX
2002-06-06,16.58,16.58,16.58,16.58,0,16.58,PAPPEL.MX
2002-06-07,16.58,16.58,16.58,16.58,0,16.58,PAPPEL.MX
2002-06-10,16.58,16.58,16.58,16.58,0,16.58,PAPPEL.MX
2002-06-11,26.0,26.0,16.58,16.58,0,16.58,PAPPEL.MX
2002-06-12,16.58,16.58,16.58,16.58,0,16.58,PAPPEL.MX
2002-06-13,25.0,25.0,16.58,16.58,0,16.58,PAPPEL.MX
2002-06-14,16.58,16.58,16.58,16.58,0,16.58,PAPPEL.MX
2002-06-17,25.0,25.0,16.58,16.58,0,16.58,PAPPEL.MX
2002-06-18,16.58,16.58,16.58,16.58,0,16.58,PAPPEL.MX
2002-06-19,24.0,24.0,16.58,16.58,0,16.58,PAPPEL.MX
2002-06-20,16.58,16.58,16.58,16.58,0,16.58,PAPPEL.MX
2002-06-21,16.58,16.58,16.58,16.58,1000,16.58,PAPPEL.MX
2002-06-24,19.07,19.07,14.6,14.6,0,14.6,PAPPEL.MX
2002-06-25,19.07,19.07,14.1,14.1,0,14.1,PAPPEL.MX
2002-06-26,19.07,19.07,14.1,14.1,0,14.1,PAPPEL.MX
2002-06-27,19.07,19.07,14.1,14.1,0,14.1,PAPPEL.MX
2002-06-28,19.07,19.07,14.1,14.1,0,14.1,PAPPEL.MX
2002-07-01,14.1,14.1,14.1,14.1,0,14.1,PAPPEL.MX
2002-07-02,19.06,19.06,14.1,14.1,0,14.1,PAPPEL.MX
2002-07-03,19.0,19.0,14.1,14.1,0,14.1,PAPPEL.MX
2002-07-04,19.06,19.06,14.1,14.1,0,14.1,PAPPEL.MX
2002-07-05,19.06,19.06,14.1,14.1,0,14.1,PAPPEL.MX
2002-07-08,19.06,19.06,14.1,14.1,0,14.1,PAPPEL.MX
2002-07-09,19.06,19.06,14.1,14.1,0,14.1,PAPPEL.MX
2002-07-10,19.06,19.06,14.1,14.1,0,14.1,PAPPEL.MX
2002-07-11,19.06,19.06,14.1,14.1,0,14.1,PAPPEL.MX
2002-07-12,16.58,16.58,14.1,14.1,0,14.1,PAPPEL.MX
2002-07-15,16.58,16.58,14.1,14.1,0,14.1,PAPPEL.MX
2002-07-16,14.1,14.1,14.1,14.1,1000,14.1,PAPPEL.MX
2002-07-17,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-07-18,12.0,12.0,12.0,12.0,0,12.0,PAPPEL.MX
2002-07-19,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-07-22,12.0,12.0,12.0,12.0,0,12.0,PAPPEL.MX
2002-07-23,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-07-24,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-07-25,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-07-26,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-07-29,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-07-30,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-07-31,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-08-01,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-08-02,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-08-05,12.0,12.0,12.0,12.0,0,12.0,PAPPEL.MX
2002-08-06,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-08-07,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-08-08,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-08-09,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-08-12,14.5,14.5,14.0,14.0,0,14.0,PAPPEL.MX
2002-08-13,14.0,14.0,14.0,14.0,20000,14.0,PAPPEL.MX
2002-08-14,16.2,16.2,14.0,14.0,0,14.0,PAPPEL.MX
2002-08-15,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-08-16,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-08-19,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-08-20,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-08-21,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-08-22,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-08-23,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-08-26,17.0,17.0,17.0,17.0,0,17.0,PAPPEL.MX
2002-08-27,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-08-28,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-08-29,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-08-30,16.2,16.2,12.0,12.0,0,12.0,PAPPEL.MX
2002-09-02,12.0,12.0,12.0,12.0,0,12.0,PAPPEL.MX
2002-09-03,12.0,12.0,12.0,12.0,0,12.0,PAPPEL.MX
2002-09-04,12.0,12.0,12.0,12.0,0,12.0,PAPPEL.MX
2002-09-05,12.0,12.0,12.0,12.0,0,12.0,PAPPEL.MX
2002-09-06,12.0,12.0,12.0,12.0,0,12.0,PAPPEL.MX
2002-09-09,17.0,17.0,17.0,17.0,0,17.0,PAPPEL.MX
2002-09-10,17.0,17.0,12.0,12.0,0,12.0,PAPPEL.MX
2002-09-11,18.0,18.0,12.0,12.0,0,12.0,PAPPEL.MX
2002-09-12,16.1,16.1,12.0,12.0,0,12.0,PAPPEL.MX
2002-09-13,16.1,16.1,12.0,12.0,0,12.0,PAPPEL.MX
2002-09-16,12.0,12.0,12.0,12.0,0,12.0,PAPPEL.MX
2002-09-17,12.0,12.0,12.0,12.0,0,12.0,PAPPEL.MX
2002-09-18,16.1,16.1,16.1,16.1,0,16.1,PAPPEL.MX
2002-09-19,16.1,16.1,16.1,16.1,0,16.1,PAPPEL.MX
2002-09-20,16.1,16.1,16.1,16.1,0,16.1,PAPPEL.MX
2002-09-23,12.0,12.0,12.0,12.0,0,12.0,PAPPEL.MX
2002-09-24,12.0,12.0,12.0,12.0,0,12.0,PAPPEL.MX
