Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2005-11-11,21.0,21.0,20.55,20.99,3191200,20.99,PASAB.MX
2005-11-14,20.7,20.9,20.7,20.85,304100,20.85,PASAB.MX
2005-11-16,20.55,20.85,20.4,20.82,913900,20.82,PASAB.MX
2005-11-17,20.86,20.86,20.21,20.66,160300,20.66,PASAB.MX
2005-11-18,20.34,20.34,20.1,20.29,436000,20.29,PASAB.MX
2005-11-21,20.2,20.2,19.0,19.0,124000,19.0,PASAB.MX
2005-11-22,18.7,19.0,17.0,18.56,592300,18.56,PASAB.MX
2005-11-23,18.56,18.67,18.0,18.6,396100,18.6,PASAB.MX
2005-11-24,18.6,19.3,18.6,19.01,269000,19.01,PASAB.MX
2005-11-25,19.5,19.9,19.25,19.9,89400,19.9,PASAB.MX
2005-11-28,20.0,20.19,19.25,19.9,45700,19.9,PASAB.MX
2005-11-29,20.2,20.2,19.7,19.7,174500,19.7,PASAB.MX
2005-11-30,19.9,20.39,19.9,20.3,313400,20.3,PASAB.MX
2005-12-01,20.0,20.51,20.0,20.23,752500,20.23,PASAB.MX
2005-12-02,20.23,20.23,19.99,20.0,927700,20.0,PASAB.MX
2005-12-05,19.9,20.4,19.9,20.37,522700,20.37,PASAB.MX
2005-12-06,20.37,20.51,20.37,20.5,705000,20.5,PASAB.MX
2005-12-07,20.49,20.6,20.3,20.57,825500,20.57,PASAB.MX
2005-12-08,20.6,20.6,20.49,20.6,329600,20.6,PASAB.MX
2005-12-09,20.6,21.0,20.49,21.0,672000,21.0,PASAB.MX
2005-12-13,20.5,20.6,20.0,20.5,66600,20.5,PASAB.MX
2005-12-14,20.6,20.6,20.0,20.0,2400,20.0,PASAB.MX
2005-12-15,20.0,20.0,18.05,18.15,183300,18.15,PASAB.MX
2005-12-16,17.99,18.4,17.99,18.16,451700,18.16,PASAB.MX
2005-12-19,18.2,18.5,18.2,18.2,40200,18.2,PASAB.MX
2005-12-20,18.15,18.15,18.1,18.15,226200,18.15,PASAB.MX
2005-12-21,18.0,18.15,18.0,18.0,77700,18.0,PASAB.MX
2005-12-22,18.15,18.15,18.0,18.1,1300,18.1,PASAB.MX
2005-12-23,18.1,18.1,18.1,18.1,27700,18.1,PASAB.MX
2005-12-26,18.0,18.0,17.7,18.0,3900,18.0,PASAB.MX
2005-12-27,18.0,18.11,18.0,18.1,933000,18.1,PASAB.MX
2005-12-28,18.1,18.1,18.1,18.1,600,18.1,PASAB.MX
2005-12-29,18.0,19.5,18.0,19.2,293800,19.2,PASAB.MX
2005-12-30,19.4,21.0,19.2,19.85,285100,19.85,PASAB.MX
2006-01-02,19.85,19.85,18.55,18.55,0,18.55,PASAB.MX
2006-01-03,19.8,19.8,18.55,18.55,0,18.55,PASAB.MX
2006-01-04,19.84,19.84,19.84,19.84,1700,19.84,PASAB.MX
2006-01-05,19.45,19.45,17.71,17.71,0,17.71,PASAB.MX
2006-01-06,18.0,19.39,18.0,19.22,1518600,19.22,PASAB.MX
2006-01-09,19.0,19.0,18.57,18.75,815000,18.75,PASAB.MX
2006-01-10,18.75,18.75,18.49,18.49,117700,18.49,PASAB.MX
2006-01-11,18.4,18.48,18.39,18.4,129600,18.4,PASAB.MX
2006-01-12,18.4,18.4,18.4,18.4,184900,18.4,PASAB.MX
2006-01-13,18.3,18.4,18.3,18.4,25400,18.4,PASAB.MX
2006-01-16,18.4,18.45,18.2,18.3,379400,18.3,PASAB.MX
2006-01-17,18.21,18.3,18.0,18.0,234200,18.0,PASAB.MX
2006-01-18,17.75,18.0,17.7,18.0,21700,18.0,PASAB.MX
2006-01-19,17.98,17.99,17.51,17.65,16300,17.65,PASAB.MX
2006-01-20,17.99,17.99,17.0,17.1,176400,17.1,PASAB.MX
2006-01-23,17.96,17.96,17.1,17.1,23600,17.1,PASAB.MX
2006-01-24,17.1,17.5,17.09,17.36,573800,17.36,PASAB.MX
2006-01-25,17.9,17.9,17.6,17.8,70000,17.8,PASAB.MX
2006-01-26,17.7,17.96,17.4,17.9,160500,17.9,PASAB.MX
2006-01-27,17.9,18.4,17.9,18.4,33500,18.4,PASAB.MX
2006-01-30,18.4,18.49,18.4,18.49,169600,18.49,PASAB.MX
2006-01-31,18.4,18.98,18.4,18.98,112100,18.98,PASAB.MX
2006-02-01,18.98,19.25,18.5,19.0,168600,19.0,PASAB.MX
2006-02-02,19.0,19.2,19.0,19.0,4100,19.0,PASAB.MX
2006-02-03,19.2,19.2,18.7,19.0,159100,19.0,PASAB.MX
2006-02-07,19.0,19.01,18.03,18.85,5500,18.85,PASAB.MX
2006-02-08,18.8,19.0,18.2,18.69,16400,18.69,PASAB.MX
2006-02-09,18.79,18.79,17.5,18.78,2200,18.78,PASAB.MX
2006-02-10,18.0,18.3,18.0,18.3,135600,18.3,PASAB.MX
2006-02-13,18.3,18.3,18.3,18.3,30000,18.3,PASAB.MX
2006-02-14,18.0,18.0,17.8,18.0,157100,18.0,PASAB.MX
2006-02-15,17.9,17.9,17.5,17.8,58500,17.8,PASAB.MX
2006-02-16,17.7,17.7,17.01,17.3,209200,17.3,PASAB.MX
2006-02-17,17.5,18.0,17.3,17.3,12300,17.3,PASAB.MX
2006-02-20,18.0,18.0,18.0,18.0,100,18.0,PASAB.MX
2006-02-21,17.9,17.9,17.3,17.7,249000,17.7,PASAB.MX
2006-02-22,17.7,17.8,17.5,17.65,151100,17.65,PASAB.MX
2006-02-23,17.49,17.64,17.42,17.5,110900,17.5,PASAB.MX
2006-02-24,17.4,17.5,17.3,17.4,64000,17.4,PASAB.MX
2006-02-27,17.3,17.3,17.1,17.12,101900,17.12,PASAB.MX
2006-02-28,17.1,17.1,16.69,17.0,116700,17.0,PASAB.MX
2006-03-01,16.95,16.95,15.49,15.8,596200,15.8,PASAB.MX
2006-03-02,16.0,16.2,15.9,15.9,242500,15.9,PASAB.MX
2006-03-03,15.8,16.0,15.8,16.0,104000,16.0,PASAB.MX
2006-03-06,16.0,16.0,15.75,15.75,107200,15.75,PASAB.MX
2006-03-07,15.5,15.5,14.9,15.0,572500,15.0,PASAB.MX
2006-03-08,14.5,15.75,14.0,15.73,213800,15.73,PASAB.MX
2006-03-09,15.5,15.7,15.5,15.7,80200,15.7,PASAB.MX
2006-03-10,15.5,15.85,15.0,15.4,45500,15.4,PASAB.MX
2006-03-13,15.4,15.4,15.0,15.39,33100,15.39,PASAB.MX
2006-03-14,15.2,15.45,15.0,15.37,23200,15.37,PASAB.MX
2006-03-15,15.3,15.3,14.8,14.81,192700,14.81,PASAB.MX
2006-03-16,14.75,14.86,14.5,14.57,166200,14.57,PASAB.MX
2006-03-17,14.57,14.57,14.0,14.2,165500,14.2,PASAB.MX
2006-03-20,14.35,14.35,14.0,14.25,76100,14.25,PASAB.MX
2006-03-22,14.25,14.7,14.2,14.7,26500,14.7,PASAB.MX
2006-03-23,14.7,14.71,14.16,14.45,162900,14.45,PASAB.MX
2006-03-24,14.45,14.64,14.45,14.64,200,14.64,PASAB.MX
2006-03-27,14.65,14.65,14.65,14.65,10000,14.65,PASAB.MX
2006-03-28,14.5,14.5,14.48,14.48,18800,14.48,PASAB.MX
2006-03-29,14.43,14.5,14.43,14.5,300600,14.5,PASAB.MX
2006-03-30,14.6,14.6,14.5,14.5,168200,14.5,PASAB.MX
2006-03-31,14.6,14.6,14.5,14.51,57900,14.51,PASAB.MX
2006-04-03,14.5,14.5,14.4,14.4,167200,14.4,PASAB.MX
2006-04-04,14.2,14.3,14.18,14.18,85300,14.18,PASAB.MX
2006-04-05,14.64,14.64,14.1,14.1,46700,14.1,PASAB.MX
2006-04-06,14.05,14.05,13.98,13.98,292700,13.98,PASAB.MX
2006-04-07,13.98,13.98,13.95,13.95,11000,13.95,PASAB.MX
2006-04-10,13.94,13.94,13.94,13.94,30000,13.94,PASAB.MX
2006-04-11,13.9,13.92,13.88,13.9,23000,13.9,PASAB.MX
2006-04-12,13.9,13.9,13.6,13.6,13100,13.6,PASAB.MX
2006-04-17,13.6,13.6,13.47,13.47,21900,13.47,PASAB.MX
2006-04-18,13.24,13.25,12.48,12.66,1017200,12.66,PASAB.MX
2006-04-19,13.0,13.3,12.7,13.2,1014200,13.2,PASAB.MX
2006-04-20,13.35,13.6,13.35,13.6,357300,13.6,PASAB.MX
2006-04-21,13.59,13.6,13.59,13.6,48400,13.6,PASAB.MX
2006-04-24,13.5,13.6,13.5,13.56,8000,13.56,PASAB.MX
2006-04-25,13.39,13.41,13.0,13.4,1629900,13.4,PASAB.MX
2006-04-26,13.0,13.01,13.0,13.0,425200,13.0,PASAB.MX
2006-04-27,12.8,13.25,12.8,13.06,10800,13.06,PASAB.MX
2006-04-28,12.68,13.0,12.68,13.0,82500,13.0,PASAB.MX
2006-05-02,13.2,13.2,12.89,12.89,17900,12.89,PASAB.MX
2006-05-03,12.66,12.8,12.66,12.8,3900,12.8,PASAB.MX
2006-05-04,12.75,12.8,12.7,12.7,70200,12.7,PASAB.MX
2006-05-05,12.8,12.8,12.3,12.41,1385200,12.41,PASAB.MX
2006-05-08,12.5,13.0,12.5,12.55,258500,12.55,PASAB.MX
2006-05-09,12.57,13.0,12.5,12.77,484300,12.77,PASAB.MX
2006-05-10,12.8,12.99,12.8,12.95,142400,12.95,PASAB.MX
2006-05-11,12.94,13.0,12.76,13.0,71900,13.0,PASAB.MX
2006-05-12,12.95,13.0,12.95,12.95,50600,12.95,PASAB.MX
2006-05-15,12.95,12.95,12.95,12.95,52700,12.95,PASAB.MX
2006-05-16,13.0,13.05,12.95,13.0,79600,13.0,PASAB.MX
2006-05-17,12.75,12.75,12.6,12.6,31600,12.6,PASAB.MX
2006-05-18,12.95,13.05,12.95,13.05,63800,13.05,PASAB.MX
2006-05-19,13.05,13.06,13.0,13.0,77100,13.0,PASAB.MX
2006-05-22,12.9,13.0,12.6,12.8,3700,12.8,PASAB.MX
2006-05-23,12.85,12.85,12.85,12.85,5200,12.85,PASAB.MX
2006-05-24,12.8,12.8,12.0,12.08,150800,12.08,PASAB.MX
2006-05-25,12.5,12.7,12.5,12.5,80800,12.5,PASAB.MX
2006-05-26,12.5,12.5,12.5,12.5,135800,12.5,PASAB.MX
2006-05-29,12.5,12.5,12.5,12.5,41100,12.5,PASAB.MX
2006-05-30,12.3,12.55,12.3,12.45,141100,12.45,PASAB.MX
2006-05-31,12.3,12.45,12.3,12.45,1100,12.45,PASAB.MX
2006-06-01,12.7,12.7,12.45,12.45,10000,12.45,PASAB.MX
2006-06-02,12.45,12.5,12.45,12.45,60500,12.45,PASAB.MX
2006-06-05,12.5,12.5,12.45,12.45,28600,12.45,PASAB.MX
