Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2010-12-21,11.5,11.5,11.0,11.5,200,11.5,TEAKCPO.MX
2010-12-23,11.8,11.8,11.8,11.8,100,11.8,TEAKCPO.MX
2010-12-27,12.0,12.0,11.8,12.0,200,12.0,TEAKCPO.MX
2010-12-28,12.5,12.5,12.5,12.5,100,12.5,TEAKCPO.MX
2010-12-29,12.55,12.55,12.55,12.55,900,12.55,TEAKCPO.MX
2010-12-31,12.7,12.7,12.7,12.7,1000,12.7,TEAKCPO.MX
2011-02-02,13.0,13.0,13.0,13.0,100,13.0,TEAKCPO.MX
2011-03-03,12.89,12.89,12.89,12.89,400,12.89,TEAKCPO.MX
2011-03-09,12.85,12.85,12.84,12.85,85900,12.85,TEAKCPO.MX
2011-04-15,13.0,13.0,13.0,13.0,200,13.0,TEAKCPO.MX
2011-05-25,12.8,12.8,12.8,12.8,100,12.8,TEAKCPO.MX
2011-08-09,12.5,12.5,12.49,12.5,184100,12.5,TEAKCPO.MX
2011-10-24,12.0,12.0,11.0,11.0,200,11.0,TEAKCPO.MX
2011-10-25,10.5,10.5,10.49,10.5,3013400,10.5,TEAKCPO.MX
2011-10-26,10.5,10.5,10.5,10.5,1400,10.5,TEAKCPO.MX
2011-12-20,10.5,10.5,10.5,10.5,100,10.5,TEAKCPO.MX
2011-12-27,10.5,11.5,10.5,11.5,300000,11.5,TEAKCPO.MX
2012-01-03,11.4,11.4,11.4,11.4,700,11.4,TEAKCPO.MX
2012-01-20,10.89,10.89,10.89,10.89,3400,10.89,TEAKCPO.MX
2012-01-27,10.7,11.0,10.7,11.0,1374900,11.0,TEAKCPO.MX
2012-01-30,11.0,11.0,11.0,11.0,0,11.0,TEAKCPO.MX
2012-03-29,10.49,10.49,10.49,10.49,100,10.49,TEAKCPO.MX
2012-04-02,10.49,10.49,10.49,10.49,9500,10.49,TEAKCPO.MX
2012-05-31,10.48,10.48,10.48,10.48,100,10.48,TEAKCPO.MX
2012-06-01,10.45,10.48,10.45,10.48,79900,10.48,TEAKCPO.MX
2012-06-26,9.9,9.9,9.9,9.9,100,9.9,TEAKCPO.MX
2012-07-05,10.0,10.0,10.0,10.0,200,10.0,TEAKCPO.MX
2012-08-14,9.87,9.87,9.87,9.87,15000,9.87,TEAKCPO.MX
2012-08-16,9.18,9.18,9.18,9.18,10000,9.18,TEAKCPO.MX
2012-08-17,9.5,9.5,9.5,9.5,2000,9.5,TEAKCPO.MX
2012-08-22,9.5,9.5,9.5,9.5,2000,9.5,TEAKCPO.MX
2012-08-30,9.4,9.4,9.4,9.4,10000,9.4,TEAKCPO.MX
2012-08-31,9.8,9.8,9.8,9.8,100,9.8,TEAKCPO.MX
2012-09-05,9.5,9.5,9.5,9.5,9700,9.5,TEAKCPO.MX
2012-10-09,9.0,9.44,8.5,8.5,305600,8.5,TEAKCPO.MX
2012-10-10,9.0,9.0,9.0,9.0,343900,9.0,TEAKCPO.MX
2012-10-11,9.0,9.0,9.0,9.0,130000,9.0,TEAKCPO.MX
2012-10-16,9.6,9.7,9.6,9.7,79900,9.7,TEAKCPO.MX
2012-10-17,9.7,9.75,9.7,9.75,418500,9.75,TEAKCPO.MX
2012-10-19,10.0,10.0,10.0,10.0,7500,10.0,TEAKCPO.MX
2012-10-23,10.4,10.4,10.4,10.4,40000,10.4,TEAKCPO.MX
2012-10-24,11.0,11.0,11.0,11.0,33600,11.0,TEAKCPO.MX
2012-10-31,11.0,11.0,11.0,11.0,100,11.0,TEAKCPO.MX
2012-11-01,9.5,9.5,9.5,9.5,50000,9.5,TEAKCPO.MX
2012-11-06,9.5,11.0,9.5,9.5,101000,9.5,TEAKCPO.MX
2012-11-07,10.0,10.0,9.51,9.51,10000,9.51,TEAKCPO.MX
2012-11-08,9.51,11.0,9.5,11.0,11100,11.0,TEAKCPO.MX
2012-11-15,11.0,11.0,11.0,11.0,100,11.0,TEAKCPO.MX
2012-11-28,10.5,10.5,10.5,10.5,0,10.5,TEAKCPO.MX
2012-11-29,10.4,10.4,10.4,10.4,0,10.4,TEAKCPO.MX
2012-11-30,9.0,9.0,9.0,9.0,9900,9.0,TEAKCPO.MX
2012-12-10,9.2,9.93,9.2,9.93,200,9.93,TEAKCPO.MX
2012-12-13,9.65,9.88,9.65,9.88,200,9.88,TEAKCPO.MX
2012-12-14,10.0,10.26,10.0,10.25,50600,10.25,TEAKCPO.MX
2012-12-21,10.25,10.5,10.25,10.5,9900,10.5,TEAKCPO.MX
2012-12-27,10.5,10.5,10.5,10.5,3800,10.5,TEAKCPO.MX
2012-12-28,10.8,11.0,10.8,10.88,25000,10.88,TEAKCPO.MX
2012-12-31,11.5,11.5,11.5,11.5,10000,11.5,TEAKCPO.MX
2013-01-02,12.0,13.0,11.6,11.6,13000,11.6,TEAKCPO.MX
2013-01-03,11.5,11.6,11.5,11.6,10000,11.6,TEAKCPO.MX
2013-01-04,11.5,11.5,11.5,11.5,0,11.5,TEAKCPO.MX
2013-01-15,9.0,9.0,9.0,9.0,5000,9.0,TEAKCPO.MX
2013-01-17,11.0,11.0,11.0,11.0,900,11.0,TEAKCPO.MX
2013-01-18,11.5,11.5,11.5,11.5,1000,11.5,TEAKCPO.MX
2013-01-23,11.45,11.45,11.45,11.45,9600,11.45,TEAKCPO.MX
2013-01-24,11.45,11.45,11.45,11.45,1300,11.45,TEAKCPO.MX
2013-01-25,11.55,13.0,11.3,11.3,80000,11.3,TEAKCPO.MX
2013-01-29,11.2,11.2,11.2,11.3,0,11.3,TEAKCPO.MX
2013-01-30,10.5,11.2,10.5,11.2,1000,11.2,TEAKCPO.MX
2013-02-05,11.2,11.2,11.2,11.2,3700,11.2,TEAKCPO.MX
2013-02-06,11.21,11.21,11.2,11.2,7700,11.2,TEAKCPO.MX
2013-02-11,10.0,11.2,10.0,11.2,10300,11.2,TEAKCPO.MX
2013-02-12,11.2,11.2,11.2,11.2,100,11.2,TEAKCPO.MX
2013-02-18,11.2,11.2,11.2,11.2,100,11.2,TEAKCPO.MX
2013-02-21,11.2,11.2,11.2,11.2,100,11.2,TEAKCPO.MX
2013-02-28,11.2,11.2,11.2,11.2,1100,11.2,TEAKCPO.MX
2013-03-01,11.2,11.2,11.2,11.2,0,11.2,TEAKCPO.MX
2013-03-04,11.25,11.25,11.25,11.25,100,11.25,TEAKCPO.MX
2013-03-07,11.25,11.25,11.25,11.25,2900,11.25,TEAKCPO.MX
2013-03-08,11.5,11.5,11.5,11.5,200,11.5,TEAKCPO.MX
2013-03-12,11.5,11.55,11.5,11.55,10000,11.55,TEAKCPO.MX
2013-03-14,11.55,11.55,11.55,11.55,10000,11.55,TEAKCPO.MX
2013-03-15,11.55,11.55,11.55,11.55,5000,11.55,TEAKCPO.MX
2013-03-19,11.55,11.55,11.55,11.55,6000,11.55,TEAKCPO.MX
2013-03-21,11.55,11.55,11.55,11.55,300,11.55,TEAKCPO.MX
2013-03-26,11.55,11.55,11.55,11.55,4700,11.55,TEAKCPO.MX
2013-03-27,11.55,11.55,11.5,11.55,20400,11.55,TEAKCPO.MX
2013-04-02,11.55,11.55,11.55,11.55,0,11.55,TEAKCPO.MX
2013-04-04,11.55,11.55,11.55,11.55,6800,11.55,TEAKCPO.MX
2013-04-08,11.54,11.55,11.54,11.55,50100,11.55,TEAKCPO.MX
2013-04-10,11.5,11.5,11.5,11.5,4000,11.5,TEAKCPO.MX
2013-04-12,11.55,11.55,11.55,11.55,900,11.55,TEAKCPO.MX
2013-04-17,11.5,11.5,11.5,11.55,0,11.55,TEAKCPO.MX
2013-04-25,11.5,12.5,11.5,12.5,140000,12.5,TEAKCPO.MX
2013-04-26,13.0,13.0,13.0,13.0,100,13.0,TEAKCPO.MX
2013-04-29,12.5,12.5,12.5,12.5,400,12.5,TEAKCPO.MX
2013-04-30,12.95,12.95,12.5,12.5,3000,12.5,TEAKCPO.MX
2013-05-02,12.5,12.5,12.5,12.5,1000,12.5,TEAKCPO.MX
2013-05-03,11.96,11.96,11.96,11.96,600,11.96,TEAKCPO.MX
2013-05-06,12.5,12.5,12.5,12.5,100,12.5,TEAKCPO.MX
2013-05-10,12.5,12.5,12.5,12.5,1000,12.5,TEAKCPO.MX
2013-05-13,12.5,12.75,12.5,12.75,20000,12.75,TEAKCPO.MX
2013-05-21,12.15,12.15,12.15,12.15,75400,12.15,TEAKCPO.MX
2013-05-22,12.15,12.99,12.15,12.99,110800,12.99,TEAKCPO.MX
2013-05-24,12.35,12.35,12.35,12.35,55000,12.35,TEAKCPO.MX
2013-05-27,12.85,12.85,12.85,12.85,100,12.85,TEAKCPO.MX
2013-05-30,12.49,12.5,12.45,12.5,97100,12.5,TEAKCPO.MX
2013-05-31,12.45,12.49,12.45,12.49,37900,12.49,TEAKCPO.MX
2013-06-04,12.47,12.47,12.39,12.4,23000,12.4,TEAKCPO.MX
2013-06-05,12.5,12.5,12.5,12.5,10500,12.5,TEAKCPO.MX
2013-06-06,12.5,12.5,12.5,12.5,4500,12.5,TEAKCPO.MX
2013-06-11,12.5,12.5,12.5,12.5,4600,12.5,TEAKCPO.MX
2013-06-12,12.47,12.47,12.47,12.47,5100,12.47,TEAKCPO.MX
2013-06-14,12.3,12.3,12.3,12.3,50000,12.3,TEAKCPO.MX
2013-06-18,12.47,12.47,12.47,12.47,100,12.47,TEAKCPO.MX
2013-06-28,12.47,12.47,12.47,12.47,4800,12.47,TEAKCPO.MX
2013-07-02,12.47,12.47,12.45,12.45,20200,12.45,TEAKCPO.MX
2013-07-03,12.47,12.47,12.47,12.47,100,12.47,TEAKCPO.MX
2013-07-19,12.4,12.4,12.4,12.47,0,12.47,TEAKCPO.MX
2013-07-23,12.0,12.0,12.0,12.0,100,12.0,TEAKCPO.MX
2013-07-26,11.9,11.9,11.9,11.9,400,11.9,TEAKCPO.MX
2013-07-31,11.9,11.9,11.9,11.9,4200,11.9,TEAKCPO.MX
2013-08-01,11.85,11.89,11.5,11.89,135600,11.89,TEAKCPO.MX
2013-08-02,11.86,11.86,11.86,11.86,8400,11.86,TEAKCPO.MX
2013-08-06,11.84,11.84,11.84,11.84,2000,11.84,TEAKCPO.MX
2013-08-08,11.5,11.5,11.5,11.5,9600,11.5,TEAKCPO.MX
2013-08-15,11.2,11.2,11.2,11.2,9300,11.2,TEAKCPO.MX
2013-08-16,11.2,11.51,11.2,11.49,200700,11.49,TEAKCPO.MX
2013-08-22,11.45,11.45,11.45,11.45,5000,11.45,TEAKCPO.MX
2013-08-23,11.25,11.25,11.25,11.25,2500,11.25,TEAKCPO.MX
2013-08-28,11.45,11.45,11.45,11.45,0,11.45,TEAKCPO.MX
2013-09-03,11.0,11.0,11.0,11.0,22700,11.0,TEAKCPO.MX
2013-09-06,11.0,11.1,11.0,11.1,2500,11.1,TEAKCPO.MX
2013-09-10,10.7,10.7,10.7,10.7,0,10.7,TEAKCPO.MX
2013-09-12,11.5,11.5,11.5,11.1,0,11.1,TEAKCPO.MX
2013-09-13,11.1,11.1,11.1,11.1,9000,11.1,TEAKCPO.MX
2013-09-18,11.5,11.5,11.2,11.2,509000,11.2,TEAKCPO.MX
2013-09-20,11.5,11.5,11.3,11.31,52400,11.31,TEAKCPO.MX
2013-09-23,11.3,11.3,11.3,11.3,4500,11.3,TEAKCPO.MX
2013-09-24,11.3,11.3,11.3,11.3,29900,11.3,TEAKCPO.MX
2013-09-25,11.3,11.3,11.3,11.3,200,11.3,TEAKCPO.MX
2013-09-27,11.2,11.2,11.2,11.2,1700,11.2,TEAKCPO.MX
2013-10-01,11.2,11.2,11.2,11.2,74000,11.2,TEAKCPO.MX
2013-10-02,11.2,11.5,11.2,11.5,150000,11.5,TEAKCPO.MX
2013-10-03,11.5,11.5,11.15,11.15,24700,11.15,TEAKCPO.MX
2013-10-04,11.0,11.0,11.0,11.0,2000,11.0,TEAKCPO.MX
2013-10-07,10.8,10.8,10.8,11.0,0,11.0,TEAKCPO.MX
2013-10-10,10.85,10.85,10.85,10.85,7600,10.85,TEAKCPO.MX
2013-10-11,11.18,11.18,11.18,11.18,100,11.18,TEAKCPO.MX
2013-10-14,11.18,11.18,11.18,11.18,0,11.18,TEAKCPO.MX
2013-10-15,11.18,11.18,11.18,11.18,300,11.18,TEAKCPO.MX
2013-10-16,11.09,11.09,11.09,11.18,0,11.18,TEAKCPO.MX
2013-10-21,11.0,11.0,11.0,11.0,20000,11.0,TEAKCPO.MX
2013-10-22,11.0,11.09,11.0,11.0,2600,11.0,TEAKCPO.MX
2013-10-23,11.09,11.09,11.09,11.09,100,11.09,TEAKCPO.MX
2013-10-24,11.09,11.09,11.09,11.09,2800,11.09,TEAKCPO.MX
2013-10-25,11.09,11.09,11.09,11.09,7800,11.09,TEAKCPO.MX
2013-10-28,10.9,10.9,10.9,10.9,2000,10.9,TEAKCPO.MX
2013-11-20,11.5,11.5,11.5,11.5,15500,11.5,TEAKCPO.MX
2013-11-21,11.5,11.5,11.5,11.5,9500,11.5,TEAKCPO.MX
2013-11-22,11.5,11.5,11.5,11.5,100,11.5,TEAKCPO.MX
2013-11-25,11.1,11.1,11.1,11.1,400,11.1,TEAKCPO.MX
2013-11-27,11.6,11.6,11.59,11.59,200,11.59,TEAKCPO.MX
2013-11-28,12.0,12.0,11.5,11.5,500,11.5,TEAKCPO.MX
